n	rho	p	n_groups	cohort	predictor	target	adjustment
214	-0.0643327071321938	0.3489823589976571	5	lung_cell_lines	CLDN4	sig_DNA_REPAIR	Oncotree group
214	-0.16149552337163453	0.018070077823911467	5	lung_cell_lines	CLDN4	sig_DSB	Oncotree group
214	0.24309778666030102	0.00033146404943713224	5	lung_cell_lines	CLDN4	sig_STING_CORE	Oncotree group
214	0.19163318340734523	0.004907379851028903	5	lung_cell_lines	CLDN4	sig_HLA_ABC	Oncotree group
214	0.1361229861561225	0.04671091138469093	5	lung_cell_lines	CLDN4	HLA-A	Oncotree group
214	0.15200835526932002	0.026175078246741746	5	lung_cell_lines	CLDN4	HLA-B	Oncotree group
214	0.25448969211174194	0.0001677482661095726	5	lung_cell_lines	CLDN4	HLA-C	Oncotree group
143	-0.14062344179227468	0.09389740058307185	3	NSCLC	CLDN4	sig_DNA_REPAIR	Oncotree group
143	-0.25399363280389686	0.002205802528293998	3	NSCLC	CLDN4	sig_DSB	Oncotree group
143	0.18338353223179177	0.028355816217368754	3	NSCLC	CLDN4	sig_STING_CORE	Oncotree group
143	0.16981685650117936	0.04259668156236948	3	NSCLC	CLDN4	sig_HLA_ABC	Oncotree group
143	0.11573422281592398	0.16867821226557145	3	NSCLC	CLDN4	HLA-A	Oncotree group
143	0.1464793710275106	0.08086416771345536	3	NSCLC	CLDN4	HLA-B	Oncotree group
143	0.2351122443831032	0.0047046198251456915	3	NSCLC	CLDN4	HLA-C	Oncotree group
