source	n_samples	n_antibodies	gamma_h2ax_present	histone_antibodies
CCLE_RPPA_20180123	899	214	False	
CCLE_RPPA_20181003	899	214	False	
MCLP CCLE RPPA	878	447	False	DM-Histone-H3; DM-K9-Histone-H3; Histone-H3; Histone-H3_pS10; U-Histone-H2B; HISTONEH2A
