ligand	vs	n	rho	p
ADAM10	tnk_cyto	12	-0.1328671328671329	0.6805975082860817
ADAM10	tnk_ifn	12	-0.09090909090909093	0.7787253962454419
ADAM10	tnk_ifn_minus_cyto	12	-0.0979020979020979	0.7621216559962992
ADAM15	tnk_cyto	12	-0.5874125874125874	0.04460929646336318
ADAM15	tnk_ifn	12	-0.3356643356643357	0.28612290291498743
ADAM15	tnk_ifn_minus_cyto	12	0.4755244755244756	0.118175957013032
ADAM17	tnk_cyto	12	0.3916083916083916	0.20806346369535322
ADAM17	tnk_ifn	12	0.7482517482517484	0.005124081698753054
ADAM17	tnk_ifn_minus_cyto	12	-0.04895104895104895	0.8799185788786748
ADAM28	tnk_cyto	12	-0.2657342657342658	0.4038330883147116
ADAM28	tnk_ifn	12	-0.5874125874125874	0.04460929646336318
ADAM28	tnk_ifn_minus_cyto	12	-0.15384615384615385	0.6330906812462617
ADAM9	tnk_cyto	12	0.4055944055944056	0.19083587400450036
ADAM9	tnk_ifn	12	0.4545454545454546	0.13765791634772948
ADAM9	tnk_ifn_minus_cyto	12	-0.1398601398601399	0.6646331617926677
ADGRE5	tnk_cyto	12	-0.23076923076923078	0.470531995381542
ADGRE5	tnk_ifn	12	-0.5524475524475525	0.06251148327961523
ADGRE5	tnk_ifn_minus_cyto	12	-0.15384615384615385	0.6330906812462617
AGRN	tnk_cyto	12	-0.10489510489510491	0.7456094809807079
AGRN	tnk_ifn	12	-0.5034965034965035	0.09515736659412467
AGRN	tnk_ifn_minus_cyto	12	-0.3636363636363637	0.24526500073077723
ALCAM	tnk_cyto	12	0.034965034965034975	0.9140933424107599
ALCAM	tnk_ifn	12	-0.3636363636363637	0.24526500073077723
ALCAM	tnk_ifn_minus_cyto	12	-0.32867132867132864	0.2969041156887641
ANGPTL4	tnk_cyto	12	0.3203354125410115	0.31004896565891843
ANGPTL4	tnk_ifn	12	0.5766037425738206	0.049696029793334144
ANGPTL4	tnk_ifn_minus_cyto	12	0.0605078001466355	0.8518185924632693
APOE	tnk_cyto	12	0.1258741258741259	0.696683109395766
APOE	tnk_ifn	12	0.055944055944055944	0.8628980736949713
APOE	tnk_ifn_minus_cyto	12	-0.34965034965034975	0.26523878689278996
APP	tnk_cyto	12	0.20979020979020982	0.512840943181826
APP	tnk_ifn	12	0.09090909090909093	0.7787253962454419
APP	tnk_ifn_minus_cyto	12	-0.3846153846153847	0.21702022575997731
B2M	tnk_cyto	12	-0.15384615384615385	0.6330906812462617
B2M	tnk_ifn	12	0.43356643356643365	0.15910576941219534
B2M	tnk_ifn_minus_cyto	12	0.44755244755244755	0.1445863013033476
BACE1	tnk_cyto	12	-0.16083916083916086	0.6175234895401425
BACE1	tnk_ifn	12	-0.04895104895104895	0.8799185788786748
BACE1	tnk_ifn_minus_cyto	12	0.027972027972027972	0.9312343512018807
BTNL9	tnk_cyto	12	0.4777383357832458	0.11623251974195047
BTNL9	tnk_ifn	12	0.5897082582324441	0.043578312390103076
BTNL9	tnk_ifn_minus_cyto	12	-0.12689924544242467	0.6943177236316737
C3	tnk_cyto	12	-0.5524475524475525	0.06251148327961523
C3	tnk_ifn	12	-0.3846153846153847	0.21702022575997731
C3	tnk_ifn_minus_cyto	12	0.2377622377622378	0.45680085263992326
CALR	tnk_cyto	12	0.16783216783216784	0.6020994277865379
CALR	tnk_ifn	12	0.2937062937062937	0.3541476412329215
CALR	tnk_ifn_minus_cyto	12	-0.2657342657342658	0.4038330883147116
CCL18	tnk_cyto	12	0.20979020979020982	0.512840943181826
CCL18	tnk_ifn	12	0.013986013986013986	0.9655902689187796
CCL18	tnk_ifn_minus_cyto	12	-0.4545454545454546	0.13765791634772948
CCL20	tnk_cyto	12	-0.5874125874125874	0.04460929646336318
CCL20	tnk_ifn	12	-0.18881118881118883	0.5567370561768314
CCL20	tnk_ifn_minus_cyto	12	0.5384615384615385	0.07089431754922311
CCL4	tnk_cyto	12	0.2867132867132868	0.36625146058358227
CCL4	tnk_ifn	12	0.4055944055944056	0.19083587400450036
CCL4	tnk_ifn_minus_cyto	12	-0.18881118881118883	0.5567370561768314
CCL5	tnk_cyto	12	0.2027972027972028	0.5273023541661079
CCL5	tnk_ifn	12	-0.09090909090909093	0.7787253962454419
CCL5	tnk_ifn_minus_cyto	12	-0.2797202797202798	0.37856866966230307
CD274	tnk_cyto	12	0.06993006993006995	0.8290236405313092
CD274	tnk_ifn	12	0.46153846153846156	0.13094806950717272
CD274	tnk_ifn_minus_cyto	12	0.2027972027972028	0.5273023541661079
CD320	tnk_cyto	12	-0.11188811188811189	0.729194990751066
CD320	tnk_ifn	12	0.027972027972027972	0.9312343512018807
CD320	tnk_ifn_minus_cyto	12	0.3426573426573427	0.2755674509567803
CD38	tnk_cyto	12	-0.23076923076923078	0.470531995381542
CD38	tnk_ifn	12	-0.2027972027972028	0.5273023541661079
CD38	tnk_ifn_minus_cyto	12	-0.02097902097902098	0.9484022252365222
CD40	tnk_cyto	12	-0.4055944055944056	0.19083587400450036
CD40	tnk_ifn	12	-0.2517482517482518	0.4299187850328841
CD40	tnk_ifn_minus_cyto	12	0.21678321678321683	0.49855598552418845
CD47	tnk_cyto	12	-0.4125874125874127	0.18256397857316675
CD47	tnk_ifn	12	-0.4755244755244756	0.118175957013032
CD47	tnk_ifn_minus_cyto	12	0.013986013986013986	0.9655902689187796
CD55	tnk_cyto	12	-0.034965034965034975	0.9140933424107599
CD55	tnk_ifn	12	-0.34965034965034975	0.26523878689278996
CD55	tnk_ifn_minus_cyto	12	-0.23076923076923078	0.470531995381542
CD58	tnk_cyto	12	0.09090909090909093	0.7787253962454419
CD58	tnk_ifn	12	0.49650349650349657	0.10060263183225476
CD58	tnk_ifn_minus_cyto	12	0.18181818181818185	0.5717012385276553
CD59	tnk_cyto	12	-0.04895104895104895	0.8799185788786748
CD59	tnk_ifn	12	-0.25874125874125875	0.41677476889913817
CD59	tnk_ifn_minus_cyto	12	-0.1328671328671329	0.6805975082860817
CD82	tnk_cyto	12	0.2937062937062937	0.3541476412329215
CD82	tnk_ifn	12	-0.02097902097902098	0.9484022252365222
CD82	tnk_ifn_minus_cyto	12	-0.46153846153846156	0.13094806950717272
CD9	tnk_cyto	12	0.7902097902097903	0.0022231354099909177
CD9	tnk_ifn	12	0.7692307692307694	0.0034464502618274497
CD9	tnk_ifn_minus_cyto	12	-0.34965034965034975	0.26523878689278996
CD99	tnk_cyto	12	-0.21678321678321683	0.49855598552418845
CD99	tnk_ifn	12	0.15384615384615385	0.6330906812462617
CD99	tnk_ifn_minus_cyto	12	0.17482517482517487	0.5868236643627043
CDH1	tnk_cyto	12	0.5104895104895105	0.08991373630263919
CDH1	tnk_ifn	12	0.49650349650349657	0.10060263183225476
CDH1	tnk_ifn_minus_cyto	12	-0.2867132867132868	0.36625146058358227
CEACAM1	tnk_cyto	12	-0.07692307692307693	0.8121826980280591
CEACAM1	tnk_ifn	12	0.43356643356643365	0.15910576941219534
CEACAM1	tnk_ifn_minus_cyto	12	0.4055944055944056	0.19083587400450036
CEACAM5	tnk_cyto	12	-0.21678321678321683	0.49855598552418845
CEACAM5	tnk_ifn	12	-0.27272727272727276	0.39109677094189615
CEACAM5	tnk_ifn_minus_cyto	12	0.3636363636363637	0.24526500073077723
CEACAM6	tnk_cyto	12	-0.39860139860139865	0.19933549461780897
CEACAM6	tnk_ifn	12	-0.6503496503496504	0.022034190932365316
CEACAM6	tnk_ifn_minus_cyto	12	0.1188811188811189	0.712884219214772
CFH	tnk_cyto	12	-0.06993006993006995	0.8290236405313092
CFH	tnk_ifn	12	-0.2377622377622378	0.45680085263992326
CFH	tnk_ifn_minus_cyto	12	-0.2797202797202798	0.37856866966230307
CLCF1	tnk_cyto	12	-0.17482517482517487	0.5868236643627043
CLCF1	tnk_ifn	12	-0.2027972027972028	0.5273023541661079
CLCF1	tnk_ifn_minus_cyto	12	0.1188811188811189	0.712884219214772
CLEC11A	tnk_cyto	12	0.20979020979020982	0.512840943181826
CLEC11A	tnk_ifn	12	0.06993006993006995	0.8290236405313092
CLEC11A	tnk_ifn_minus_cyto	12	-0.2937062937062937	0.3541476412329215
