gene	in_cyto	in_ifn	in_exh	mean_MPR	mean_NMPR	delta_NMPR_minus_MPR	p	n_MPR	n_NMPR
IFIT1	False	True	False	0.007470406096493738	0.05495478769076759	0.04748438159427385	0.00808080808080808	4	8
ITGA4	False	False	False	0.6101558420560054	0.4557242451905437	-0.15443159686546165	0.01616161616161616	4	8
IFI44L	False	False	False	0.049002502823472384	0.25760488848369834	0.20860238566022596	0.01616161616161616	4	8
ISG20	False	False	False	0.3256045511892918	0.49207845443191356	0.16647390324262173	0.028282828282828285	4	8
HSP90B1	False	False	False	1.2238519324895085	1.064776157392241	-0.15907577509726756	0.028282828282828285	4	8
IFI6	False	True	False	0.45451997575804937	1.0596786456050862	0.6051586698470368	0.04848484848484849	4	8
NUCB2	False	False	False	0.3449960759334887	0.2773924029061834	-0.0676036730273053	0.07272727272727274	4	8
OAS1	False	True	False	0.06723270396960959	0.17103286414064575	0.10380016017103616	0.07272727272727274	4	8
MX1	False	True	False	0.198367971616808	0.45766611977860505	0.2592981481617971	0.07272727272727274	4	8
KLRB1	False	False	False	0.4697380813734402	0.33640035073250074	-0.13333773064093946	0.07272727272727274	4	8
JMJD6	False	False	False	0.10984141234195342	0.18425538142687195	0.07441396908491853	0.07272727272727274	4	8
MX2	False	False	False	0.14497944233231358	0.23324248242760054	0.08826304009528696	0.07272727272727274	4	8
NAMPT	False	False	False	0.14573660084221587	0.3232073646009309	0.17747076375871504	0.07272727272727274	4	8
AIMP1	False	False	False	0.2249743878026214	0.257370870299715	0.03239648249709359	0.07272727272727274	4	8
OAS3	False	False	False	0.12823890943846938	0.282410611966711	0.15417170252824164	0.1090909090909091	4	8
TOX2	False	False	True	0.36835339493713204	0.26241466457985585	-0.10593873035727619	0.1090909090909091	4	8
ISG15	False	True	False	0.17415272527243142	0.43865983055522034	0.2645071052827889	0.1090909090909091	4	8
BTLA	False	False	True	0.07800117810007441	0.05658285305112239	-0.021418325048952018	0.1090909090909091	4	8
FGFBP2	True	False	False	0.30586222137511127	0.23665097452951894	-0.06921124684559232	0.1090909090909091	4	8
CD160	False	False	True	0.10727910148688519	0.03022056581751997	-0.07705853566936521	0.1090909090909091	4	8
PTPRC	False	False	False	2.9235234822579024	2.7195545885096615	-0.2039688937482409	0.1090909090909091	4	8
TNFSF14	False	False	False	0.2724276718069852	0.18714261515255176	-0.08528505665443342	0.1090909090909091	4	8
LY9	False	False	False	0.3062250020326361	0.2136766929460175	-0.0925483090866186	0.1090909090909091	4	8
CD46	False	False	False	0.41782359101528627	0.3370984370976615	-0.08072515391762475	0.15353535353535355	4	8
IRF7	False	True	False	0.16986606898843717	0.3012461459568855	0.1313800769684483	0.15353535353535355	4	8
MKI67	False	False	False	0.07909361440051736	0.2075248508335626	0.12843123643304521	0.15353535353535355	4	8
MCL1	False	False	False	1.3986550504880295	1.6639879189311635	0.265332868443134	0.15353535353535355	4	8
IFIT3	False	True	False	0.0396707203854102	0.11552884461716564	0.07585812423175545	0.15353535353535355	4	8
CLEC2B	False	False	False	0.4718766704319709	0.6187009119499547	0.1468242415179838	0.15353535353535355	4	8
EOMES	False	False	False	0.5007148646915953	0.3851976194546831	-0.1155172452369122	0.15353535353535355	4	8
GLG1	False	False	False	0.5188080541666963	0.420946095718998	-0.0978619584476983	0.15353535353535355	4	8
