setting	geneset	ligand	pearson	pearson_p	auroc	aupr	n_background	n_geneset	rank
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	HLA-DRA	0.2945747417304026	6.272649498537852e-07	0.3852235550708833	0.22716347640525736	276	14	1
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	TYROBP	0.2938150362782465	6.723704981110794e-07	0.48773173391494	0.2328975869832362	276	14	2
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	PDCD1LG2	0.2832680408693247	1.7272501790399602e-06	0.43047982551799346	0.301820816859161	276	14	3
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	IL15	0.27317882369697316	4.110950972398308e-06	0.7704471101417666	0.2212226000005927	276	14	4
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	HLA-DQB1	0.2563668933348268	1.6175645549415352e-05	0.3961286804798255	0.24142500460987973	276	14	5
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	CCL4	0.23664385552468004	7.183775858760889e-05	0.41357688113413305	0.20221697202854041	276	14	6
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	CD47	0.2148587957794025	0.0003239150508382381	0.3429661941112323	0.15907803967223522	276	14	7
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	SIRPA	0.2130092638487982	0.0003656641234647485	0.38849509269356597	0.18241516748080244	276	14	8
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	CD58	0.21052949853921862	0.00042951473678750203	0.3366957470010905	0.14616059930128264	276	14	9
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	CD274	0.20061192068350978	0.0008027976169157693	0.6428571428571429	0.3309973875162813	276	14	10
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	HLA-A	0.18872747623711106	0.0016355181549520565	0.4618320610687023	0.23772066948276757	276	14	11
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	TNC	0.18631811625182043	0.0018799791318605354	0.3328789531079607	0.1271791327940052	276	14	12
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	HLA-DRB1	0.16894674366539503	0.004888758793744522	0.39149400218102504	0.1617890719120563	276	14	13
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	S100A8	0.15945834500628828	0.007951989579245498	0.34378407851690296	0.1445275048893288	276	14	14
cldn4_high_MPR_to_MPR_TNK	a_priori_cytotoxicity	ICAM1	0.15668864033317167	0.009122790645504242	0.35359869138495087	0.113126646762742	276	14	15
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	CD274	0.12103687214891706	0.04452846935926859	0.5670665212649946	0.09096397108072704	276	14	1
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	TNFSF9	0.047169203007759106	0.4350897266820154	0.4762813522355507	0.06711442601003573	276	14	2
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	ALCAM	0.04618964738821597	0.4446971540746167	0.45338058887677213	0.12613808660879294	276	14	3
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	COL6A1	0.031490364735831396	0.6024279915675304	0.3634133042529989	0.07329582340071555	276	14	4
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	CALR	0.02420483951521926	0.6888953185648441	0.36777535441657583	0.049573946239818305	276	14	5
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	PDGFA	0.021329665703672257	0.7242481765416541	0.3955834242093784	0.057065521984344725	276	14	6
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	HLA-DRB1	0.010644461521348384	0.8602613486776697	0.37295528898582336	0.06180788649047286	276	14	7
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	ADAM17	0.006042208266892896	0.9204030415882283	0.39449291166848416	0.05289112016882369	276	14	8
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	CX3CL1	-0.003930163243292881	0.9481766291380134	0.3525081788440567	0.04194738513000479	276	14	9
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	HMGB1	-0.00409042619952983	0.9460665331571129	0.3846782988004362	0.051238741738393774	276	14	10
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	ANGPTL4	-0.00965304258959973	0.8731612934350855	0.34869138495092694	0.043618469794464286	276	14	11
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	CD40	-0.011115075320737605	0.8541506495044282	0.4318429661941113	0.04702317279296515	276	14	12
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	TGM2	-0.016650025145929854	0.7830283810466263	0.38767720828789526	0.04491989025639612	276	14	13
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	TGFA	-0.017086841798601916	0.7774832898421845	0.33424209378407854	0.04300029489233261	276	14	14
cldn4_high_MPR_to_MPR_TNK	a_priori_exhaustion_sensitivity	PRNP	-0.02011255406375772	0.7393969548964627	0.35059978189749186	0.054477818124310004	276	14	15
cldn4_high_MPR_to_MPR_TNK	a_priori_ifn	IFITM1	0.5330852003514813	1.148504770527383e-21	0.9406249999999999	0.6219886034919212	276	16	1
cldn4_high_MPR_to_MPR_TNK	a_priori_ifn	HLA-F	0.44358936987676156	9.827434115956662e-15	0.89375	0.4411069876485984	276	16	2
