sample_id	gsm	title_geo	genotype	sirna	group
A01	GSM5465246	293T + siControl_rep1	parental 293T	siControl	parental_siControl
A02	GSM5465247	293T + siControl_rep2	parental 293T	siControl	parental_siControl
A03	GSM5465248	293T + siControl_rep3	parental 293T	siControl	parental_siControl
A04	GSM5465249	293T_Ku70+/- + siControl_rep1	Ku70+/-	siControl	Ku70_siControl
A05	GSM5465250	293T_Ku70+/- + siControl_rep2	Ku70+/-	siControl	Ku70_siControl
A06	GSM5465251	293T_Ku70+/- + siControl_rep3	Ku70+/-	siControl	Ku70_siControl
A07	GSM5465252	293T_Ku70+/- + siKu70_rep1	Ku70+/-	siKu70	Ku70_siKu70
A08	GSM5465253	293T_Ku70+/- + siKu70_rep2	Ku70+/-	siKu70	Ku70_siKu70
A09	GSM5465254	293T_Ku70+/- + siKu70_rep3	Ku70+/-	siKu70	Ku70_siKu70
A10	GSM5465255	293T_Ku80+/- + siControl_rep1	Ku80+/-	siControl	Ku80_siControl
A11	GSM5465256	293T_Ku80+/- + siControl_rep2	Ku80+/-	siControl	Ku80_siControl
A12	GSM5465257	293T_Ku80+/- + siControl_rep3	Ku80+/-	siControl	Ku80_siControl
A13	GSM5465258	293T_Ku80+/- + siKu80_rep1	Ku80+/-	siKu80	Ku80_siKu80
A14	GSM5465259	293T_Ku80+/- + siKu80_rep2	Ku80+/-	siKu80	Ku80_siKu80
A15	GSM5465260	293T_Ku80+/- + siKu80_rep3	Ku80+/-	siKu80	Ku80_siKu80
A16	GSM5465261	293T_KuDNA-PKcs+/- + siControl_rep1	DNA-PKcs+/-	siControl	DNAPKcs_siControl
A17	GSM5465262	293T_KuDNA-PKcs+/- + siControl_rep2	DNA-PKcs+/-	siControl	DNAPKcs_siControl
A18	GSM5465263	293T_KuDNA-PKcs+/- + siControl_rep3	DNA-PKcs+/-	siControl	DNAPKcs_siControl
A19	GSM5465264	293T_KuDNA-PKcs+/- + siKuDNA-PKcs_rep1	DNA-PKcs+/-	siDNA-PKcs	DNAPKcs_siDNAPKcs
A20	GSM5465265	293T_KuDNA-PKcs+/- + siKuDNA-PKcs_rep2	DNA-PKcs+/-	siDNA-PKcs	DNAPKcs_siDNAPKcs
A21	GSM5465266	293T_KuDNA-PKcs+/- + siKuDNA-PKcs_rep3	DNA-PKcs+/-	siDNA-PKcs	DNAPKcs_siDNAPKcs
