	s1795	s2467	s2503	s2521	s2596	s2617	s2625	s2669
Tacstd2	40.91	37.67	60.54	102.61	292.84	72.31	19.68	43.94
Cldn4	16.24	116.77	29.32	46.88	72.68	69.12	149.58	209.43
Cldn3	154.56	165.74	188.25	155.68	214.46	156.33	235.39	448.15
Cldn6	24.68	86.64	86.08	46.0	47.74	59.02	212.56	82.02
Cldn7	233.79	177.04	272.44	232.64	248.66	247.25	219.64	311.95
Cdh1	1087.13	1713.94	2020.56	841.22	1100.82	1078.86	1400.5	1911.25
F11r	170.8	312.65	311.22	125.61	192.38	176.0	300.73	456.94
Ocln	627.34	188.35	261.08	224.68	345.56	336.58	377.88	247.51
