Gene Symbol	8_6_S36	0-4_S16	4_3_S27	4_2_S26	0-3_S15	8_1_S31	4_5_S29	8_2_S32	8_4_S34	8_5_S35	0-1_S13	8_3_S33	0-2_S14	0-5_S17	4_4_S28	4_6_S30
Tacstd2	5.15657	4.30889	19.1183	14.3823	4.1926	2.15618	10.9105	2.70363	1.77645	5.40711	5.17175	2.57645	3.20248	7.01531	13.5705	13.8274
Cldn4	5.12676	3.34025	7.98539	7.28365	2.60234	2.82456	11.5793	2.57885	1.91442	4.00999	5.86757	1.34962	7.22769	4.08615	8.81903	16.7973
Cldn3	27.1833	33.2012	46.9815	49.5246	38.3109	8.1932	126.745	7.59078	9.01981	33.9481	31.2557	6.09922	10.1854	25.6979	97.0443	185.407
Cldn6	0.119325	0.100304	0.0931325	0.221934	0.124016	0.0001	0.250914	0.0416928	0.0518383	0.181543	0.056518	0.0702049	0.0445775	0.147789	0.234072	0.574908
Cldn7	7.33241	7.98305	15.1024	19.4475	8.55032	1.61716	28.0912	1.87177	3.08715	9.14483	8.21832	1.75272	2.64651	9.62448	23.8293	37.4902
Cdh1	838.194	916.164	774.41	845.407	483.922	481.826	422.838	417.435	614.341	653.985	797.142	476.608	820.335	753.944	504.749	381.449
F11r	300.086	295.27	254.262	257.203	195.856	183.594	211.727	164.395	239.083	259.567	286.032	177.316	229.749	233.714	214.307	204.183
Ocln	6.46804	9.55292	11.35	10.9809	7.64161	4.07509	4.97457	4.92885	4.36337	6.11474	7.24039	5.18786	7.96155	10.7814	9.53895	7.4726
