accession	model	genotype	contrast	gene	n_naive	n_icb	mean_naive	mean_icb	median_naive	median_icb	delta_mean	delta_median	direction_mean
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1 vs vehicle	Tacstd2	3	3	0.24265225126622036	0.20197562929682514	0.20104457554397617	0.24692997541180803	-0.04067662196939523	0.045885399867831855	-1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1 vs vehicle	Cldn4	3	3	0.03766095286515261	0.013634369902008983	0.0	0.0	-0.024026582963143625	0.0	-1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1 vs vehicle	Cldn3	3	3	0.0	0.0	0.0	0.0	0.0	0.0	0
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1 vs vehicle	Cldn6	3	3	0.08868478874365006	0.10010707930400409	0.09149848789045266	0.11287843149966954	0.011422290560354029	0.021379943609216884	1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1 vs vehicle	Cldn7	3	3	0.0	0.0	0.0	0.0	0.0	0.0	0
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1 vs vehicle	Cdh1	3	3	0.2952239730237027	0.3029315633917629	0.2811005143833505	0.2850198572670069	0.007707590368060235	0.003919342883656418	1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1 vs vehicle	F11r	3	3	1.5526041650449722	2.1148990851240375	1.42446652334659	2.009693393289471	0.5622949200790652	0.5852268699428811	1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1 vs vehicle	Ocln	3	3	0.8871543176065652	1.0719702075910391	0.863851688733	1.0647761819974424	0.18481588998447396	0.2009244932644424	1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1 vs vehicle	TJ	3	3	0.4087611710405776	0.5147917579018362	0.3705791357223133	0.50960101663545	0.1060305868612586	0.13902188091313666	1
GSE182228	LKB1-deficient LUAD s.c.	KL	aPD1+palbo vs palbo	Tacstd2	3	3	0.8522663276745882	0.2016791687839147	0.0	0.1462723984032382	-0.6505871588906735	0.1462723984032382	-1
