gene	n_pairs	n_up	n_down	n_tie	binomial_p_two_sided	wilcoxon_p_two_sided	mean_delta	pairs
Cldn4	4	0	4	0	0.125	0.125	-0.6206148073002404	GSE182228 KL Δ=-0.024; GSE114601 KP Δ=-1.323; GSE157880 KP Δ=-0.324; GSE169194 KPM Δ=-0.811
TJ	4	2	2	0	1.0	0.625	-0.16659549841118199	GSE182228 KL Δ=0.106; GSE114601 KP Δ=-0.381; GSE157880 KP Δ=0.199; GSE169194 KPM Δ=-0.591
Tacstd2	4	2	2	0	1.0	1.0	-0.15586219731839474	GSE182228 KL Δ=-0.041; GSE114601 KP Δ=-1.155; GSE157880 KP Δ=0.348; GSE169194 KPM Δ=0.225
