family	n_genes	n_q1	n_q4	logFC	se	p	df
IFN	221	18	16	-0.584326861520216	0.1759750072508701	0.002434429468493688	29
IFN_gamma	198	18	16	-0.5913068562848888	0.174798892686163	0.0020713012407707577	29
IFN_alpha	95	18	16	-0.5919498572802825	0.21186199619522592	0.009129571143190582	29
MHC_I_APM	21	18	16	-0.7791349664224728	0.2821669715188433	0.009883203724719427	29
CLDN4_gene	1	18	16	1.6262687206974422	0.6247506440463859	0.014410067217637525	29
