term	es	nes	nom_p	n_set	mean_stat	lead_genes	n_genes_ranked	df	n	scale	contrast	n_high	n_low	fdr
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4753102416351208	2.3100125058963137	0.000999000999000999	198	0.6754885680289721	ICAM1,LY6E,GBP6,CCL2,IRF5,IFIT2,SSPN,CMKLR1,TNFSF10,VAMP8,CXCL9,FAS,PARP14,PTGS2,IRF2,NMI,HLA-DQA1,CD74,IFITM3,NOD1	16419	29	34	pseudobulk	Q4_vs_Q1	15.0	19.0	0.001332001332001332
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5303209151388231	2.3062116119113742	0.000999000999000999	95	0.7260529659762689	LY6E,CD47,IFIT2,PARP14,IRF2,NMI,TRIM5,CD74,IFITM3,IL7,CSF1,GBP4,TRIM21,RTP4,IFI44L,HERC6,BST2,RSAD2,MOV10,ELF1	16419	29	34	pseudobulk	Q4_vs_Q1	15.0	19.0	0.001332001332001332
IFN_HALLMARK_UNION	0.48480095743918555	2.388420827940648	0.000999000999000999	221	0.6838505509278522	ICAM1,LY6E,GBP6,CD47,CCL2,IRF5,IFIT2,SSPN,CMKLR1,TNFSF10,VAMP8,CXCL9,FAS,PARP14,PTGS2,IRF2,NMI,HLA-DQA1,TRIM5,CD74	16419	29	34	pseudobulk	Q4_vs_Q1	15.0	19.0	0.001332001332001332
MHC_I_APM	0.4176355903745041	1.3153481861623006	0.07992007992007992	21	0.37803664388487634	HLA-E,HLA-B,HLA-F,HLA-G,TAP2,TAP1,TAPBP,ERAP2,B2M,PDIA3	16419	29	34	pseudobulk	Q4_vs_Q1	15.0	19.0	0.07992007992007992
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5216907865592315	2.5957684731001223	0.000999000999000999	198	0.6589909454054635	LY6E,GBP6,ICAM1,SERPING1,LATS2,IFIT2,VCAM1,SSPN,CCL2,FAS,TNFSF10,CMKLR1,PARP14,HLA-DQA1,GBP4,STAT2,IFIT1,CXCL9,CCL5,IFITM3	16419	28	34	pseudobulk	Q4_vs_Q1_resid_CLDN4	15.0	19.0	0.001332001332001332
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5453495884379425	2.385999903093026	0.000999000999000999	95	0.6879503989924842	LY6E,IFIT2,PARP14,GBP4,STAT2,PROCR,IFITM3,CD47,CD74,TRIM5,RTP4,NMI,IFI44L,TAP1,BST2,TRIM21,RSAD2,IRF2,CXCL11,MOV10	16419	28	34	pseudobulk	Q4_vs_Q1_resid_CLDN4	15.0	19.0	0.001332001332001332
IFN_HALLMARK_UNION	0.5224695672821427	2.6313507011029738	0.000999000999000999	221	0.6508481821225813	LY6E,GBP6,ICAM1,SERPING1,LATS2,IFIT2,VCAM1,SSPN,CCL2,FAS,TNFSF10,CMKLR1,PARP14,HLA-DQA1,GBP4,STAT2,IFIT1,PROCR,CXCL9,CCL5	16419	28	34	pseudobulk	Q4_vs_Q1_resid_CLDN4	15.0	19.0	0.001332001332001332
MHC_I_APM	0.5481483638851956	1.7673696477916077	0.001998001998001998	21	0.4714465142704361	HLA-E,TAP1,TAP2,ERAP1,TAPBP,HLA-F,ERAP2,HLA-B,B2M,HLA-G	16419	28	34	pseudobulk	Q4_vs_Q1_resid_CLDN4	15.0	19.0	0.001998001998001998
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5514422693906158	2.3159584244470164	0.015984015984015984	198	0.8991087488596937	VAMP8,ICAM1,IRF5,MYD88,PTGS2,VAMP5,PELI1,LY6E,GBP6,HLA-DMA,PLA2G4A,TNFSF10,FAS,CASP4,IL4R,CD74,TNFAIP2,MX2,CASP8,MVP	16419	59	64	pseudobulk	continuous			0.01998001998001998
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6185716379804159	2.5954846764552824	0.004995004995004995	95	0.9676899273921102	CD47,ELF1,TRIM5,LY6E,IL4R,CD74,CASP8,IL7,IRF7,PARP14,CASP1,LAMP3,IFI27,NMI,RSAD2,HERC6,IFITM3,GBP4,IFIT2,NCOA7	16419	59	64	pseudobulk	continuous			0.01998001998001998
IFN_HALLMARK_UNION	0.5607277828617466	2.4604786416949382	0.014985014985014986	221	0.9220584937923114	VAMP8,CD47,ICAM1,IRF5,MYD88,PTGS2,VAMP5,ELF1,PELI1,TRIM5,LY6E,GBP6,HLA-DMA,PLA2G4A,TNFSF10,FAS,CASP4,IL4R,CD74,TNFAIP2	16419	59	64	pseudobulk	continuous			0.01998001998001998
MHC_I_APM	0.5038940031707474	1.552069071286535	0.01998001998001998	21	0.6844252143158684	HLA-E,HLA-B,HLA-F,B2M,TAPBP,TAP2,HLA-C,HLA-G,PDIA3,ERAP2,TAP1,TAPBPL,HLA-A	16419	59	64	pseudobulk	continuous			0.01998001998001998
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5980346641438241	2.3638978258257444	0.014985014985014986	198	1.045241683809346	SERPING1,VAMP8,CD38,STAT2,MYD88,XAF1,CCL5,SLAMF7,ICAM1,GBP6,GBP4,LY6E,CSF2RB,LATS2,CASP1,ARID5B,TRIM25,TAP1,IRF4,PARP14	16419	58	64	pseudobulk	continuous_resid_CLDN4			0.014985014985014986
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6216552791705122	2.658391185108216	0.007992007992007992	95	1.0726627009356546	STAT2,ELF1,TRIM5,GBP4,LY6E,CASP1,TRIM25,TAP1,PARP14,CD47,RSAD2,ISG15,OASL,IFI27,B2M,CD74,IFI44L,IFITM3,IL4R,MX1	16419	58	64	pseudobulk	continuous_resid_CLDN4			0.014985014985014986
IFN_HALLMARK_UNION	0.5903908812528387	2.2938980149932653	0.011988011988011988	221	1.0330850583087328	SERPING1,VAMP8,CD38,STAT2,MYD88,ELF1,XAF1,CCL5,SLAMF7,ICAM1,GBP6,TRIM5,GBP4,LY6E,CSF2RB,LATS2,CASP1,ARID5B,TRIM25,TAP1	16419	58	64	pseudobulk	continuous_resid_CLDN4			0.014985014985014986
MHC_I_APM	0.6604190094169063	2.175334053282278	0.000999000999000999	21	0.9838759230389533	HLA-E,TAP1,HLA-F,TAP2,B2M,TAPBP,HLA-B,ERAP1,PSMB9,ERAP2	16419	58	64	pseudobulk	continuous_resid_CLDN4			0.003996003996003996
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4411037657101935	1.920978771975666	0.011988011988011988	198	0.5712751467441515	VAMP8,MYD88,PELI1,ICAM1,VAMP5,CASP8,PTPN6,MX2,PTGS2,IRF5,IFI27,IRF7,CASP7,CCL5,SLAMF7,CD38,HLA-DMA,CXCL9,SPPL2A,XAF1	16419	29	34	pseudobulk	CLDN4_low_continuous			0.015984015984015984
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4820450592175625	2.0422859600988876	0.004995004995004995	95	0.6119107711835537	CD47,ELF1,CASP8,IFI27,IRF7,TRIM5,CCRL2,LAMP3,CASP1,PARP14,STAT2,OASL,RSAD2,B2M,IL4R,NMI,CD74,TXNIP,LY6E,TRAFD1	16419	29	34	pseudobulk	CLDN4_low_continuous			0.015984015984015984
IFN_HALLMARK_UNION	0.4432289648861901	1.9714551005295566	0.011988011988011988	221	0.5796973001866009	CD47,VAMP8,MYD88,PELI1,ICAM1,VAMP5,ELF1,CASP8,PTPN6,MX2,PTGS2,IRF5,IFI27,IRF7,CASP7,CCL5,SLAMF7,TRIM5,CD38,HLA-DMA	16419	29	34	pseudobulk	CLDN4_low_continuous			0.015984015984015984
MHC_I_APM	0.4395750658823477	1.337948869274018	0.04295704295704296	21	0.42664845999065004	PDIA3,B2M,HLA-E,TAPBP,HLA-B,HLA-F,PSMB10,ERAP2,TAP2,HLA-G,CALR	16419	29	34	pseudobulk	CLDN4_low_continuous			0.04295704295704296
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.2760839246854027	1.3174844962840622	0.029970029970029972	198	0.30137115765521294	PTGS2,PLA2G4A,ICAM1,ST3GAL5,VAMP8,PELI1,LY6E,PARP14,NOD1,BANK1,TRIM14,TNFSF10,TRIM21,CCL2,SPPL2A,APOL6,MX2,RSAD2,LGALS3BP,IFITM3	16419	29	34	percent_positive	Q4_vs_Q1	15.0	19.0	0.03996003996003996
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3429194126832119	1.4680225891984267	0.01098901098901099	95	0.47330474796578237	TRIM5,CD47,LY6E,PARP14,TRIM14,TRIM21,CSF1,NCOA7,RSAD2,LGALS3BP,IFITM3,IRF7,IFIT2,LAMP3,CD74,NMI,CCRL2,HELZ2,HERC6,CASP8	16419	29	34	percent_positive	Q4_vs_Q1	15.0	19.0	0.02197802197802198
IFN_HALLMARK_UNION	0.29178272877011274	1.4225567675759718	0.004995004995004995	221	0.3407433474972916	PTGS2,PLA2G4A,ICAM1,TRIM5,CD47,ST3GAL5,VAMP8,PELI1,LY6E,PARP14,NOD1,BANK1,TRIM14,TNFSF10,TRIM21,CCL2,CSF1,NCOA7,SPPL2A,APOL6	16419	29	34	percent_positive	Q4_vs_Q1	15.0	19.0	0.01998001998001998
MHC_I_APM	-0.2074643249176624	-0.7022186831877394	0.3776223776223776	21	-0.1838117339058726	CANX,ERAP2,TAPBP,HLA-E,PDIA3,HLA-G,ERAP1,B2M,HLA-F,HLA-B,HLA-A,PSMB10,NLRC5,TAPBPL,PSMB8,HLA-C,TAP2,CALR,TAP1,PSMB9	16419	29	34	percent_positive	Q4_vs_Q1	15.0	19.0	0.3776223776223776
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.46984762473172004	2.374543903857576	0.000999000999000999	198	0.6911647074648186	VAMP8,PTGS2,LATS2,SERPING1,ARID5B,LY6E,STAT2,ICAM1,PLA2G4A,UPP1,IFITM3,VAMP5,PARP14,MYD88,IFIT1,TNFSF10,IDO1,TRIM25,CASP7,PELI1	16419	28	34	percent_positive	Q4_vs_Q1_resid_CLDN4	15.0	19.0	0.001332001332001332
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5061583810707541	2.2549745621571873	0.000999000999000999	95	0.765656296301644	TRIM5,LY6E,STAT2,ELF1,IFITM3,PARP14,LPAR6,TRIM25,RSAD2,NMI,IFIT2,CASP1,TRIM21,CD47,TRIM14,ISG15,OASL,SP110,IFIH1,IL4R	16419	28	34	percent_positive	Q4_vs_Q1_resid_CLDN4	15.0	19.0	0.001332001332001332
IFN_HALLMARK_UNION	0.46707150493810073	2.4230845947630497	0.000999000999000999	221	0.698466444335206	TRIM5,VAMP8,PTGS2,LATS2,SERPING1,ARID5B,LY6E,STAT2,ICAM1,PLA2G4A,ELF1,UPP1,IFITM3,VAMP5,PARP14,LPAR6,MYD88,IFIT1,TNFSF10,IDO1	16419	28	34	percent_positive	Q4_vs_Q1_resid_CLDN4	15.0	19.0	0.001332001332001332
MHC_I_APM	0.4291124341664176	1.3747146976176547	0.03296703296703297	21	0.44777704152596376	HLA-E,TAPBP,ERAP1,ERAP2,HLA-G,B2M,HLA-F,CANX,TAP1,TAP2,HLA-B	16419	28	34	percent_positive	Q4_vs_Q1_resid_CLDN4	15.0	19.0	0.03296703296703297
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3937032709117754	1.864991738216209	0.000999000999000999	198	0.5950984050337573	VAMP8,PELI1,ICAM1,PLA2G4A,PTGS2,ST3GAL5,BANK1,HLA-DMA,CD74,PARP14,CASP4,MX2,IRF5,LY6E,MYD88,MVP,TRIM14,TNFSF10,IRF7,TRIM21	16419	59	64	percent_positive	continuous			0.001332001332001332
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4921945905421429	2.0843071760071816	0.000999000999000999	95	0.838892788907974	CD47,TRIM5,LAMP3,CD74,PARP14,LY6E,NCOA7,TRIM14,IRF7,TRIM21,LGALS3BP,ELF1,CASP8,HERC6,NMI,IL7,TRAFD1,IFIT2,IFITM3,RSAD2	16419	59	64	percent_positive	continuous			0.001332001332001332
