term	es	nes	nom_p	n_set	mean_stat	lead_genes	n_genes_ranked	df	n	scale	contrast	n_high	n_low	dropped	ab	c	c_prime	a	b
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.36926642923441844	1.8627656948516893	0.000999000999000999	198.0	0.4101046998441402		16419.0	23.0	27	pseudobulk	Q4_vs_Q1	12.0	15.0	GSE123902					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.48083144467973965	2.184579109651998	0.000999000999000999	95.0	0.6080403542692474		16419.0	23.0	27	pseudobulk	Q4_vs_Q1	12.0	15.0	GSE123902					
MHC_I_APM	0.4382616167693283	1.4272297388344632	0.03396603396603397	21.0	0.41644721661494544		16419.0	23.0	27	pseudobulk	Q4_vs_Q1	12.0	15.0	GSE123902					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3889729444762836	1.9400523141125012	0.000999000999000999	198.0	0.3810732497267301		16419.0	22.0	27	pseudobulk	Q4_vs_Q1_resid_CLDN4	12.0	15.0	GSE123902					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.48252243836518044	2.168775950705272	0.000999000999000999	95.0	0.5364936974125042		16419.0	22.0	27	pseudobulk	Q4_vs_Q1_resid_CLDN4	12.0	15.0	GSE123902					
MHC_I_APM	0.4923972331630545	1.5902148665872073	0.012987012987012988	21.0	0.43674189883747383		16419.0	22.0	27	pseudobulk	Q4_vs_Q1_resid_CLDN4	12.0	15.0	GSE123902					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.48418705206516427	1.9931382680761378	0.016983016983016984	198.0	0.7643771136581706		16419.0	47.0	51	pseudobulk	continuous			GSE123902					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5709588266325849	2.421822790580007	0.005994005994005994	95.0	0.948627850372076		16419.0	47.0	51	pseudobulk	continuous			GSE123902					
MHC_I_APM	0.5886711486432679	1.8831861583159861	0.002997002997002997	21.0	0.8932342063067238		16419.0	47.0	51	pseudobulk	continuous			GSE123902					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5440286211654993	1.9467818691413117	0.016983016983016984	198.0	0.9163284996003342		16419.0	46.0	51	pseudobulk	continuous_resid_CLDN4			GSE123902					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.622530038351471	2.6605969854813956	0.005994005994005994	95.0	1.060142613918374		16419.0	46.0	51	pseudobulk	continuous_resid_CLDN4			GSE123902					
MHC_I_APM	0.6701638082563423	2.2334446080464874	0.002997002997002997	21.0	1.1636446208362552		16419.0	46.0	51	pseudobulk	continuous_resid_CLDN4			GSE123902					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4310205735621975	1.7879118653054937	0.016983016983016984	198.0	0.5422353987830352		16419.0	23.0	27	pseudobulk	CLDN4_low_continuous			GSE123902					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5222596307057573	2.192806783018006	0.005994005994005994	95.0	0.6792622731004099		16419.0	23.0	27	pseudobulk	CLDN4_low_continuous			GSE123902					
MHC_I_APM	0.48140119118347713	1.5075327302657444	0.01998001998001998	21.0	0.5173607652178127		16419.0	23.0	27	pseudobulk	CLDN4_low_continuous			GSE123902					
HALLMARK_INTERFERON_GAMMA_RESPONSE									51	pseudobulk	mediation_ab			GSE123902	-0.03431324901047641	0.07576336448218918	0.11007661349266062	0.5049688907804366	-0.06795121370238233
HALLMARK_INTERFERON_ALPHA_RESPONSE									51	pseudobulk	mediation_ab			GSE123902	-0.040383446935382074	0.08473813598537734	0.1251215829207527	0.5049688907804366	-0.07997214813167774
MHC_I_APM									51	pseudobulk	mediation_ab			GSE123902	-0.05689062745895981	0.07577978486555689	0.13267041232451443	0.5049688907804366	-0.11266164806912071
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.47057849705192156	2.2218919672791313	0.000999000999000999	198.0	0.6550282982836431		16419.0	19.0	23	pseudobulk	Q4_vs_Q1	10.0	13.0	GSE131907					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4766034804375579	2.0444670134203684	0.000999000999000999	95.0	0.6375648249174015		16419.0	19.0	23	pseudobulk	Q4_vs_Q1	10.0	13.0	GSE131907					
MHC_I_APM	0.2730048990722145	0.8489898806303636	0.4005994005994006	21.0	0.22996066881720517		16419.0	19.0	23	pseudobulk	Q4_vs_Q1	10.0	13.0	GSE131907					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5734323490185722	2.9615330483362015	0.000999000999000999	198.0	0.8659314609528551		16419.0	18.0	23	pseudobulk	Q4_vs_Q1_resid_CLDN4	10.0	13.0	GSE131907					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5705037114292589	2.6650352833335313	0.000999000999000999	95.0	0.8365817798343557		16419.0	18.0	23	pseudobulk	Q4_vs_Q1_resid_CLDN4	10.0	13.0	GSE131907					
MHC_I_APM	0.67144963491688	2.2467961246418113	0.000999000999000999	21.0	0.819622755777497		16419.0	18.0	23	pseudobulk	Q4_vs_Q1_resid_CLDN4	10.0	13.0	GSE131907					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5598713826161215	2.24110351099064	0.016983016983016984	198.0	1.0718174026036753		16419.0	39.0	43	pseudobulk	continuous			GSE131907					
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5669429301054503	2.4617042418185657	0.005994005994005994	95.0	1.0587674479756128		16419.0	39.0	43	pseudobulk	continuous			GSE131907					
MHC_I_APM	0.5426730805257729	1.7807349666290435	0.004995004995004995	21.0	0.8360047500899794		16419.0	39.0	43	pseudobulk	continuous			GSE131907					
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5790504518992843	1.9639594366790778	0.016983016983016984	198.0	1.0724812308119325		16419.0	38.0	43	pseudobulk	continuous_resid_CLDN4			GSE131907					
