col	cohort	patient	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE__n_genes	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE__n_genes	IFN_HALLMARK_UNION	IFN_HALLMARK_UNION__n_genes	MHC_I_APM	MHC_I_APM__n_genes
LX653	GSE123902	LX653	4.379231931775492	198	4.616733444936533	95	4.346361222996321	221	6.41907332193896	21
LX661	GSE123902	LX661	4.654565521173027	198	4.899193218857213	95	4.637854327761362	221	6.843779028850444	21
LX666	GSE123902	LX666	4.528901486099782	198	5.098545294618392	95	4.565017859636853	221	7.393269054982274	21
LX675	GSE123902	LX675	4.812570807419206	198	4.97622327892973	95	4.809799118575735	221	6.893969600237695	21
LX676	GSE123902	LX676	4.7390941418019885	198	4.857098377347789	95	4.7562113035731945	221	6.526953081999979	21
LX255B	GSE123902	LX255B	4.3494650002378785	198	4.4550217339543625	95	4.343212458623974	221	6.476147809569103	21
LX679	GSE123902	LX679	4.589137439681905	198	4.8657407844882625	95	4.566078162042705	221	7.441607695487294	21
LX680	GSE123902	LX680	3.8752699002709896	198	4.180292392816003	95	3.865905134369301	221	6.4322247030840245	21
LX681	GSE123902	LX681	4.083054243610539	198	4.653674195284121	95	4.122666135042408	221	5.545679214488953	21
LX682	GSE123902	LX682	5.636153177594449	198	5.891858150283407	95	5.608675296370319	221	8.107055839380306	21
LX684	GSE123902	LX684	4.260589033746823	198	4.578712529994756	95	4.278014505254872	221	6.485942935735819	21
LX699	GSE123902	LX699	4.522825140211885	198	4.542019229949492	95	4.471626422118551	221	6.610364395235929	21
LX701	GSE123902	LX701	4.504890683160189	198	4.880973390380354	95	4.481443588666486	221	7.175806857798093	21
BRONCHO_11	GSE131907	BRONCHO_11	4.5396700224737865	198	4.9703730283371605	95	4.52816894310132	221	6.3493091303198	21
BRONCHO_58	GSE131907	BRONCHO_58	5.059271852826802	198	5.514863696387764	95	5.063863431195541	221	7.5318013357343565	21
EBUS_06	GSE131907	EBUS_06	3.059527061556757	198	3.189319363541787	95	3.027664776937751	221	4.450124196936504	21
EBUS_10	GSE131907	EBUS_10	4.596318939147467	198	5.097156626993349	95	4.590691990078944	221	6.616941977000183	21
EBUS_12	GSE131907	EBUS_12	5.05801479336359	198	5.730579499321043	95	5.074227603850451	221	7.500689950027154	21
EBUS_13	GSE131907	EBUS_13	3.740191984267206	198	4.102150907533425	95	3.7005711438433972	221	5.899518813926908	21
EBUS_15	GSE131907	EBUS_15	4.361724186811836	198	4.958760568307788	95	4.36085529731739	221	7.160430036751225	21
EBUS_19	GSE131907	EBUS_19	4.4641716257828365	198	4.812637026506288	95	4.443001573985938	221	6.24981399464298	21
EBUS_28	GSE131907	EBUS_28	4.297241082694761	198	4.74820988893812	95	4.310455006259723	221	6.788333324426012	21
EBUS_49	GSE131907	EBUS_49	3.1556541347870177	198	3.13417409012278	95	3.1340919511477425	221	4.912522637378774	21
EBUS_51	GSE131907	EBUS_51	4.666039374572732	198	5.138319896017515	95	4.674075637758591	221	6.3951071279517	21
NS_02	GSE131907	NS_02	4.186423680142388	198	4.379934896109327	95	4.186841110493108	221	5.96066214777769	21
NS_03	GSE131907	NS_03	3.9499321814793626	198	4.282628064443245	95	3.936184837489523	221	6.950499979921411	21
NS_04	GSE131907	NS_04	4.122419153126921	198	4.717030370727568	95	4.161940851826758	221	6.282555889220083	21
NS_06	GSE131907	NS_06	4.5100968120710645	198	4.88263320134577	95	4.515915506377219	221	7.138004691955814	21
NS_07	GSE131907	NS_07	3.4457529789289922	198	3.6109911030196193	95	3.450279566237335	221	5.123184059342218	21
NS_12	GSE131907	NS_12	3.7642975595095294	198	3.931845539271103	95	3.7638286686984106	221	6.375293200019625	21
NS_13	GSE131907	NS_13	4.213158239668088	198	4.69820493845034	95	4.225831448150884	221	6.265625364602421	21
NS_16	GSE131907	NS_16	4.511522748110785	198	5.141483877570828	95	4.53038043220498	221	7.612299376400943	21
NS_17	GSE131907	NS_17	3.8174625683295758	198	4.327516796401749	95	3.8529659595580275	221	6.102885761371849	21
NS_19	GSE131907	NS_19	4.534359517610228	198	5.096824127418555	95	4.555271833139954	221	6.513004792127088	21
P0031	GSE205335	P0031	4.283972187897714	198	4.409313242767166	95	4.225357118717799	221	6.559617597212803	21
P1006	GSE205335	P1006	3.3460228470142392	198	3.5007049538564528	95	3.305615069990034	221	5.003704183019228	21
P1015	GSE205335	P1015	4.405113173440123	198	5.029811276437288	95	4.3920526359759595	221	7.077900908782234	21
P1016	GSE205335	P1016	2.9748258303548445	198	3.155822707502296	95	2.9607323996788146	221	6.042567722634145	21
P1017	GSE205335	P1017	4.779856235092871	198	5.34484687241022	95	4.780036944433234	221	6.456602009525009	21
P1018	GSE205335	P1018	5.132156496142486	198	5.6693618682419675	95	5.127963394921226	221	7.5236694668249005	21
P1025	GSE205335	P1025	3.5265890856561737	198	4.2719000352002015	95	3.507384803122692	221	5.415924509220777	21
P1027	GSE205335	P1027	5.089115860817887	198	5.624607954956291	95	5.075196386125058	221	7.398845018148139	21
P1030	GSE205335	P1030	4.20162098724717	198	4.644622632474105	95	4.187478580665632	221	6.771061183610093	21
P1037	GSE205335	P1037	3.59873801183817	198	4.016451041581572	95	3.5842106831875733	221	6.274413628379829	21
P1056	GSE205335	P1056	3.9435605104434783	198	4.272269015033001	95	3.949458114032289	221	6.148748420697163	21
P1062	GSE205335	P1062	4.821207398966642	198	5.0859808126235295	95	4.816206213333889	221	7.030018673052847	21
P1063	GSE205335	P1063	4.727897554721724	198	4.792829878150299	95	4.716795727108781	221	7.305106905891274	21
P1072	GSE205335	P1072	3.173205035485397	198	3.447900610825469	95	3.1964819477685755	221	5.150298609734431	21
P1076	GSE205335	P1076	4.6428809114362	198	5.529109979873086	95	4.640557870335544	221	6.7747808399493765	21
P1079	GSE205335	P1079	4.829624024970735	198	5.579918387750718	95	4.820617281741064	221	8.08551596635798	21
P1084	GSE205335	P1084	4.5784485174658744	198	5.119303168120793	95	4.584970307270502	221	7.688571373848569	21
P1089	GSE205335	P1089	3.20435015277272	198	3.499009935036514	95	3.2127608926234377	221	4.732091855644302	21
P1090	GSE205335	P1090	4.881529917725869	198	5.616049224693573	95	4.865354315917149	221	7.8043358216621685	21
P1115	GSE205335	P1115	2.9922704281057007	198	3.24858576399187	95	2.9700510426264444	221	4.540369454257528	21
P1119	GSE205335	P1119	4.820226376191643	198	5.518908271775703	95	4.776728112356652	221	7.719114606149772	21
TD1	GSE189357	TD1	4.864426177091948	198	5.109222397751475	95	4.864881161011601	221	7.081624063413174	21
TD2	GSE189357	TD2	4.704982874965904	198	4.759077778413825	95	4.713237530725832	221	6.231446646995506	21
TD3	GSE189357	TD3	4.503103036377576	198	4.749277231522346	95	4.508832813075513	221	6.285094004991849	21
TD4	GSE189357	TD4	4.5038401508414685	198	4.555481865258179	95	4.50922268215669	221	6.221346352848762	21
TD5	GSE189357	TD5	5.044990497122956	198	5.1838711679241625	95	5.041733960505252	221	6.723991924811116	21
TD6	GSE189357	TD6	4.31304733336352	198	4.467343265418112	95	4.319288262764393	221	5.786672796841929	21
TD7	GSE189357	TD7	5.006331353849011	198	5.078440526783259	95	5.021175756416674	221	6.813378786041916	21
TD8	GSE189357	TD8	4.421622034655144	198	4.451740396852853	95	4.447846640271945	221	6.101465386049065	21
TD9	GSE189357	TD9	4.698252368899148	198	4.637302410535143	95	4.669737915346558	221	6.396501313318047	21
