cohort	assay	pmid	title	n	rho	n_note	rho_note	cellchat_eligible	gene	endpoint	p_implied	ci95_lo	ci95_hi	p_source	I2	tau2	Q	stouffer_z	stouffer_p	fisher_p
GSE253564	bulk RNA-seq FPKM (pre-treatment)	38401548	Altorki et al. Nat Commun 2024; neoadjuvant durvalumab ± SBRT	32	-0.48	n=32 public pre-treatment FPKM columns	given CLDN4 vs T/NK; not re-audited	False	CLDN4	T/NK	0.005432424855931322	-0.7098825894123972	-0.15769440159316292	Spearman t from given ρ and n (not a matrix re-audit)						
GSE148071	scRNA-seq (Wu et al.; 42 biopsies, partial usable)	33953163	Wu et al. Nat Commun 2021; advanced NSCLC scRNA	25	-0.49	n=25 partial of 42 (given)	given CLDN4 vs T/NK; not re-audited	False	CLDN4	T/NK	0.012902366983396946	-0.7415587617481009	-0.11763970554238927	Spearman t from given ρ and n (not a matrix re-audit)						
combo_RE_GSE253564_GSE148071	patient-level Fisher-z DerSimonian–Laird (not CellChat)	38401548+33953163	CLDN4-only combo of given rhos	57	-0.48432927898413974	N = 32 + 25 (independent patients)	RE pooled; given rhos not re-audited	False	CLDN4	T/NK	0.00015991967974237907	-0.6657550439459218	-0.24883453426105978	DerSimonian-Laird random-effects on Fisher-z(Spearman ρ)	0.0	0.0	0.0021389678004811487	-3.729557894449745	0.00019181603138477022	0.0007405629419835053
