ligand	receptor	pathway	n	rho_vs_CLDN4	p	status	ligand_id	receptor_id	q_BH
IFNG	IFNGR2	IFN	32	-0.21847507331378296	0.2296390675865129	ok	IFNG	IFNGR2	0.2755668811038155
IFNG	IFNGR1	IFN	32	-0.187316715542522	0.30461455892104966	ok	IFNG	IFNGR1	0.3229108589689024
HLA-E	KLRD1	MHC_I	32	-0.3966275659824046	0.024609319944380342	ok	HLA-E	KLRD1	0.07382795983314103
HLA-A	CD8A	MHC_I	32	-0.30901759530791784	0.08526447464020545	ok	HLA-A	CD8A	0.17052894928041087
HLA-B	CD8A	MHC_I	32	-0.3020527859237536	0.09292009693628644	ok	HLA-B	CD8A	0.17154479434391343
HLA-C	CD8A	MHC_I	32	-0.23350439882697946	0.19836822279963676	ok	HLA-C	CD8A	0.264490963732849
CCL21	CCR7	T_recruit	32	-0.5498533724340174	0.0011141525509187973	ok	CCL21	CCR7	0.026739661222051136
CCL19	CCR7	T_recruit	32	-0.5062316715542522	0.0031144154322046164	ok	CCL19	CCR7	0.0373729851864554
CXCL11	CXCR3	T_recruit	32	-0.44464809384164217	0.010778748880979544	ok	CXCL11	CXCR3	0.04429185543517083
CXCL13	CXCR5	T_recruit	32	-0.4431818181818181	0.011072963858792707	ok	CXCL13	CXCR5	0.04429185543517083
CXCL9	CXCR3	T_recruit	32	-0.4219208211143694	0.016159038320444453	ok	CXCL9	CXCR3	0.0554024170986667
CXCL10	CXCR3	T_recruit	32	-0.3728005865102639	0.03560584999054828	ok	CXCL10	CXCR3	0.08592436431820663
CCL5	CCR5	T_recruit	32	-0.3724340175953079	0.03580181846591943	ok	CCL5	CCR5	0.08592436431820663
CCL4	CCR5	T_recruit	32	-0.2782258064516129	0.12310039622092289	ok	CCL4	CCR5	0.18465059433138434
CCL5	CCR1	T_recruit	32	-0.2697947214076246	0.13535379741358847	ok	CCL5	CCR1	0.19108771399565433
CCL3	CCR5	T_recruit	32	-0.22690615835777125	0.21171130562409288	ok	CCL3	CCR5	0.2674248071041173
CXCL16	CXCR6	T_recruit	32	-0.08834310850439882	0.6306563470535196	ok	CXCL16	CXCR6	0.6306563470535196
CX3CL1	CX3CR1	T_recruit	32	0.314882697947214	0.07920110550486326	ok	CX3CL1	CX3CR1	0.17052894928041087
CXCL12	CXCR4	T_recruit	32			missing_subunit		CXCR4	
CD274	PDCD1	checkpoint	32	-0.4604105571847507	0.008010482942383435	ok	CD274	PDCD1	0.04429185543517083
PVR	CD226	checkpoint	32	-0.4571114369501466	0.00853353751189429	ok	PVR	CD226	0.04429185543517083
NECTIN2	CD226	checkpoint	32	-0.2892228739002932	0.10837822998341518	ok	PVRL2	CD226	0.18465059433138434
PVR	TIGIT	checkpoint	32	-0.282258064516129	0.1175395400152375	ok	PVR	TIGIT	0.18465059433138434
LGALS9	HAVCR2	checkpoint	32	-0.21224340175953074	0.24353058552892454	ok	LGALS9	HAVCR2	0.2783206691759138
NECTIN2	TIGIT	checkpoint	32	-0.1854838709677419	0.30945623984519816	ok	PVRL2	TIGIT	0.3229108589689024
