panel	gene	matrix_id	n	rho_vs_CLDN4	p	status	q_BH
IFN	IFNG	IFNG	32	-0.3053519061583578	0.08923102044656576	ok	0.22010318376819557
IFN	STAT1	STAT1	32	-0.23753665689149558	0.19050761254124107	ok	0.3368992371417066
IFN	IFNB1	IFNB1	32	-0.13311805437129257	0.46764780534099937	ok	0.6179631713434635
IFN	IFNGR1	IFNGR1	32	0.07441348973607037	0.6856535457189806	ok	0.7461523879883024
IFN	IFNGR2	IFNGR2	32	0.08687683284457476	0.6363612589160884	ok	0.7134959569665235
TNK_marker_doc_only	CD8B	CD8B	32	-0.5062316715542522	0.0031144154322046164	ok	
TNK_marker_doc_only	CD3E	CD3E	32	-0.50366568914956	0.003294957353025258	ok	
TNK_marker_doc_only	CD3D	CD3D	32	-0.5025659824046921	0.003375057261826937	ok	
TNK_marker_doc_only	CD2	CD2	32	-0.46151026392961864	0.00784229635780589	ok	
TNK_marker_doc_only	CD8A	CD8A	32	-0.43768328445747795	0.012237262024570398	ok	
TNK_marker_doc_only	NKG7	NKG7	32	-0.4215542521994134	0.016261428970130533	ok	
TNK_marker_doc_only	KLRD1	KLRD1	32	-0.36510263929618764	0.039907899554479036	ok	
TNK_marker_doc_only	GNLY	GNLY	32	-0.25146627565982405	0.16503366405469483	ok	
T_recruit_ligand	CCL5	CCL5	32	-0.376099706744868	0.033880909874700216	ok	0.09566184352072686
T_recruit_ligand	CCL19	CCL19	32	-0.29508797653958946	0.10108831748024456	ok	0.23083425940656035
T_recruit_ligand	CCL21	CCL21	32	-0.2661290322580645	0.14095142263985708	ok	0.2744843493513006
T_recruit_ligand	CXCL13	CXCL13	32	-0.23717008797653957	0.19121308053988753	ok	0.3368992371417066
T_recruit_ligand	CCL4	CCL4	32	-0.1975806451612903	0.2783884719537152	ok	0.4133627957815665
T_recruit_ligand	CXCL9	CXCL9	32	-0.1689882697947214	0.35518309259445047	ok	0.4867323861479506
T_recruit_ligand	CCL3	CCL3	32	-0.09457478005865103	0.6066459820265521	ok	0.7134959569665235
T_recruit_ligand	CXCL10	CXCL10	32	-0.08944281524926685	0.6263913088314117	ok	0.7134959569665235
T_recruit_ligand	CXCL11	CXCL11	32	0.03336082866178815	0.856164070011968	ok	0.856164070011968
T_recruit_ligand	CXCL16	CXCL16	32	0.3717008797653959	0.03619637322405882	ok	0.09566184352072686
T_recruit_ligand	CX3CL1	CX3CL1	32	0.4629765395894428	0.0076227217481539475	ok	0.031337856075744006
T_recruit_ligand	CXCL12		32			absent_from_FPKM	
T_recruit_receptor	CXCR5	CXCR5	32	-0.6110703812316716	0.00020322061110023527	ok	0.004384233115331137
T_recruit_receptor	CCR7	CCR7	32	-0.594941348973607	0.00032894581385507353	ok	0.004384233115331137
T_recruit_receptor	CXCR3	CXCR3	32	-0.5821114369501466	0.0004739711476033662	ok	0.004384233115331137
T_recruit_receptor	CXCR4	CXCR4	32	-0.5351906158357771	0.0015983668380712848	ok	0.009856595501439589
T_recruit_receptor	CCR5	CCR5	32	-0.3986802326340067	0.023810128318320464	ok	0.07905431891378693
T_recruit_receptor	CXCR6	CXCR6	32	-0.3940615835777126	0.0256392385666336	ok	0.07905431891378693
T_recruit_receptor	CCR1	CCR1	32	-0.12719941348973607	0.4878410729554676	ok	0.6224179206673207
T_recruit_receptor	CX3CR1	CX3CR1	32	-0.03958944281524926	0.8296693052689352	ok	0.852715674859739
checkpoint	TIGIT	TIGIT	32	-0.5857771260997067	0.0004276642105561216	ok	0.004384233115331137
checkpoint	PDCD1	PDCD1	32	-0.5586510263929617	0.0008900769557699689	ok	0.00658656947269777
checkpoint	LGALS9	LGALS9	32	-0.2910557184750733	0.10605898405166286	ok	0.23083425940656035
checkpoint	HLA-E	HLA-E	32	-0.2734604105571847	0.1299208708521987	ok	0.26705956786285284
checkpoint	CD274	CD274	32	-0.22800586510263926	0.20944578739468875	ok	0.3522497333456129
checkpoint	HAVCR2	HAVCR2	32	-0.21737536656891493	0.2320507714806375	ok	0.37329906716450373
checkpoint	HLA-B	HLA-B	32	-0.18071847507331376	0.322268987103645	ok	0.45861355857057173
checkpoint	HLA-A	HLA-A	32	-0.11290322580645161	0.53839688472732	ok	0.664022824497028
checkpoint	HLA-C	HLA-C	32	0.06378299120234603	0.7287345717677496	ok	0.7703765472973353
checkpoint	CEACAM1	CEACAM1	32	0.1972140762463343	0.2792991863388963	ok	0.4133627957815665
checkpoint	PVR	PVR	32	0.4494134897360703	0.00986765672691012	ok	0.03651032988956744
checkpoint	NECTIN2	PVRL2	32	0.49230205278592365	0.004207399635508229	ok	0.01945922331422556
checkpoint	CD276	CD276	32	0.5186950146627566	0.002353935930932875	ok	0.012442232777788054
