cell_type	holdout	n_cells	n_units_q1	n_units_q4	datasets	unit_auc	cell_auc	unit_auc_sd	p_perm	null_mean	n_repeats	n_perm	note	q_bh
T	CLDN4	875	19	16	GSE123902,GSE131907,GSE189357,GSE205335	0.5273026315789474	0.5140830592105263	0.060018248033018314	0.16129032258064516	0.33508771929824566	10	30		0.4032258064516129
NK	CLDN4	738	18	14	GSE123902,GSE131907,GSE189357,GSE205335	0.22896825396825396	0.29466190085550215	0.06124924263770079	0.6774193548387096	0.33611111111111114	10	30		0.7741935483870968
myeloid	CLDN4	875	19	16	GSE123902,GSE131907,GSE189357,GSE205335	0.3598684210526316	0.4164085343567252	0.05640698742376412	0.4838709677419355	0.3453947368421053	10	30		0.7741935483870968
B	CLDN4	732	19	12	GSE123902,GSE131907,GSE189357,GSE205335	0.3517543859649123	0.3978496588693957	0.09344838941478534	0.7741935483870968	0.4283625730994152	10	30		0.7741935483870968
malignant	CLDN4_and_epithelial_gate	875	19	16	GSE123902,GSE131907,GSE189357,GSE205335	0.7733552631578947	0.698688779239766	0.06692100750137034	0.03225806451612903	0.36666666666666664	10	30		0.16129032258064516
