simplex	balance	n_q1	n_q4	rank_biserial_q4_vs_q1	p_mw	beta_q4	se_hc1	p_hc1	p_perm
T_NK_myeloid_Rest	immune_focus_vs_rest	19	16	-0.5723684210526316	0.004179303713957568	-1.3579648096156982	0.3582213881580841	0.0006761437971966909	0.001
T_NK_myeloid_Rest	lymphoid_vs_myeloid	19	16	-0.3486842105263158	0.08213177861875916	-0.4532042904241097	0.20994779963371293	0.039002373146941945	0.0365
T_NK_myeloid_Rest	T_vs_NK	19	16	-0.02631578947368418	0.9077345052112101	-0.07237585663784885	0.2840081672518823	0.8005876990545909	0.8335
within_T_NK_myeloid	lymphoid_vs_myeloid	19	16	-0.3486842105263158	0.08213177861875916	-0.4532042904241095	0.20994779963371296	0.03900237314694205	0.0365
within_T_NK_myeloid	T_vs_NK	19	16	-0.02631578947368418	0.9077345052112101	-0.07237585663784885	0.2840081672518823	0.8005876990545909	0.83
