dataset	unit_id	unit_type	tissue	mal_CLDN4_pct	cldn4_quartile	locked_n_cells	locked_n_malignant	locked_n_tnk	locked_frac_tnk	n_cells	n_T	n_NK	n_myeloid	n_B	n_malignant	n_tnk_locked_gate	n_tnk_split	n_rest	label_source	n_mast	frac_T	frac_NK	frac_myeloid	frac_rest	frac_tnk_split	focus_n
GSE123902	LX255B	donor	METASTASIS	35.0877192982456	Q2	3886	228	1583	0.407359752959341	3886	1461	354	638	78	228	1583	1815	1433	marker		0.3759650025733402	0.09109624292331446	0.16417910447761194	0.3687596500257334	0.4670612454966547	2453
GSE123902	LX653	donor	PRIMARY	71.7241379310345	Q4	392	145	49	0.125	392	81	6	48	0	145	49	87	257	marker		0.2066326530612245	0.015306122448979591	0.12244897959183673	0.6556122448979592	0.22193877551020408	135
GSE123902	LX661	donor	PRIMARY	58.974358974359	Q3	4566	117	3726	0.816031537450723	4566	3733	201	202	24	117	3726	3934	430	marker		0.8175646079719667	0.04402102496714849	0.04424003504161191	0.09417433201927289	0.8615856329391152	4136
GSE123902	LX666	donor	METASTASIS	67.175572519084	Q3	1316	786	177	0.134498480243161	1316	243	41	124	13	786	177	284	908	marker		0.18465045592705168	0.03115501519756839	0.09422492401215805	0.6899696048632219	0.21580547112462006	408
GSE123902	LX675	donor	PRIMARY	31.3915857605178	Q1	3435	618	1336	0.388937409024745	3435	1673	149	610	43	618	1336	1822	1003	marker		0.48704512372634645	0.043377001455604074	0.17758369723435224	0.2919941775836972	0.5304221251819505	2432
GSE123902	LX676	donor	PRIMARY	42.1768707482993	Q2	4014	147	2606	0.649227703039362	4014	2540	179	167	615	147	2606	2719	1128	marker		0.6327852516193323	0.044593921275535624	0.04160438465371201	0.28101644245142005	0.6773791728948679	2886
GSE123902	LX679	donor	PRIMARY	43.2595573440644	Q2	2017	497	625	0.309866137828458	2017	583	143	264	84	497	625	726	1027	marker		0.2890431333663857	0.07089737233515121	0.1308874566187407	0.5091720376797224	0.35994050570153696	990
GSE123902	LX680	donor	PRIMARY	73.2558139534884	Q4	941	258	344	0.365568544102019	941	346	57	110	21	258	344	403	428	marker		0.36769394261424015	0.06057385759829968	0.11689691817215728	0.45483528161530284	0.42826780021253985	513
GSE123902	LX681	donor	METASTASIS	63.2974316487158	Q3	1630	1207	86	0.052760736196319	1630	135	10	87	7	1207	86	145	1398	marker		0.08282208588957055	0.006134969325153374	0.05337423312883435	0.8576687116564418	0.08895705521472393	232
GSE123902	LX682	donor	PRIMARY	18.7648456057007	Q1	4092	421	2558	0.625122189638319	4092	2503	207	557	223	421	2558	2710	825	marker		0.6116813294232649	0.050586510263929615	0.136119257086999	0.20161290322580644	0.6622678396871945	3267
GSE123902	LX684	donor	PRIMARY	72.8323699421965	Q4	378	173	92	0.243386243386243	378	109	8	52	7	173	92	117	209	marker		0.28835978835978837	0.021164021164021163	0.13756613756613756	0.5529100529100529	0.30952380952380953	169
GSE123902	LX699	donor	METASTASIS	15.2173913043478	Q1	2671	46	2263	0.847248221639835	2671	2210	126	132	22	46	2263	2336	203	marker		0.8274054661175589	0.0471733433171097	0.04941969299887682	0.07600149756645451	0.8745788094346687	2468
GSE123902	LX701	donor	METASTASIS	11.1111111111111	Q1	788	90	322	0.408629441624365	788	309	50	142	76	90	322	359	287	marker		0.39213197969543145	0.06345177664974619	0.1802030456852792	0.36421319796954316	0.45558375634517767	501
GSE131907	BRONCHO_11	sample	mLN	80.7881773399015	Q2	3178	203	809	0.254562617998741	3178	783	26	739	1413	203	809	809	1630	author_Cell_type	0.0	0.24638137193203272	0.008181246066708621	0.23253618628067968	0.512901195720579	0.25456261799874136	1548
GSE131907	BRONCHO_58	sample	tL/B	72.1739130434783	Q2	2813	460	1546	0.549591183789549	2813	1411	135	515	162	460	1546	1546	752	author_Cell_type	0.0	0.5015997156061145	0.047991468183434055	0.18307856381087806	0.2673302523995734	0.5495911837895485	2061
GSE131907	EBUS_06	sample	tL/B	71.1635750421585	Q2	2303	1186	611	0.26530612244898	2303	510	101	380	111	1186	611	611	1312	author_Cell_type	0.0	0.2214502822405558	0.04385584020842379	0.16500217108119844	0.5696917064698219	0.2653061224489796	991
GSE131907	EBUS_10	sample	mLN	84.4686648501362	Q3	5144	367	1530	0.297433903576983	5144	1496	34	835	2366	367	1530	1530	2779	author_Cell_type	0.0	0.29082426127527217	0.006609642301710731	0.16232503888024882	0.5402410575427683	0.2974339035769829	2365
GSE131907	EBUS_12	sample	mLN	88.3268482490272	Q3	3115	257	328	0.10529695024077	3115	306	22	2332	176	257	328	328	455	author_Cell_type	0.0	0.09823434991974318	0.007062600321027288	0.7486356340288924	0.14606741573033707	0.10529695024077046	2660
GSE131907	EBUS_13	sample	mLN	0.265957446808511	Q1	3550	376	1150	0.323943661971831	3550	1149	1	145	1871	376	1150	1150	2255	author_Cell_type	0.0	0.32366197183098594	0.00028169014084507044	0.04084507042253521	0.6352112676056338	0.323943661971831	1295
GSE131907	EBUS_15	sample	mLN	47.265625	Q1	1105	256	479	0.433484162895928	1105	327	152	319	39	256	479	479	307	author_Cell_type	0.0	0.29592760180995475	0.13755656108597286	0.28868778280542984	0.27782805429864255	0.4334841628959276	798
GSE131907	EBUS_19	sample	mLN	94.0092165898618	Q4	2112	217	1427	0.675662878787879	2112	1176	251	356	98	217	1427	1427	329	author_Cell_type	0.0	0.5568181818181818	0.11884469696969698	0.16856060606060605	0.15577651515151514	0.6756628787878788	1783
GSE131907	EBUS_28	sample	tL/B	96.3362068965517	Q4	5182	4640	232	0.0447703589347742	5182	223	9	158	7	4640	232	232	4792	author_Cell_type	0.0	0.04303357776920108	0.0017367811655731378	0.03049015824006175	0.924739482825164	0.04477035893477422	390
GSE131907	EBUS_49	sample	tL/B	49.1228070175439	Q1	1775	114	1126	0.634366197183099	1775	788	338	276	189	114	1126	1126	373	author_Cell_type	0.0	0.443943661971831	0.19042253521126762	0.15549295774647887	0.21014084507042252	0.6343661971830986	1402
GSE131907	EBUS_51	sample	mLN	85.3696498054475	Q3	3275	1285	1143	0.349007633587786	3275	645	498	716	99	1285	1143	1143	1416	author_Cell_type	0.0	0.1969465648854962	0.15206106870229008	0.21862595419847328	0.43236641221374045	0.34900763358778625	1859
GSE131907	NS_02	sample	mBrain	58.5635359116022	Q1	2313	181	977	0.422395157803718	2313	534	443	863	142	181	977	977	473	author_Cell_type	56.0	0.23086900129701687	0.19152615650670127	0.3731085170773887	0.2044963251188932	0.4223951578037181	1840
GSE131907	NS_03	sample	mBrain	93.1441208993734	Q4	2990	2713	145	0.048494983277592	2990	80	65	99	16	2713	145	145	2746	author_Cell_type	0.0	0.026755852842809364	0.021739130434782608	0.03311036789297659	0.9183946488294314	0.048494983277591976	244
GSE131907	NS_04	sample	mBrain	89.3409275834011	Q4	1904	1229	131	0.0688025210084034	1904	111	20	348	4	1229	131	131	1425	author_Cell_type	1.0	0.058298319327731093	0.01050420168067227	0.18277310924369747	0.7484243697478992	0.06880252100840337	479
GSE131907	NS_06	sample	mBrain	60.2409638554217	Q1	1070	83	383	0.357943925233645	1070	265	118	440	30	83	383	383	247	author_Cell_type	2.0	0.24766355140186916	0.1102803738317757	0.411214953271028	0.2308411214953271	0.3579439252336449	823
GSE131907	NS_07	sample	mBrain	90.407204385278	Q4	5730	5108	166	0.0289703315881326	5730	127	39	313	54	5108	166	166	5251	author_Cell_type	1.0	0.022164048865619547	0.006806282722513089	0.05462478184991274	0.9164048865619546	0.028970331588132635	479
GSE131907	NS_12	sample	mBrain	86.3393810032017	Q3	3182	2811	22	0.0069138906348208	3182	13	9	286	9	2811	22	22	2874	author_Cell_type	1.0	0.004085480829666876	0.0028284098051539913	0.08988057825267128	0.9032055311125079	0.0069138906348208675	308
GSE131907	NS_13	sample	mBrain	72.4112426035503	Q2	4845	1352	1780	0.367389060887513	4845	1723	57	564	656	1352	1780	1780	2501	author_Cell_type	440.0	0.35562435500515993	0.011764705882352941	0.11640866873065016	0.516202270381837	0.3673890608875129	2344
GSE131907	NS_16	sample	mBrain	11.3924050632911	Q1	1317	79	385	0.292331055429005	1317	361	24	182	256	79	385	385	750	author_Cell_type	3.0	0.2741078208048595	0.018223234624145785	0.13819286256643887	0.5694760820045558	0.29233105542900534	567
GSE131907	NS_17	sample	mBrain	88.2194244604317	Q3	2409	1112	410	0.170195101701951	2409	382	28	651	70	1112	410	410	1348	author_Cell_type	4.0	0.1585720215857202	0.011623080116230802	0.27023661270236615	0.5595682855956828	0.170195101701951	1061
GSE131907	NS_19	sample	mBrain	67.1523178807947	Q2	3300	755	370	0.112121212121212	3300	314	56	1911	74	755	370	370	1019	author_Cell_type	0.0	0.09515151515151515	0.01696969696969697	0.5790909090909091	0.3087878787878788	0.11212121212121212	2281
GSE205335	P0031	patient	Lung	59.2476489028213	Q2	6428	319	3824	0.594897324206596	6428	3590	234	458	826	319	3824	3824	2146	author_lineage	120.0	0.5584940883634101	0.03640323584318606	0.07125077784691973	0.3338518979464841	0.5948973242065961	4282
GSE205335	P1006	patient	Effusion,Lung	74.1809672386895	Q3	6090	1282	2998	0.492282430213465	6090	2756	242	1226	385	1282	2998	2998	1866	author_lineage	4.0	0.45254515599343187	0.03973727422003284	0.20131362889983578	0.30640394088669953	0.4922824302134647	4224
GSE205335	P1015	patient	LN	41.5807560137457	Q1	1195	291	473	0.39581589958159	1195	313	160	337	39	291	473	473	385	author_lineage	6.0	0.2619246861924686	0.13389121338912133	0.2820083682008368	0.32217573221757323	0.39581589958158997	810
GSE205335	P1016	patient	Liver,LN	82.6461769115442	Q4	6924	5336	763	0.110196418255344	6924	708	55	454	200	5336	763	763	5707	author_lineage	17.0	0.1022530329289428	0.007943385326400924	0.06556903523974582	0.8242345465049105	0.11019641825534374	1217
GSE205335	P1017	patient	Liver,LN	64.3183897529735	Q3	6266	2186	2370	0.378231726779445	6266	2145	225	655	502	2186	2370	2370	3241	author_lineage	75.0	0.34232365145228216	0.03590807532716246	0.1045323970635174	0.517235876157038	0.3782317267794446	3025
GSE205335	P1018	patient	Bronchus	67.0338983050847	Q3	5029	1180	2546	0.506263670709883	5029	2375	171	573	394	1180	2546	2546	1910	author_lineage	81.0	0.47226088685623385	0.034002783853648834	0.113939152913104	0.3797971763770133	0.5062636707098827	3119
GSE205335	P1025	patient	LN	92.8571428571429	Q4	1222	980	128	0.104746317512275	1222	109	19	48	49	980	128	128	1046	author_lineage	0.0	0.08919803600654665	0.015548281505728314	0.03927986906710311	0.855973813420622	0.10474631751227496	176
