cell_type	holdout	n_cells	n_units_q1	n_units_q4	datasets	unit_auc	cell_auc	unit_auc_sd	p_perm	p_two_sided	null_mean	n_repeats	n_perm	note	q_bh
T	CLDN4	875	19	16	GSE123902,GSE131907,GSE189357,GSE205335	0.5792214912280702	0.5469283016569201	0.09516717550802077	0.29	0.57	0.5043195108984582	12	99		0.3625
NK	CLDN4	738	18	14	GSE123902,GSE131907,GSE189357,GSE205335	0.2880291005291005	0.38298371030118367	0.09584430583985996	0.95	0.09	0.48761423761423756	12	99		0.95
myeloid	CLDN4	875	19	16	GSE123902,GSE131907,GSE189357,GSE205335	0.6008771929824562	0.5542363395467835	0.08558763597357603	0.27	0.52	0.4837519936204147	12	99		0.3625
B	CLDN4	732	19	12	GSE123902,GSE131907,GSE189357,GSE205335	0.660453216374269	0.5913235055230669	0.09489137547982679	0.13	0.33	0.4716905901116428	12	99		0.325
malignant	CLDN4_and_epithelial_gate	875	19	16	GSE123902,GSE131907,GSE189357,GSE205335	0.8133223684210527	0.7316451937134502	0.0327185773541512	0.03	0.03	0.5115629984051037	12	99		0.15
