fraction	dataset	n	rho	p	I2	ci_lo	ci_hi	k	n_q1	n_q4
T	GSE123902	13	-0.6428571428571429	0.017792450692375714						
T	GSE131907	21	-0.5194805194805194	0.01580147573114009						
T	GSE189357	9	-0.5499999999999999	0.12497678418833194						
T	GSE205335	22	-0.4229249011857708	0.049873444255524445						
T	DL_meta	65	-0.5162676832833613	3.201012606343686e-05	0.0	-0.6860549724767698	-0.29315188339254306	4.0		
T	stacked_Q4_vs_Q1	35	-0.625	0.0017527836835521508					19.0	16.0
NK	GSE123902	13	-0.47802197802197804	0.09849011541638986						
NK	GSE131907	21	-0.3337662337662338	0.1392367176682507						
NK	GSE189357	9	-0.41666666666666663	0.26458604674749636						
NK	GSE205335	22	-0.27272727272727276	0.2194550778840765						
NK	DL_meta	65	-0.35100963366660826	0.007611133900647499	0.0	-0.5620477476409541	-0.09706155417766446	4.0		
NK	stacked_Q4_vs_Q1	35	-0.5197368421052632	0.009338831154461791					19.0	16.0
myeloid	GSE123902	13	-0.2692307692307692	0.3737330422818916						
myeloid	GSE131907	21	-0.23896103896103899	0.2968491826193771						
myeloid	GSE189357	9	0.31666666666666665	0.406397014486386						
myeloid	GSE205335	22	-0.33709768492377196	0.12499486927085428						
myeloid	DL_meta	65	-0.21982964201251107	0.10375030930364601	0.0	-0.4563597662772644	0.045717720263320466	4.0		
myeloid	stacked_Q4_vs_Q1	35	-0.39473684210526316	0.04881065575345194					19.0	16.0
Rest	GSE123902	13	0.6593406593406593	0.0142255785114567						
Rest	GSE131907	21	0.32597402597402597	0.14928317187962065						
Rest	GSE189357	9	0.5	0.1704706607870538						
Rest	GSE205335	22	0.4455110107284021	0.037717047862613144						
Rest	DL_meta	65	0.46070085177380743	0.00028678307377810904	0.0	0.22505444962939342	0.6454309869129681	4.0		
Rest	stacked_Q4_vs_Q1	35	0.625	0.0017527836835521508					19.0	16.0
T_plus_NK	GSE123902	13	-0.6208791208791209	0.02353816709643307						
T_plus_NK	GSE131907	21	-0.5220779220779221	0.015195754492505785						
T_plus_NK	GSE189357	9	-0.7333333333333334	0.024554150071469705						
T_plus_NK	GSE205335	22	-0.43534726143421804	0.042861326301676765						
T_plus_NK	DL_meta	65	-0.541975140194127	9.932024244920932e-06	0.0	-0.7044977652801551	-0.32544153225869393	4.0		
T_plus_NK	stacked_Q4_vs_Q1	35	-0.6578947368421053	0.0009850078029295878					19.0	16.0
locked_T_NK_gate	GSE123902	13	-0.6593406593406593	0.0142255785114567						
locked_T_NK_gate	GSE131907	21	-0.5220779220779221	0.015195754492505785						
locked_T_NK_gate	GSE189357	9	-0.6	0.08762282904140249						
locked_T_NK_gate	GSE205335	22	-0.43534726143421804	0.042861326301676765						
locked_T_NK_gate	DL_meta	65	-0.5311678045689989	1.6462232944573955e-05	0.0	-0.6967711225150761	-0.3118052568209761	4.0		
locked_T_NK_gate	stacked_Q4_vs_Q1	35	-0.7236842105263157	0.00028794861470847027					19.0	16.0
malignant	GSE123902	13	0.6593406593406593	0.0142255785114567						
malignant	GSE131907	21	0.5896103896103897	0.004908349532622717						
malignant	GSE189357	9	0.5499999999999999	0.12497678418833194						
malignant	GSE205335	22	0.45793337097684933	0.032101576359682096						
malignant	DL_meta	65	0.5557503751654569	5.062573708340515e-06	0.0	0.3429541404613992	0.714290755107048	4.0		
