part	beta_clr_per_sd	se_hc1	p_hc1	p_perm	n	q_bh
T	-0.267059556672998	0.07752148211149924	0.0010481249525218575	0.001	65	0.004
NK	-0.09751647126458224	0.16789786514237062	0.5635449969509368	0.3595	65	0.47933333333333333
myeloid	0.03956182456888998	0.05442772304097362	0.4701327305918254	0.525	65	0.525
Rest	0.3250142033686904	0.1443057706565701	0.027977116198703814	0.005	65	0.01
