scope	cohort	pathway	pair	ligand	receptor	n_q1_detected	n_q4_detected	n_compared	median_score_q1	median_score_q4	delta_median	mwu_u	p	r_rb	q_bh	bh_family	weaker_in_q4	recovery_q05
cohort	GSE131907	MHC_I	HLA-E–KLRD1	HLA-E	KLRD1	5	4	9	0.8419836759567261	0.7695252820849419	-0.07245839387178421	7.0	0.5555555555555556	-0.30000000000000004	1.0	cohort:GSE131907:focus_MHCI_Trecruit	True	False
cohort	GSE131907	MHC_I	HLA-C–CD8A	HLA-C	CD8A	6	4	10	1.0283734574913979	1.298889882862568	0.27051642537117004	14.0	0.7619047619047619	0.16666666666666674	1.0	cohort:GSE131907:focus_MHCI_Trecruit	False	False
cohort	GSE131907	MHC_I	HLA-A–CD8B	HLA-A	CD8B	5	3	8	1.4277686476707458	1.2939036935567856	-0.13386495411396027	6.0	0.7857142857142857	-0.19999999999999996	1.0	cohort:GSE131907:focus_MHCI_Trecruit	True	False
cohort	GSE131907	MHC_I	HLA-B–CD8B	HLA-B	CD8B	5	3	8	1.5346422791481018	1.3045065253973007	-0.2301357537508011	6.0	0.7857142857142857	-0.19999999999999996	1.0	cohort:GSE131907:focus_MHCI_Trecruit	True	False
cohort	GSE131907	MHC_I	HLA-A–CD8A	HLA-A	CD8A	6	4	10	1.1520443111658096	1.4190359264612198	0.26699161529541016	13.0	0.9142857142857143	0.08333333333333326	1.0	cohort:GSE131907:focus_MHCI_Trecruit	False	False
cohort	GSE131907	MHC_I	HLA-E–KLRC1	HLA-E	KLRC1	3	3	6	0.5187073424458504	0.45246897637844086	-0.06623836606740952	4.0	1.0	-0.11111111111111116	1.0	cohort:GSE131907:focus_MHCI_Trecruit	True	False
cohort	GSE131907	MHC_I	HLA-B–CD8A	HLA-B	CD8A	6	4	10	1.113125741481781	1.4128101021051407	0.2996843606233597	12.0	1.0	0.0	1.0	cohort:GSE131907:focus_MHCI_Trecruit	False	False
cohort	GSE131907	MHC_I	HLA-C–CD8B	HLA-C	CD8B	5	3	8	1.2279991507530212	1.194985792040825	-0.03301335871219635	7.0	1.0	-0.06666666666666665	1.0	cohort:GSE131907:focus_MHCI_Trecruit	True	False
cohort	GSE131907	T_recruit	CXCL16–CXCR6	CXCL16	CXCR6	3	3	6	0.29864145442843437	0.26919111609458923	-0.02945033833384514	4.0	1.0	-0.11111111111111116	1.0	cohort:GSE131907:focus_MHCI_Trecruit	True	False
cohort	GSE205335	MHC_I	HLA-E–KLRD1	HLA-E	KLRD1	5	4	9	0.8939759731292725	0.6009785234928131	-0.29299744963645935	4.0	0.19047619047619047	-0.6	0.43650793650793646	cohort:GSE205335:focus_MHCI_Trecruit	True	False
cohort	GSE205335	MHC_I	HLA-E–KLRK1	HLA-E	KLRK1	6	4	10	0.9112521633505821	0.517348438501358	-0.3939037248492241	6.0	0.2571428571428571	-0.5	0.43650793650793646	cohort:GSE205335:focus_MHCI_Trecruit	True	False
cohort	GSE205335	MHC_I	HLA-B–CD8A	HLA-B	CD8A	6	3	9	1.7323860079050064	1.180444598197937	-0.5519414097070694	4.0	0.26190476190476186	-0.5555555555555556	0.43650793650793646	cohort:GSE205335:focus_MHCI_Trecruit	True	False
cohort	GSE205335	MHC_I	HLA-A–CD8A	HLA-A	CD8A	6	3	9	1.5427459627389908	1.609623372554779	0.06687740981578827	8.0	0.9047619047619047	-0.11111111111111116	0.9047619047619047	cohort:GSE205335:focus_MHCI_Trecruit	False	False
cohort	GSE205335	MHC_I	HLA-C–CD8A	HLA-C	CD8A	6	3	9	1.4641651064157486	1.4936113953590393	0.02944628894329071	8.0	0.9047619047619047	-0.11111111111111116	0.9047619047619047	cohort:GSE205335:focus_MHCI_Trecruit	False	False
winpair	GSE131907+GSE205335	MHC_I	HLA-E–KLRD1	HLA-E	KLRD1	10	8	18	0.8923359513282776	0.6844789609313011	-0.20785699039697647	21.0	0.10110151286621874	-0.475	0.6796697626418988	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
winpair	GSE131907+GSE205335	MHC_I	HLA-E–KLRC1	HLA-E	KLRC1	5	4	9	0.7726038247346878	0.4462119787931442	-0.3263918459415436	4.0	0.19047619047619047	-0.6	0.6796697626418988	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
winpair	GSE131907+GSE205335	MHC_I	HLA-E–KLRC1+KLRD1	HLA-E	KLRC1+KLRD1	5	3	8	0.7726038247346878	0.419207826256752	-0.3533959984779358	3.0	0.25	-0.6	0.6796697626418988	winpair:GSE131907+GSE205335:focus_MHCI_Trecruit	True	False
