pert_type	n_sig	n_cmap_name	cldn4	tacstd2
trt_cp	720216	33609	0	0
trt_sh	177263	4917	0	0
trt_xpr	140945	5158	0	20
ctl_vehicle	39448	5	0	0
trt_sh.cgs	36720	4345	0	0
trt_oe	34171	4040	0	0
trt_sh.css	24368	3807	0	0
ctl_vector	14969	66	0	0
trt_lig	7546	329	0	0
ctl_untrt	5332	1	0	0
trt_aby	575	4	0	0
trt_si	162	23	0	0
ctl_vector.cns	137	8	0	0
ctl_vehicle.cns	61	2	0	0
ctl_untrt.cns	30	1	0	0
ctl_x	1	1	0	0
