sig_id	pert_id	guide	cell_iname	cell_lineage	primary_disease	nsample	cc_q75	tas	is_hiq	qc_pass	z_TACSTD2	z_CLDN4
XPR025_A375.311_96H:L07	BRDN0001498584	L07	A375	skin	skin cancer	3	0.1969	0.124523	0	1	-0.72515607	-0.54789174
XPR025_A375.311_96H:D23	BRDN0001498879	D23	A375	skin	skin cancer	3	0.42	0.331579	0	1	0.3604522	-0.50246894
XPR025_A549.311_96H:L07	BRDN0001498584	L07	A549	lung	lung cancer	3	0.2561	0.140144	1	1	0.46220937	0.33583072
XPR025_A549.311_96H:D23	BRDN0001498879	D23	A549	lung	lung cancer	3	0.2997	0.194944	0	1	0.5031661	0.9182949
XPR025_AGS.311_96H:L07	BRDN0001498584	L07	AGS	stomach	gastric cancer	3	0.0906	0.0652631	0	1	-0.88917786	-0.7593168
XPR025_AGS.311_96H:D23	BRDN0001498879	D23	AGS	stomach	gastric cancer	3	0.4108	0.312846	0	1	1.847934	0.20105739
XPR025_BICR6.311_96H:L07	BRDN0001498584	L07	BICR6	upper_aerodigestive_tract	head and neck cancer	2	0.2461	0.176643	1	1	0.0	-0.116286635
XPR025_BICR6.311_96H:D23	BRDN0001498879	D23	BICR6	upper_aerodigestive_tract	head and neck cancer	2	0.2221	0.1566	0	1	0.0	1.2881356
XPR025_ES2.311_96H:L07	BRDN0001498584	L07	ES2	ovary	ovarian cancer	3	0.3522	0.230848	1	1	0.52805805	0.8238968
XPR025_ES2.311_96H:D23	BRDN0001498879	D23	ES2	ovary	ovarian cancer	3	0.1811	0.153342	0	1	-0.015196741	0.66872036
XPR025_HT29.311_96H:L07	BRDN0001498584	L07	HT29	large_intestine	colon cancer	3	0.0243	0.0431439	0	1	-0.66037256	-0.5474797
XPR025_HT29.311_96H:D23	BRDN0001498879	D23	HT29	large_intestine	colon cancer	3	0.3145	0.261707	0	1	-0.58605444	-0.8264861
XPR025_MCF7.311_96H:L07	BRDN0001498584	L07	MCF7	breast	breast cancer	3	0.0555	0.0607482	0	1	-0.21922214	0.44145882
XPR025_MCF7.311_96H:D23	BRDN0001498879	D23	MCF7	breast	breast cancer	3	0.0747	0.107761	0	1	0.87153506	0.8765155
XPR025_PC3.311B_96H:L07	BRDN0001498584	L07	PC3	prostate	prostate cancer	3	0.058	0.0662586	0	1	0.66119	-0.7414501
XPR025_PC3.311B_96H:D23	BRDN0001498879	D23	PC3	prostate	prostate cancer	3	0.1743	0.131476	0	1	1.0887957	1.7843043
XPR025_U251MG.311_96H:L07	BRDN0001498584	L07	U251MG	central_nervous_system	brain cancer	3	0.1091	0.0831771	0	1	-0.23524456	-0.5830648
XPR025_U251MG.311_96H:D23	BRDN0001498879	D23	U251MG	central_nervous_system	brain cancer	3	0.3497	0.374392	0	1	0.8226144	1.2303823
XPR025_YAPC.311_96H:L07	BRDN0001498584	L07	YAPC	pancreas	pancreatic cancer	3	0.3782	0.263832	0	1	-0.62239134	-0.5492374
XPR025_YAPC.311_96H:D23	BRDN0001498879	D23	YAPC	pancreas	pancreatic cancer	3	0.1259	0.131854	0	1	-0.3842513	-0.35113922
