term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	note	contrast	rank_kind	n_sig	n_cell	n_genes_ranked	fdr_bh_headline	role
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3863836291469455	1.817730319860452	0.000999000999000999	181	0.14905373142071823	IRF7,MX1,RIPK1,IL15,PTGS2,PLA2G4A,ISG20,UPP1,ARID5B,RSAD2,RIPK2,PTPN1,IRF9,TRIM25,IL18BP,ZBP1,IRF1,RNF31,IFIH1,PML,CCL7,IFI27,CDKN1A,CD40,CD74	93		cell_median_all_qc	cell_median	20	10	12326	0.001998001998001998	headline
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4338780529066279	1.8044144067518508	0.000999000999000999	84	0.16984273399285715	IRF7,MX1,IL15,ISG20,RSAD2,RIPK2,TMEM140,IRF9,TRIM25,IRF1,CSF1,RNF31,IFIH1,IFI27,CD74,IFITM1,RTP4,IFI35,WARS,IFI44,IL7,SP110,HERC6,UBA7,IFIT2	35		cell_median_all_qc	cell_median	20	10	12326		secondary
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.28497687090580953	0.8847452353879172	0.3926073926073926	20	0.05465262517499999	TAPBPL,IRF1,PSMB10,ERAP1,TAP1,PSMB9	6		cell_median_all_qc	cell_median	20	10	12326	0.3926073926073926	headline
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.44036633097974914	2.1060700233145457	0.000999000999000999	181	0.14187307814143646	PLA2G4A,MX1,RIPK1,PTPN1,IRF7,IL18BP,IRF9,CD40,RSAD2,IFI35,CASP8,IFI27,USP18,RNF31,CFB,ARID5B,RIPK2,IRF1,ZBP1,UBE2L6,PARP12,PML,ST8SIA4,SELP,UPP1	84		signature_median_all_qc	signature_median	20	10	12326	0.001998001998001998	headline
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4738771469515575	2.0007859355432855	0.000999000999000999	84	0.14856033004583336	MX1,TMEM140,IRF7,IRF9,RSAD2,IFI35,CASP8,IFI27,USP18,RNF31,RIPK2,IRF1,UBE2L6,PARP12,ELF1,UBA7,IFIT2,SP110,IL15,LPAR6,CXCL11,WARS,PSMB9,GMPR,STAT2	39		signature_median_all_qc	signature_median	20	10	12326		secondary
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.30132926104849866	0.9375189016212531	0.3306693306693307	20	0.0687202450975	TAPBPL,ERAP1,IRF1,PSMB9	4		signature_median_all_qc	signature_median	20	10	12326	0.3306693306693307	headline
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.35336209239939687	1.4709379731096957	0.002997002997002997	181	0.22965348663969612	PLA2G4A,ICAM1,RNF31,MX1,RSAD2,RIPK1,IRF9,UPP1,PLSCR1,ZBP1,CD40,ISG20,IFIT2,IRF7,USP18,IFIH1,FCGR1A,RBCK1,ST8SIA4,PTPN1,TRIM25,IL18BP,PSMB10,IFI35,WARS	79		cell_median_cc_q75_ge_0.2	cell_median	10	8	12326	0.005994005994005994	headline
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.40391466376383045	1.5445960481639105	0.01098901098901099	84	0.2821855106369048	RNF31,TMEM140,MX1,RSAD2,CSF1,IRF9,PLSCR1,ISG20,CCRL2,IFIT2,IRF7,USP18,IFIH1,TRIM25,IFI35,WARS,IFI44,IL7,LAMP3,IFI27,IL4R,GMPR,PARP12,STAT2,LPAR6	44		cell_median_cc_q75_ge_0.2	cell_median	10	8	12326		secondary
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.2313403875641559	0.6865746737217875	0.6703296703296703	20	0.03861110153125	PSMB10,ERAP1,TAPBPL	3		cell_median_cc_q75_ge_0.2	cell_median	10	8	12326	0.6703296703296703	headline
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.19095106836061937	-0.8851428195751553	0.48451548451548454	181	-0.020248472889782872	GZMA,IFI44,IFIH1,IFI30,CIITA,PELI1,MYD88,TDRD7,IFIT3,SAMHD1,HLA-DRB1,FCGR1A,LCP2,MARCH1,CXCL11,DDX58,IRF4,ST3GAL5,CXCL9,TOR1B,IRF5,TRIM21,STAT1,LY6E,PSMB2	57		cell_median_is_hiq	cell_median	3	3	12326	0.48451548451548454	headline
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.1914827281506994	-0.7926241213050057	0.5064935064935064	84	-0.009181474042270241	TRIM21,LY6E,CXCL10,USP18,RSAD2,DHX58,CMTR1,TRAFD1,PARP12,IRF2,CASP1,IFI44L,SLC25A28,DDX60,OAS1,OASL,GBP2,ADAR,LAP3	19		cell_median_is_hiq	cell_median	3	3	12326		secondary
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.30045404727209524	0.9535146568021479	0.23076923076923078	20	0.07669506725	PSMB8,HLA-B,HLA-C,TAPBPL,ERAP1,IRF1,PSMB9	7		cell_median_is_hiq	cell_median	3	3	12326	0.46153846153846156	headline
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.44290244733514483	1.6033749480544075	0.00999000999000999	33	0.15172333377651515	PTGS2,PLA2G4A,ARID5B,PTPN1,CDKN1A,CD40,CCL2,HERC6,CASP3,PSMB10,UBE2L6,IL4R,ST3GAL5,HLA-DMA,MVP,PSME2,LAP3,ICAM1	18		cell_median_all_qc_landmark_only	cell_median_landmark	20	10	978	0.00999000999000999	headline
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.428058956893409	1.0188880851541584	0.20679320679320679	8	0.145200878375	HERC6,UBE2L6,IL4R,PSME2,LAP3,PLSCR1,PSMB8	7		cell_median_all_qc_landmark_only	cell_median_landmark	20	10	978		secondary
CUSTOM_MHC_I_ANTIGEN_PRESENTATION				2			0	skipped n_in_rank=2 < min_size=8	cell_median_all_qc_landmark_only	cell_median_landmark	20	10	978		headline
