term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	note	contrast	rank_kind	n_sig	n_cell	n_genes_ranked	fdr_bh_headline	role	cell_iname	pert_id	guide
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5173745573531228	2.6604923096268376	0.000999000999000999	181	0.31752279061491706	HERC6,IFIT3,IFIT1,SP110,PARP12,IFIT2,IFI44L,RSAD2,OAS2,OAS3,ISG20,IFI44,NUP93,OASL,XAF1,DDX58,MX2,MX1,IRF4,IFIH1,USP18,ST3GAL5,SELP,UPP1,NFKBIA	57		XPR025_A375.311_96H:L07	signature	1	1	12326	0.001998001998001998	headline	A375	BRDN0001498584	L07
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6235604936102371	2.811661259830569	0.000999000999000999	84	0.5375735502857144	HERC6,IFIT3,SP110,PARP12,IFIT2,SAMD9,IFI44L,RSAD2,TMEM140,OAS1,ISG20,IFI44,OASL,MX1,IFIH1,USP18,TRIM21,DDX60,ISG15,IFI35,IRF7,IL15,IFI27,RTP4,TDRD7	36		XPR025_A375.311_96H:L07	signature	1	1	12326		secondary	A375	BRDN0001498584	L07
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.2279673762148838	-0.6821276329706453	0.5394605394605395	20	-0.04809843399999999	HLA-F,HLA-G,CANX,HLA-C	4		XPR025_A375.311_96H:L07	signature	1	1	12326	0.5394605394605395	headline	A375	BRDN0001498584	L07
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.26900740121097483	1.2154966718809284	0.09490509490509491	181	0.36674604384309384	PLSCR1,NCOA3,PML,IRF9,ARID5B,ARL4A,SOD2,IRF7,IFIH1,PIM1,ISG20,JAK2,TNFAIP2,HLA-DQA1,VCAM1,CD38,FCGR1A,MX1,CD40,PLA2G4A,IRF8,TRIM26,ST8SIA4,GPR18,PELI1	60		XPR025_A375.311_96H:D23	signature	1	1	12326	0.14285714285714285	headline	A375	BRDN0001498879	D23
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3342234618215225	1.3545419440134068	0.04695304695304695	84	0.4156765844690477	PLSCR1,IRF9,IRF7,IFIH1,ISG20,CSF1,MX1,GMPR,TRIM26,IFI35,RNF31,LAMP3,IFIT2,LY6E,STAT2,TMEM140,ISG15,RSAD2,USP18,TRIM25,WARS,CXCL11,ELF1,PARP12,IL7	41		XPR025_A375.311_96H:D23	signature	1	1	12326		secondary	A375	BRDN0001498879	D23
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.26646229559056755	-0.9554058748533624	0.14285714285714285	20	-0.053987190500000004	CALR,PSMB9,HLA-E,PSMB8,CANX,HLA-A,PDIA3,ERAP2,B2M	9		XPR025_A375.311_96H:D23	signature	1	1	12326	0.14285714285714285	headline	A375	BRDN0001498879	D23
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.29016689621535896	-1.3504834292226913	0.016983016983016984	181	-0.1234632209320442	DHX58,CMKLR1,IRF5,CMTR1,CASP3,PARP12,SRI,IRF2,CASP1,IFI44L,PSME1,IFIT1,PSMB9,TNFAIP6,IL10RA,OAS2,PSMA2,ADAR,JAK2,SERPING1,IDO1,STAT2,PDE4B,CSF2RB,PTPN6	46		XPR025_A549.311_96H:L07	signature	1	1	12326	0.016983016983016984	headline	A549	BRDN0001498584	L07
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.3096562911672454	-1.2848299275644095	0.04295704295704296	84	-0.1233612946154762	TRIM21,IFIT2,DHX58,CMTR1,PARP12,IRF2,CASP1,IFI44L,PSME1,PSMB9,OAS1,ADAR,STAT2,CXCL11,IFIH1,PSMA3,CXCL10,HLA-C,IFI30,DDX60,RSAD2,LAP3	22		XPR025_A549.311_96H:L07	signature	1	1	12326		secondary	A549	BRDN0001498584	L07
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.5774998077739086	-1.7352017934536605	0.002997002997002997	20	-0.34054494990000006	PSMB9,CANX,PDIA3,HLA-E,CALR,HLA-F,HLA-C,HLA-G	8		XPR025_A549.311_96H:L07	signature	1	1	12326	0.005994005994005994	headline	A549	BRDN0001498584	L07
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.3432561211356135	1.6217786941668957	0.001998001998001998	181	0.27069773751348064	USP18,IFIT1,DDX58,MX2,IFIT3,CD40,FAS,RIPK2,IFIT2,PTGS2,PLA2G4A,IRF9,RBCK1,DDX60,UPP1,ZBP1,DHX58,IL6,TRIM25,APOL6,TDRD7,CMTR1,TRIM14,MX1,RIPK1	79		XPR025_A549.311_96H:D23	signature	1	1	12326	0.003996003996003996	headline	A549	BRDN0001498879	D23
