cell_iname	sig_a	sig_b	spearman_all_genes	spearman_ifng_genes	n_ifng
A375	XPR025_A375.311_96H:L07	XPR025_A375.311_96H:D23	-0.086696561675658	-0.030935179001477343	181
A549	XPR025_A549.311_96H:L07	XPR025_A549.311_96H:D23	0.19441802353614918	0.13329690567259628	181
AGS	XPR025_AGS.311_96H:L07	XPR025_AGS.311_96H:D23	-0.05560790545771408	-0.08429360694554063	181
BICR6	XPR025_BICR6.311_96H:L07	XPR025_BICR6.311_96H:D23	-0.02062054101013823	-0.12787323174063506	181
ES2	XPR025_ES2.311_96H:L07	XPR025_ES2.311_96H:D23	0.020716350300663613	0.14815129621759454	181
HT29	XPR025_HT29.311_96H:L07	XPR025_HT29.311_96H:D23	-0.06114624008510275	0.0770384311820776	181
MCF7	XPR025_MCF7.311_96H:L07	XPR025_MCF7.311_96H:D23	0.07781420083147744	0.2490032987270556	181
PC3	XPR025_PC3.311B_96H:L07	XPR025_PC3.311B_96H:D23	-0.16212809881827675	0.01873596017242426	181
U251MG	XPR025_U251MG.311_96H:L07	XPR025_U251MG.311_96H:D23	-0.27391534193267386	-0.2054520065569789	181
YAPC	XPR025_YAPC.311_96H:L07	XPR025_YAPC.311_96H:D23	-0.17561922719509984	-0.3200979499322041	181
