source	n_rows	cldn4_rows	tacstd2_rows	note
LINCS2020 siginfo_beta	1201944	0	20	cmap_name exact
GSE92742 sig_info (phase I)	473647	0	0	pert_iname exact
GSE92742 pert_info (phase I)	51383	0	0	pert_iname exact
GSE70138 sig_info (phase II, 2017-03-06)	118050	0	0	pert_iname exact
