term	n_set	n_direct	n_alias	n_absent	n_in_universe	n_landmark	n_best_inferred	n_inferred	alias_genes	absent_genes
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	179	2	19	181	33	138	10	MARCHF1->MARCH1,WARS1->WARS	BATF2,CD274,CMPK2,EIF4E3,EPSTI1,GBP4,GBP6,HELZ2,LATS2,LYSMD2,METTL7B,NLRC5,PARP14,PNPT1,RAPGEF6,RNF213,SAMD9L,SPPL2A,ZNFX1
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	83	1	13	84	8	74	2	WARS1->WARS	BATF2,CMPK2,EPSTI1,GBP4,HELZ2,MOV10,MVB12A,NCOA7,NUB1,PARP14,PARP9,PNPT1,SAMD9L
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	21	20	0	1	20	2	17	1		NLRC5
