nhood	n_cells	n_TNK	n_epithelial	n_malignant_like	frac_TNK	frac_epithelial	mean_TACSTD2_log1p_all	mean_TACSTD2_log1p_epi	mean_TACSTD2_log1p_tnk	index_lineage	index_cell	kth_distance	embedding	n_cells_da	n_samples_nonzero	testable	logFC	logCPM	F	PValue	FDR_BH	SpatialFDR	dispersion	ql_dispersion	ref_level	alt_level	n_samples	n_ref	n_alt	is_interface	tacstd2_high_epi_nhood	tnk_depleted_nhood	kept_composition	kept_da_enriched	tnk_rich_depleted_in_alt	keep_reason	contrast	epi_tacstd2_threshold	tnk_depleted_threshold
4972	59	1	58	37	0.01694915254237288	0.9830508474576272	1.915929409561347	1.9212137457187135	1.6094379124341003	epithelial	BD_immune07_439971	7.191011428833008	harmony	59.0	6	True	3.481729405757559	5.8802229753108515	9.30309115856638	0.01581870800757238	0.4212658799829842	0.4519194453252452	0.21483903108991556	2.602184453171582	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4973	54	0	54	37	0.0	1.0	3.322456364023335	3.322456364023335		epithelial	BD_immune07_421540	8.420635223388672	harmony	54.0	5	True	4.061708467710146	4.8200978077718055	7.022381911528517	0.02925681324933706	0.4212658799829842	0.4519194453252452	0.24709643981006435	3.604980198359276	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4974	47	0	47	30	0.0	1.0	2.431800353171373	2.431800353171373		epithelial	BD_immune07_237401	8.40608024597168	harmony	47.0	5	True	3.4030140012894576	4.794246445805978	5.210665464201949	0.051853293608645726	0.42728557935689576	0.4588281552638021	0.29556460106671695	3.3791668228767073	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4975	67	0	66	45	0.0	0.9850746268656716	3.1856665510621727	3.169348167335216		epithelial	BD_immune07_418411	7.281765937805176	harmony	67.0	3	True	4.261696994204202	3.1277941978590618	5.638300830744533	0.04492897834436636	0.4212658799829842	0.4519194453252452	0.4619024162078088	3.621061226392346	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4976	80	0	79	49	0.0	0.9875	2.705184717484786	2.7306535470661126		epithelial	BD_immune07_447300	8.320791244506836	harmony	80.0	6	True	4.224988244214277	5.672793996742777	8.98358603676792	0.017143047419373947	0.4212658799829842	0.4519194453252452	0.33489652712061424	3.012962402008494	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4977	93	0	93	58	0.0	1.0	2.620557735673176	2.620557735673176		epithelial	BD_immune07_316781	6.688385963439941	harmony	93.0	6	True	2.8343154576588545	5.72716669604535	3.43186236271023	0.10108357543089928	0.47225876358378055	0.49924826024716645	0.4378872033672713	4.01507714659305	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4978	92	0	92	53	0.0	1.0	1.9278329370257308	1.9278329370257308		epithelial	BD_immune07_720303	6.245113372802734	harmony	92.0	2	False		2.33001591648936					0.4178093030761775	3.8112055356620176	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4979	68	0	67	52	0.0	0.9852941176470589	2.1176767481954717	2.1018502245812556		epithelial	BD_immune07_154357	6.769739627838135	harmony	68.0	5	True	4.206963452534922	5.1355026330819795	9.996820407087737	0.013359182258903651	0.4212658799829842	0.4519194453252452	0.3862469595993556	2.4428206575656084	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4980	66	0	66	45	0.0	1.0	2.638414720178654	2.638414720178654		epithelial	BD_immune07_373277	7.201147556304932	harmony	66.0	3	True	2.9591668319511486	3.0156630123116592	2.489985900750289	0.1532249493431867	0.547877186114231	0.5743282875119358	0.5915632528853709	4.300008051128003	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4981	71	0	71	48	0.0	1.0	2.640192415001955	2.640192415001955		epithelial	BD_immune07_811122	8.439240455627441	harmony	71.0	4	True	3.093087560925744	3.8618450830271684	2.8647472995800474	0.12899742647710474	0.5076672912969928	0.5344545369250921	0.5318844138676535	4.406764417794495	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
