sample	B	NK	T	epithelial	mast	myeloid	neutrophil	pDC	plasma
BD_immune01	36	423	196	644	42	958	2038	3	247
BD_immune02	1967	190	2389	99	15	116	245	6	45
BD_immune03	1050	1275	3628	1045	74	601	164	30	875
BD_immune04	458	883	4460	129	62	1321	581	23	146
BD_immune05	241	129	652	1474	12	219	89	1	224
BD_immune06	93	515	2294	43	87	830	604	22	3
BD_immune07	72	217	755	5282	149	1746	154	87	48
BD_immune08	235	233	2756	182	186	566	205	12	672
BD_immune09	141	988	2144	278	12	881	73	9	131
BD_immune10	90	1605	2266	243	27	1266	432	39	268
BD_immune11	255	390	1245	425	32	950	347	3	4
BD_immune12	1232	146	1122	436	77	704	2133	31	210
BD_immune13	117	127	1159	28	13	3128	1894	12	43
BD_immune14	1712	345	2340	174	63	376	204	3	91
BD_immune15	376	528	892	522	58	3741	1689	1	17
