index_cell	n_embeddings
BD_immune02_196980	1
BD_immune03_100871	1
BD_immune03_117409	1
BD_immune03_130709	1
BD_immune03_139313	2
BD_immune03_176373	2
BD_immune03_188964	1
BD_immune03_206285	2
BD_immune03_305029	1
BD_immune03_419639	1
BD_immune03_449049	1
BD_immune03_480613	1
BD_immune03_53055	2
BD_immune03_628173	1
BD_immune03_693369	1
BD_immune03_734130	1
BD_immune03_783512	1
BD_immune03_859827	1
BD_immune05_317597	1
BD_immune05_554554	1
BD_immune05_586029	1
BD_immune05_769766	1
BD_immune05_81789	1
BD_immune05_863181	1
BD_immune07_127665	1
BD_immune07_187910	1
BD_immune07_256021	1
BD_immune07_645627	1
BD_immune09_830774	1
BD_immune10_172273	1
BD_immune10_274495	1
BD_immune10_414288	1
BD_immune10_633453	1
BD_immune10_692796	1
BD_immune10_716751	1
BD_immune10_815060	1
BD_immune10_824170	1
BD_immune10_94199	1
BD_immune12_225995	1
BD_immune12_513545	1
BD_immune12_59605	1
BD_immune12_623962	1
BD_immune12_723174	1
BD_immune12_93967	1
