gene	T47D_WT_rep1	T47D_WT_rep2	T47D_KO_rep1	T47D_KO_rep2	MCF7_WT_rep1	MCF7_WT_rep2	MCF7_KO_rep1	MCF7_KO_rep2	sep_T47D	sep_MCF7
CLDN4	1007.8547	954.3332	515.2209	482.7388	2379.3142	2377.2375	1546.4778	1526.0435	both_KO_below_both_WT	both_KO_below_both_WT
PRKDC	7638.3179	8330.8379	10157.6010	9782.5151	8700.3613	8540.3850	8430.0021	8415.1318	both_KO_above_both_WT	both_KO_below_both_WT
XRCC4	272.9997	325.0001	289.0003	294.0003	334.0002	341.0003	441.9999	465.0002	overlap	both_KO_above_both_WT
LIG4	109.0000	107.0000	133.0000	133.9999	234.9996	185.0000	212.9999	242.9997	both_KO_above_both_WT	overlap
RIF1	4463.1509	4680.0359	5283.1793	5124.9404	4732.2706	4802.9326	6164.9822	5931.6701	both_KO_above_both_WT	both_KO_above_both_WT
TP53BP1	752.0538	790.7137	959.0901	877.8622	1207.4307	1120.5087	1462.2236	1324.8309	both_KO_above_both_WT	both_KO_above_both_WT
XRCC5	12767.9988	13533.0089	16098.0139	14774.0238	14631.9641	14958.9737	18611.9760	17710.0140	both_KO_above_both_WT	both_KO_above_both_WT
XRCC6	12006.1492	12809.5150	11617.3715	11030.1918	14822.1528	15156.9616	18312.7315	16812.9073	both_KO_below_both_WT	both_KO_above_both_WT
NHEJ1	196.4061	211.5798	225.2859	207.4246	190.0997	204.3551	205.9869	173.5222	overlap	overlap
TMEM173	1.3848	1.0688	3.1359	4.6126	10.5319	6.6242	10.5844	10.6704	both_KO_above_both_WT	overlap
MB21D1	393.9244	380.3882	543.3219	495.1747	340.1762	377.3072	461.3489	442.7836	both_KO_above_both_WT	both_KO_above_both_WT
TBK1	1827.9971	2022.9981	1987.9977	2053.9969	2463.9962	2420.9950	2829.9954	2638.9995	overlap	both_KO_above_both_WT
IRF3	638.5878	629.6336	612.2371	636.0066	767.0993	733.5335	961.9807	912.7920	both_KO_below_both_WT	both_KO_above_both_WT
STAT1	1250.9994	1400.0024	1463.0042	1427.0009	2226.9985	2287.0044	2422.0007	2304.9989	overlap	overlap
ISG15	366.0000	374.9997	88.0000	110.0000	326.9998	343.0001	409.0004	388.0000	both_KO_below_both_WT	both_KO_above_both_WT
BST2	92.0000	76.0000	2.0000	2.0000	9.0000	6.0000	2.0000	2.0000	both_KO_below_both_WT	both_KO_below_both_WT
OAS1	51.6035	45.5922	35.9357	36.2640	35.1115	29.4909	8.6483	10.7664	both_KO_below_both_WT	both_KO_below_both_WT
IFIT1	39.8830	38.9646	35.2780	34.5948	33.3735	32.4969	19.7279	16.4974	both_KO_below_both_WT	both_KO_below_both_WT
MX1	52.4107	42.6985	41.1153	40.2203	32.7856	51.8543	46.7667	38.1223	both_KO_below_both_WT	overlap
HLA-A	805.7258	696.8756	923.1361	912.8485	426.7969	410.4482	1216.1754	1045.4960	both_KO_above_both_WT	both_KO_above_both_WT
B2M	2549.7811	2493.3937	2698.1462	2565.0469	1418.6662	1450.1892	2160.7179	2075.0487	overlap	both_KO_above_both_WT
TAP1	478.4564	521.9893	486.0461	380.3070	346.6779	380.5103	433.3647	384.6573	both_KO_below_both_WT	overlap
