n_set	n_measured	n_missing	mean_log2FC	median_log2FC	n_pos	n_neg	sign_p	mw_p	ora_up_p	ora_down_p	direction	mapped_genes	missing_genes	source	contrast	set	family	set_source	nes	gsea_p	gsea_fdr
7	7	0	0.239503	0.168262	5	2	0.453125	0.0842111	0.355837	1	up	PRKDC,XRCC4,LIG4,RIF1,TP53BP1,XRCC5,XRCC6		cufflinks_group_mean_FPKM	T47D	user_cNHEJ_7	nhej	user panel			
5	5	0	0.261592	0.16443	3	2	1	0.213851	0.213988	1	up	PRKDC,XRCC4,LIG4,XRCC5,XRCC6		cufflinks_group_mean_FPKM	T47D	enzymatic_cNHEJ_5	nhej	user panel without RIF1/TP53BP1			
2	2	0	-0.00846063	-0.00846063	1	1	1				too_few	XRCC5,XRCC6		cufflinks_group_mean_FPKM	T47D	ku_XRCC5_XRCC6	nhej	Ku heterodimer			
3	3	0	0.361136	0.0829183	2	1	1	0.276553	0.440107	1	up	XRCC4,LIG4,NHEJ1		cufflinks_group_mean_FPKM	T47D	ligase_XRCC4_LIG4_NHEJ1	nhej	ligase complex			
5	4	1	0.0361827	0.0548567	3	1	0.625	0.708653	1	1	sign_up_below_bar	MB21D1,TBK1,IRF3,STAT1	STING1	cufflinks_group_mean_FPKM	T47D	STING_core_5	sting_ifn	user STING core			
4	3	1	0.0135391	0.00559987	2	1	1	0.903548	1	1	sign_up_below_bar	MB21D1,TBK1,IRF3	STING1	cufflinks_group_mean_FPKM	T47D	STING_core_no_STAT1	sting_ifn	STING core without STAT1			
21	9	12	-0.206228	-0.205136	2	7	0.179688	0.0553439	1	0.109831	down	HLA-C,SEC14L2,TAPBPL,PSMB10,ERAP1,CALR,CANX,PDIA3,IRF1	HLA-A,HLA-B,HLA-E,HLA-F,HLA-G,B2M,TAP2,TAPBP,NLRC5,PSMB8,PSMB9,ERAP2	cufflinks_group_mean_FPKM	T47D	APM_21_repo	apm	repo MHC-I/APM list	-1.31889	0.0819181	0.163836
97	63	34	-0.318518	-0.216097	19	44	0.00222753	0.000303541	0.885957	0.00036041	down	ADAR,BST2,CASP8,CD47,CMTR1,CNP,EIF2AK2,ELF1,GBP2,GMPR,HELZ2,HERC6,HLA-C,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFITM1,IFITM2,IFITM3,IL4R,IL7,IRF1,IRF2,ISG15,ISG20,LAP3,LGALS3BP,MOV10,MVB12A,NCOA7,NMI,NUB1,OAS1,OGFR,PARP12,PARP14,PARP9,PLSCR1,PNPT1,PROCR,PSMA3,PSME1,PSME2,RIPK2,RNF31,SLC25A28,SP110,STAT2,SEC14L2,TDRD7,FAM46A,TMEM140,TRAFD1,TRIM14,TRIM21,TRIM25,TRIM5,TXNIP,UBE2L6,USP18,WARS	B2M,BATF2,C1S,CASP1,CCRL2,CD74,CMPK2,CSF1,CXCL10,CXCL11,DDX60,DHX58,EPSTI1,GBP4,IFI27,IFIT2,IFIT3,IL15,IRF7,IRF9,LAMP3,LPAR6,LY6E,MX1,OASL,PSMB8,PSMB9,RSAD2,RTP4,SAMD9,SAMD9L,SELL,TRIM26,UBA7	cufflinks_group_mean_FPKM	T47D	hallmark_IFNa_repo_a8	sting_ifn	a8 Hallmark 2020 IFN-α	-1.80628	0.000999001	0.00519481
200	118	82	-0.181988	-0.0916413	46	72	0.02097	0.0148594	0.513131	7.83778e-05	down	ADAR,ARID5B,ARL4A,AUTS2,BANK1,BPGM,BST2,BTG1,CASP3,CASP4,CASP7,CASP8,CD274,CDKN1A,CMTR1,DDX58,EIF2AK2,EIF4E3,FAS,FCGR1A,GCH1,HELZ2,HERC6,HIF1A,HLA-DRB1,ICAM1,IFI30,IFI35,IFI44,IFI44L,IFIH1,IFIT1,IFITM2,IFITM3,IFNAR2,IL15RA,IL18BP,IL4R,IL7,IRF1,IRF2,IRF5,ISG15,ISG20,ISOC1,ITGB7,JAK2,LAP3,LATS2,LGALS3BP,LYSMD2,METTL7B,MT2A,MTHFD2,MYD88,NAMPT,NCOA3,NFKB1,NFKBIA,NMI,NOD1,NUP93,OAS3,OGFR,PARP12,PARP14,PELI1,PFKP,PIM1,PLSCR1,PML,PNP,PNPT1,PSMA2,PSMA3,PSMB10,PSME1,PSME2,PTPN1,PTPN2,PTPN6,RAPGEF6,RBCK1,RIPK1,RIPK2,RNF213,RNF31,SAMHD1,SEPP1,SLC25A28,SOCS3,SOD2,SP110,SPPL2A,SRI,SSPN,ST3GAL5,ST8SIA4,STAT1,STAT2,STAT3,SEC14L2,TDRD7,TNFAIP2,TNFAIP3,TNFSF10,TOR1B,TRAFD1,TRIM14,TRIM21,TRIM25,TXNIP,UBE2L6,USP18,VAMP5,VAMP8,WARS,ZNFX1	APOL6,B2M,BATF2,C1R,C1S,CASP1,CCL2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CFB,CFH,CIITA,CMKLR1,CMPK2,CSF2RB,CXCL10,CXCL11,CXCL9,DDX60,DHX58,EPSTI1,FGL2,FPR1,GBP4,GBP6,GPR18,GZMA,HLA-A,HLA-B,HLA-DMA,HLA-DQA1,HLA-G,IDO1,IFI27,IFIT2	cufflinks_group_mean_FPKM	T47D	hallmark_IFNg_repo_a8	sting_ifn	a8 Hallmark 2020 IFN-γ	-1.52977	0.00799201	0.0188902
97	63	34	-0.318518	-0.216097	19	44	0.00222753	0.000303541	0.885957	0.00036041	down	ISG15,OAS1,IFI44,IFI35,IFI44L,IFITM1,EIF2AK2,SEC14L2,SP110,UBE2L6,USP18,IFIH1,BST2,LGALS3BP,ADAR,ISG20,GBP2,IRF1,PLSCR1,HERC6,IFITM3,STAT2,IFITM2,HELZ2,TRIM21,PARP14,PARP12,NMI,RNF31,HLA-C,TRIM14,TDRD7,PARP9,PNPT1,TRIM25,PSME1,WARS,PSME2,TRIM5,LAP3,NCOA7,TMEM140,GMPR,PSMA3,PROCR,IL7,IFI30,IRF2,CNP,FAM46A,IL4R,CMTR1,CD47,MOV10,CASP8,TXNIP,SLC25A28,TRAFD1,RIPK2,NUB1,OGFR,MVB12A,ELF1	MX1,IFIT3,IRF7,RSAD2,IFI27,IRF9,OASL,IFIT2,CXCL10,DDX60,PSMB8,PSMB9,SAMD9,CMPK2,RTP4,SAMD9L,LY6E,CXCL11,TRIM26,CASP1,DHX58,EPSTI1,UBA7,B2M,C1S,LAMP3,GBP4,CD74,CSF1,IL15,LPAR6,SELL,BATF2,CCRL2	cufflinks_group_mean_FPKM	T47D	hallmark_IFNa_2023.1	sting_ifn	MSigDB 2023.1	-1.8073	0.000999001	0.00519481
