gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	236.7060744794034	0.023471107048332805	0.1700226260530584	0.13804696229670194	0.8902033022769641	0.9544221004575592
A1CF	6.727959623169192	-0.024205141271205825	0.9956868952696287	-0.024309992816216743	0.9806053423729166	
A2ML1	40.93306696379782	-1.3668683896957519	0.43285797404744764	-3.1577756946806823	0.0015897783128107118	0.00827468751952793
A2MP1	16.537509395280786	-3.1587942098903774	0.7941303831650689	-3.97767706267673	6.959179835905437e-05	0.000500932668372548
A4GALT	445.31151376078844	-0.1610707987777833	0.12658610276879215	-1.2724208681262348	0.20322362343882328	0.4168005512230068
AAAS	902.9173214500601	-0.1810569778474484	0.08941528150658176	-2.0248997128541277	0.04287766310899209	0.13059498728029414
AACS	1570.3380811688926	-0.4997215837782811	0.06842681960501901	-7.303007602323625	2.8140527592417517e-13	6.521588145305069e-12
AACSP1	3.309457196816022	-1.2897028252889848	1.4857561719819734	-0.8680447368214821	0.38536984241663896	
AADAT	131.90491719748888	-0.42809882660171134	0.22922585935433964	-1.8675852183847714	0.06181990836209759	0.17414372743299625
AAED1	443.77319401933	0.3225761225141879	0.12992260733310498	2.482832889022492	0.013034221836426428	0.049165550612166334
AAGAB	2313.2143379231206	0.09354582876508778	0.057262599722667715	1.6336287422880862	0.10233682888371817	0.25563749674774955
AAK1	428.3618570754654	0.21498745531053684	0.12741812235854502	1.6872596403954085	0.09155343789823138	0.23551790183965318
AAMDC	233.66785054315702	0.2963211264300827	0.17463214413627529	1.6968303739021073	0.08972873449760674	0.23199851265263968
AAMP	3131.290746588408	0.12162452368370563	0.050946655700646055	2.3872916094503003	0.016973022266405978	0.06148390718953186
AANAT	2.5491305859430806	-1.3484578976974382	1.6831290485917034	-0.8011613243950076	0.42303825804631223	
AAR2	548.2945233386665	-0.25287141845031497	0.11400549756076642	-2.218063372913497	0.02655051173650122	0.08846394908791576
AARD	321.482204178178	0.39655981650911387	0.1470019518736548	2.697650007055341	0.006983081519544297	0.029392544687491758
AARS	6704.199558590995	-0.11829097256458991	0.036304398696597955	-3.2583096487334147	0.001120780385768204	0.006089248565460643
