gene	T47D_WT_rep1	T47D_WT_rep2	T47D_KO_rep1	T47D_KO_rep2	MCF7_WT_rep1	MCF7_WT_rep2	MCF7_KO_rep1	MCF7_KO_rep2
A1BG	133.24494	125.134	123.5556	140.06681999999998	223.38812000000001	227.1715	256.34236	245.363
A1CF	1.0221900483772	2.0358600577953	3.0432400395698	1.1039400122787	5.5218100749216	6.6600900557661005	7.4834	7.4546800660666
A2M	3.0	1.0	2.0	1.0	3.0	2.0	2.0	1.0
A2ML1	20.546390000000002	25.752124000000002	24.92656	30.776498	45.65249	67.456015	23.79899	24.480520000000002
A2MP1	0.0	0.0	0.0	0.0	24.99999	31.99998	4.0	2.999997
A3GALT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A4GALT	92.0	78.0	111.0	116.99983	448.99971	452.0003	431.00000000000006	451.00024
A4GNT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	780.999961	782.99976	771.0005015986004	705.00027848684	897.0000513429001	941.9997999999999	912.0002707860001	865.00048230911
AACS	835.27852	822.3994250100001	908.15377	859.9837500000001	1773.3700800000001	1752.5118850000001	1380.691	1349.6033
AACSP1	5.46726	6.75748	1.1945	1.0	6.28973	3.00322	1.0	3.0
AADAC	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
AADACL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACL3	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
AADACL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADACP1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AADAT	116.06552413227	143.36869000000002	155.9348	150.49314416	138.88801	150.64454700076	116.7247	119.03577653
AAED1	409.9714	386.9305	580.9937	480.32849999999996	405.9843	350.26250000000005	518.0736999999999	517.3883000000001
AAGAB	2148.99925	2391.0002799999997	2581.9953100000002	2428.00004	2122.99999	2167.00407	2563.99729	2449.99544
AAK1	230.535932	218.51924	303.36831	288.34477	387.42422999999997	373.15125	488.06941	477.62561
AAMDC	258.7652	265.44593110328	266.449672491	265.91746	187.544620076	214.29097	281.85018181	259.05946
AAMP	1878.003600024583	2019.9990859	2265.00291	2128.996378	2832.0044	2917.00266	3550.0028	3303.0018
AANAT	1.00009	0.0	2.06514	4.0000800000000005	2.0	5.1028199999999995	1.0	2.091922
AAR2	600.0025	676.0002	636.00029	600.99944	591.00016	552.03697	549.00026	502.08581000000004
AARD	89.52305	79.80775	292.439	281.91536	262.48769999999996	270.03836	388.55940000000004	377.6054
AARS	2683.0043	2669.99702	3584.0611099999996	3405.31038	6735.0038700000005	6642.13079	6906.00397	6593.00048
AARS2	255.62696	242.30006	257.1649	285.04512	428.7951	374.75239999999997	502.4914	475.93092
AARSD1	194.9601605774379	246.78071000000003	260.43226152	222.23318	187.19647999999998	136.4620184	331.56446	336.48344999999995
AARSP1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AASDH	654.9998446	650.0007277	713.00093106	648.9987	472.000010491891	465.00042	646.99909	617.999671638
AASDHPPT	1923.8858300099998	2162.9641	3660.96	3577.913	1681.9227999999998	1672.8369	988.8235000000001	1055.8337
AASS	11.803100199839	11.00372	32.243820503034	40.3583379	5.71802	7.24237	11.70349	10.54552
AATF	743.99952	779.00018	934.99958	846.0000799999999	937.9994399999999	949.0007	910.0007999999999	883.999776
AATK	5.0	3.0000039999999997	2.0	4.0	3.0000050000000003	5.999998	14.9999946	4.0
AATK-AS1	0.0	0.0	0.0	0.0	3.0	1.0	2.0	2.0
ABAT	595.65037	651.03466	687.7206	632.84326	2151.97563	2125.3443230000003	1957.2142168577	1937.0195099
ABBA01000935.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01000935.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01006766.1	0.0	0.0	0.0	1.0231	3.47834	2.91991	6.6229	1.50415
ABBA01006766.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01031660.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABBA01031661.1	0.0	0.910551	0.0	0.0	1.15216	0.0	0.473818	1.20654
ABBA01031663.1	0.0	0.0	0.0	0.0128838	0.0	0.0	0.0	0.0
ABBA01031674.1	3.0	6.0	8.0	4.0	5.0	4.38452	13.3837	5.82504
ABBA01040607.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA1	0.0	0.0	3.0	0.0	1.0	1.0	0.0	0.0
ABCA10	16.31532	17.32808	26.41802	31.821718	13.9814	17.4046	18.53585	12.421837
ABCA11P	90.4922	79.5789	104.2231	108.37227	84.7685	98.8796	50.8702	79.98230000000001
ABCA12	2671.997	2965.004	6233.997619999999	5761.996050000001	1848.9950000000001	1755.999	1612.00319	1405.0
ABCA13	23.30037	19.520129999999998	33.2152	31.034280000000003	18.91017	20.2132	20.15412	24.915919999999996
ABCA17P	22.01082	22.29704	21.08736	11.0	45.191990000000004	24.583769999999998	30.431759999999997	25.21229
ABCA2	641.0501239647479	535.6181563	530.02728599	485.05441128127	730.0544937667364	710.0582289258033	905.0891143241769	893.1256427855329
ABCA3	424.29593971785	411.44017099999996	341.09380438965997	344.12057999999996	598.11779	579.121500425654	549.0866900000001	504.2453400273282
ABCA4	4.000003	4.0	3.0	2.999997	31.000049	25.0	2.0	6.0000018
