sample	srr	reads	pseudoaligned	rate
T47D_WT_rep1	SRR20029125	44062012	18704058	0.4245
T47D_WT_rep2	SRR20029124	45214824	19298575	0.4268
T47D_KO_rep1	SRR20029123	44424212	19690335	0.4432
T47D_KO_rep2	SRR20029122	44387540	18786547	0.4232
MCF7_WT_rep1	SRR20029121	46699152	19834062	0.4247
MCF7_WT_rep2	SRR20029120	45458325	19734218	0.4341
MCF7_KO_rep1	SRR20029119	47026612	22340889	0.4751
MCF7_KO_rep2	SRR20029118	44087640	21088668	0.4783
