term	symbol	in_matrix	max_fpkm	log2FC_MCF7	log2FC_T47D	log2FC_mean	dir_MCF7	dir_T47D
HALLMARK_INTERFERON_GAMMA_RESPONSE	ADAR	1	52.6027	0.0460881	-0.0842627	-0.0190873	FLAT	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	APOL6	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	ARID5B	1	7.45895	-0.366438	-0.326311	-0.346375	DOWN	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	ARL4A	1	46.1593	-0.706189	-0.509547	-0.607868	DOWN	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	AUTS2	1	8.98546	-0.594988	0.843646	0.124329	DOWN	UP
HALLMARK_INTERFERON_GAMMA_RESPONSE	B2M	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	BANK1	1	2.12363	1.12262	-1.03269	0.0449645	UP	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	BATF2	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	BPGM	1	11.0309	0.895705	-0.27602	0.309843	UP	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	BST2	1	8.22435	-0.730416	-3.59137	-2.16089	DOWN	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	BTG1	1	15.4236	-0.48058	0.407039	-0.0367708	DOWN	UP
HALLMARK_INTERFERON_GAMMA_RESPONSE	C1R	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	C1S	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP1	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP3	1	10.3828	-0.111357	-0.0228219	-0.0670894	FLAT	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP4	1	27.3048	1.57399	-0.724316	0.424837	UP	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP7	1	20.8437	0.208848	-0.349374	-0.0702627	FLAT	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	CASP8	1	3.97192	0.614373	-0.066536	0.273918	UP	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	CCL2	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CCL5	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CCL7	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD274	1	0.928589	-1.22883	0.745346	-0.24174	LOW	LOW
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD38	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD40	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD69	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD74	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CD86	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CDKN1A	1	112.829	0.491293	0.827179	0.659236	UP	UP
HALLMARK_INTERFERON_GAMMA_RESPONSE	CFB	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CFH	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CIITA	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CMKLR1	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CMPK2	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CMTR1	1	44.1782	0.211082	-0.216097	-0.00250746	FLAT	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	CSF2RB	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CXCL10	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CXCL11	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	CXCL9	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	DDX58	1	10.1026	0.341953	-0.263328	0.0393125	UP	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	DDX60	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	DHX58	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	EIF2AK2	1	12.8619	-0.0650468	0.184433	0.0596933	FLAT	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	EIF4E3	1	19.522	0.744865	0.485612	0.615239	UP	UP
HALLMARK_INTERFERON_GAMMA_RESPONSE	EPSTI1	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	FAS	1	7.56662	1.62194	0.509678	1.06581	UP	UP
HALLMARK_INTERFERON_GAMMA_RESPONSE	FCGR1A	1	0.59011	0.408626	-0.27847	0.0650779	LOW	LOW
HALLMARK_INTERFERON_GAMMA_RESPONSE	FGL2	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	FPR1	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	GBP4	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	GBP6	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	GCH1	1	30.5622	-0.0465311	0.242799	0.0981338	FLAT	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	GPR18	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	GZMA	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	HELZ2	1	10.5116	0.00535538	-0.445501	-0.220073	FLAT	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	HERC6	1	6.08454	0.368238	0.240041	0.304139	UP	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	HIF1A	1	83.5204	0.133847	0.337259	0.235553	FLAT	UP
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-A	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-B	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-DMA	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-DQA1	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-DRB1	1	7.60434	-1.29303	-0.259122	-0.776075	DOWN	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	HLA-G	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	ICAM1	1	1.67827	-0.40575	0.32932	-0.0382149	DOWN	UP
HALLMARK_INTERFERON_GAMMA_RESPONSE	IDO1	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI27	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI30	1	100.487	-0.108426	0.717372	0.304473	FLAT	UP
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI35	1	2.8439	0.0660632	-1.85552	-0.894726	FLAT	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI44	1	6.45941	-1.14046	-2.76079	-1.95063	DOWN	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFI44L	1	1.57567	-0.906921	0.238723	-0.334099	DOWN	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFIH1	1	3.83419	1.1228	-0.401838	0.36048	UP	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFIT1	1	1.42341	-1.0909	-0.0298612	-0.56038	DOWN	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFIT2	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFIT3	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFITM2	1	81.1973	-1.0669	0.653112	-0.206892	DOWN	UP
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFITM3	1	83.025	-1.17308	0.143917	-0.514583	DOWN	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	IFNAR2	1	4.2239	-0.0981287	-0.100791	-0.0994596	FLAT	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL10RA	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL15	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL15RA	1	2.92534	-0.202814	-0.0219797	-0.112397	FLAT	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL18BP	1	1.81696	0.0945647	-0.175602	-0.0405188	FLAT	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL2RB	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL4R	1	3.27696	-0.391694	-0.662946	-0.52732	DOWN	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL6	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	IL7	1	2.16135	0.458357	-1.46307	-0.502357	UP	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF1	1	4.0123	-0.154147	-0.477468	-0.315808	FLAT	DOWN
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF2	1	6.25746	0.0291634	-0.189308	-0.0800723	FLAT	FLAT
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF4	0						
HALLMARK_INTERFERON_GAMMA_RESPONSE	IRF5	1	2.02068	0.020394	-0.474917	-0.227261	FLAT	DOWN
