term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr	contrast	n_genes_ranked	fdr_family
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.453719	-1.56716	0.00799201	115	-0.192369	HLA-DRB1,DDX58,RAPGEF6,BPGM,FCGR1A,NMI,RNF213,PSMA2,NFKBIA,PML,ARID5B,UBE2L6,VAMP5,USP18,CASP7,PSME2,IFIH1,PARP12,HELZ2,SSPN,IRF5,IRF1,SLC25A28,ITGB7,ARL4A	43	0.011988	T47D	12635	BH within Hallmark IFN-γ, Hallmark IFN-α, and MHC-I/APM
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.587092	-1.82857	0.000999001	60	-0.338645	TRIM5,UBE2L6,USP18,PSME2,IFIH1,NUB1,PARP12,HELZ2,IRF1,SLC25A28,HLA-C,OAS1,ISG20,TMEM140,IL4R,PARP9,TXNIP,TRIM21,LGALS3BP,IL7,IFI35,ISG15,IFI44,BST2	24	0.002997	T47D	12635	BH within Hallmark IFN-γ, Hallmark IFN-α, and MHC-I/APM
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.592307	-1.23218	0.143856	8	-0.186809	ERAP1,IRF1,HLA-C	3	0.143856	T47D	12635	BH within Hallmark IFN-γ, Hallmark IFN-α, and MHC-I/APM
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.297866	-1.11005	0.110889	115	-0.0121997	IL4R,USP18,LATS2,ICAM1,PSME1,BTG1,OAS3,NFKBIA,AUTS2,ARL4A,BST2,MT2A,IFI44L,ITGB7,IFITM2,IFIT1,SOCS3,IFI44,IFITM3,CD274,HLA-DRB1,TNFSF10,ST8SIA4,TNFAIP2	24	0.301199	MCF7	12635	BH within Hallmark IFN-γ, Hallmark IFN-α, and MHC-I/APM
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.304272	-1.00819	0.200799	60	0.0167687	PARP9,TMEM140,IL4R,USP18,MOV10,PSME1,IFITM1,ELF1,CD47,BST2,GBP2,IFI44L,IFITM2,OAS1,IFI44,IFITM3	16	0.301199	MCF7	12635	BH within Hallmark IFN-γ, Hallmark IFN-α, and MHC-I/APM
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.412897	0.868432	0.334665	8	0.0615422	HLA-C	1	0.334665	MCF7	12635	BH within Hallmark IFN-γ, Hallmark IFN-α, and MHC-I/APM
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.417119	-1.54222	0.00699301	115	-0.102284	HELZ2,TXNIP,SLC25A28,IRF5,PSME2,CD274,SSPN,RIPK1,NOD1,RNF213,VAMP5,IRF1,PSME1,NAMPT,MT2A,IFI44L,ARID5B,USP18,SRI,NFKBIA,IL7,IFITM3,IL4R,SOCS3,IFIT1	36	0.0104895	mean	12635	BH within Hallmark IFN-γ, Hallmark IFN-α, and MHC-I/APM
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.493646	-1.63748	0.001998	60	-0.160938	IRF1,PSME1,ELF1,IFI44L,USP18,CD47,IL7,GBP2,TMEM140,IFITM3,PARP9,IL4R,OAS1,IFI35,ISG15,IFI44,BST2	17	0.00599401	mean	12635	BH within Hallmark IFN-γ, Hallmark IFN-α, and MHC-I/APM
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.385131	-0.81878	0.335664	8	-0.0626332	IRF1,ERAP1	2	0.335664	mean	12635	BH within Hallmark IFN-γ, Hallmark IFN-α, and MHC-I/APM
