gene	T47D	MCF7
A1BG	overlap	both_KO_above_both_WT
A1CF	overlap	both_KO_above_both_WT
A2M	overlap	both_KO_below_both_WT
A2ML1	overlap	both_KO_below_both_WT
A2MP1	overlap	both_KO_below_both_WT
A3GALT2	overlap	overlap
A4GALT	both_KO_above_both_WT	both_KO_below_both_WT
A4GNT	overlap	overlap
AAAS	both_KO_below_both_WT	both_KO_below_both_WT
AACS	both_KO_above_both_WT	both_KO_below_both_WT
AACSP1	both_KO_below_both_WT	both_KO_below_both_WT
AADAC	overlap	overlap
AADACL2	overlap	overlap
AADACL3	both_KO_above_both_WT	overlap
AADACL4	overlap	overlap
AADACP1	overlap	overlap
AADAT	both_KO_above_both_WT	both_KO_below_both_WT
AAED1	both_KO_above_both_WT	both_KO_above_both_WT
AAGAB	both_KO_above_both_WT	both_KO_above_both_WT
AAK1	both_KO_above_both_WT	both_KO_above_both_WT
AAMDC	overlap	both_KO_above_both_WT
AAMP	both_KO_above_both_WT	both_KO_above_both_WT
AANAT	both_KO_above_both_WT	overlap
AAR2	both_KO_below_both_WT	both_KO_below_both_WT
AARD	both_KO_above_both_WT	both_KO_above_both_WT
AARS	both_KO_above_both_WT	both_KO_below_both_WT
AARS2	overlap	both_KO_above_both_WT
AARSD1	overlap	both_KO_above_both_WT
AARSP1	overlap	overlap
AASDH	overlap	both_KO_above_both_WT
AASDHPPT	both_KO_above_both_WT	both_KO_below_both_WT
AASS	both_KO_above_both_WT	both_KO_above_both_WT
AATF	both_KO_above_both_WT	both_KO_below_both_WT
AATK	overlap	overlap
AATK-AS1	overlap	overlap
ABAT	overlap	both_KO_below_both_WT
ABBA01000935.1	overlap	overlap
ABBA01000935.2	overlap	overlap
ABBA01006766.1	overlap	overlap
ABBA01006766.2	overlap	overlap
ABBA01031660.1	overlap	overlap
ABBA01031661.1	overlap	overlap
ABBA01031663.1	overlap	overlap
ABBA01031674.1	overlap	both_KO_above_both_WT
ABBA01040607.1	overlap	overlap
ABCA1	overlap	both_KO_below_both_WT
ABCA10	both_KO_above_both_WT	overlap
ABCA11P	both_KO_above_both_WT	both_KO_below_both_WT
ABCA12	both_KO_above_both_WT	both_KO_below_both_WT
ABCA13	both_KO_above_both_WT	overlap
ABCA17P	both_KO_below_both_WT	overlap
ABCA2	both_KO_below_both_WT	both_KO_above_both_WT
ABCA3	both_KO_below_both_WT	both_KO_below_both_WT
ABCA4	both_KO_below_both_WT	both_KO_below_both_WT
ABCA5	both_KO_above_both_WT	both_KO_above_both_WT
ABCA6	both_KO_above_both_WT	overlap
ABCA7	both_KO_above_both_WT	both_KO_below_both_WT
ABCA8	overlap	overlap
ABCA9	overlap	overlap
ABCB1	both_KO_below_both_WT	both_KO_above_both_WT
ABCB10	overlap	both_KO_below_both_WT
ABCB10P1	overlap	overlap
ABCB10P3	overlap	overlap
ABCB10P4	overlap	overlap
ABCB11	both_KO_above_both_WT	overlap
ABCB4	both_KO_below_both_WT	both_KO_below_both_WT
ABCB5	overlap	overlap
ABCB6	both_KO_below_both_WT	both_KO_above_both_WT
ABCB7	both_KO_above_both_WT	both_KO_above_both_WT
ABCB8	both_KO_below_both_WT	both_KO_above_both_WT
ABCB9	both_KO_below_both_WT	both_KO_below_both_WT
ABCC1	overlap	both_KO_above_both_WT
ABCC10	both_KO_above_both_WT	both_KO_above_both_WT
ABCC11	overlap	both_KO_above_both_WT
ABCC12	overlap	overlap
ABCC13	both_KO_above_both_WT	overlap
ABCC2	both_KO_below_both_WT	both_KO_below_both_WT
ABCC3	overlap	both_KO_below_both_WT
ABCC4	overlap	both_KO_below_both_WT
ABCC5	both_KO_above_both_WT	both_KO_below_both_WT
ABCC6	both_KO_above_both_WT	both_KO_below_both_WT
ABCC6P1	overlap	overlap
ABCC6P2	overlap	both_KO_below_both_WT
ABCC8	both_KO_above_both_WT	both_KO_above_both_WT
ABCC9	both_KO_above_both_WT	both_KO_below_both_WT
ABCD1	both_KO_below_both_WT	both_KO_below_both_WT
ABCD1P2	overlap	overlap
ABCD1P3	overlap	overlap
ABCD1P4	overlap	overlap
ABCD1P5	overlap	overlap
ABCD2	overlap	overlap
ABCD3	both_KO_above_both_WT	both_KO_above_both_WT
ABCD4	overlap	overlap
ABCE1	both_KO_above_both_WT	both_KO_above_both_WT
ABCF1	both_KO_above_both_WT	both_KO_above_both_WT
ABCF2	both_KO_below_both_WT	both_KO_above_both_WT
ABCF2P1	overlap	both_KO_below_both_WT
ABCF2P2	overlap	overlap
ABCF3	overlap	both_KO_above_both_WT
ABCG1	both_KO_above_both_WT	both_KO_below_both_WT
ABCG2	both_KO_below_both_WT	both_KO_below_both_WT
ABCG4	overlap	both_KO_above_both_WT
ABCG5	overlap	both_KO_below_both_WT
ABCG8	overlap	overlap
ABHD1	both_KO_below_both_WT	both_KO_above_both_WT
ABHD10	both_KO_above_both_WT	both_KO_below_both_WT
ABHD11	both_KO_below_both_WT	both_KO_above_both_WT
ABHD11-AS1	both_KO_below_both_WT	overlap
ABHD12	both_KO_below_both_WT	overlap
ABHD12B	both_KO_above_both_WT	overlap
ABHD13	overlap	overlap
ABHD14A	both_KO_below_both_WT	both_KO_below_both_WT
ABHD14A-ACY1	both_KO_above_both_WT	both_KO_below_both_WT
ABHD14B	both_KO_below_both_WT	both_KO_below_both_WT
ABHD15	overlap	overlap
ABHD16A	overlap	both_KO_below_both_WT
ABHD16B	both_KO_below_both_WT	overlap
ABHD17A	both_KO_below_both_WT	both_KO_below_both_WT
ABHD17AP1	overlap	overlap
ABHD17AP3	overlap	overlap
ABHD17AP4	overlap	overlap
ABHD17AP5	overlap	overlap
ABHD17AP6	overlap	overlap
ABHD17AP7	overlap	overlap
ABHD17AP8	overlap	overlap
ABHD17AP9	overlap	overlap
ABHD17B	overlap	both_KO_above_both_WT
ABHD17C	both_KO_below_both_WT	both_KO_above_both_WT
ABHD18	both_KO_below_both_WT	overlap
ABHD2	both_KO_below_both_WT	both_KO_above_both_WT
ABHD3	overlap	overlap
ABHD4	overlap	both_KO_below_both_WT
ABHD5	both_KO_above_both_WT	both_KO_below_both_WT
ABHD6	overlap	overlap
ABHD8	both_KO_below_both_WT	both_KO_above_both_WT
ABI1	both_KO_below_both_WT	both_KO_below_both_WT
ABI1P1	overlap	overlap
ABI2	overlap	both_KO_above_both_WT
ABI3	overlap	overlap
ABI3BP	overlap	overlap
ABL1	both_KO_below_both_WT	both_KO_above_both_WT
ABL2	overlap	both_KO_below_both_WT
ABLIM1	both_KO_below_both_WT	both_KO_above_both_WT
ABLIM2	both_KO_below_both_WT	both_KO_below_both_WT
ABLIM3	both_KO_below_both_WT	both_KO_below_both_WT
ABO	overlap	overlap
ABR	overlap	both_KO_above_both_WT
ABRA	overlap	both_KO_below_both_WT
ABRACL	both_KO_above_both_WT	both_KO_above_both_WT
ABRAXAS1	overlap	overlap
ABRAXAS2	both_KO_below_both_WT	both_KO_above_both_WT
ABT1	overlap	both_KO_above_both_WT
ABT1P1	both_KO_above_both_WT	both_KO_below_both_WT
ABTB1	overlap	both_KO_below_both_WT
ABTB2	overlap	both_KO_above_both_WT
AC000041.1	overlap	overlap
AC000041.2	overlap	overlap
AC000077.1	overlap	overlap
AC000078.1	both_KO_below_both_WT	overlap
AC000081.1	overlap	overlap
AC000089.1	overlap	both_KO_below_both_WT
AC000095.1	both_KO_below_both_WT	overlap
AC000095.2	overlap	overlap
AC000111.2	overlap	overlap
AC000111.3	overlap	overlap
AC000362.1	overlap	overlap
AC000367.1	both_KO_below_both_WT	overlap
AC000374.1	overlap	overlap
AC001226.2	overlap	both_KO_below_both_WT
AC002056.1	overlap	overlap
AC002056.3	overlap	overlap
AC002069.1	overlap	overlap
AC002069.2	overlap	overlap
AC002075.1	both_KO_below_both_WT	overlap
AC002075.2	overlap	both_KO_below_both_WT
AC002076.2	overlap	overlap
AC002094.3	overlap	overlap
AC002115.2	overlap	overlap
AC002127.1	overlap	overlap
AC002310.3	both_KO_below_both_WT	overlap
AC002310.4	overlap	both_KO_above_both_WT
AC002310.5	overlap	overlap
AC002350.1	overlap	overlap
AC002366.1	overlap	overlap
AC002367.1	overlap	overlap
AC002381.1	overlap	overlap
AC002400.1	overlap	overlap
AC002429.1	overlap	overlap
AC002429.2	both_KO_below_both_WT	overlap
AC002456.2	overlap	overlap
AC002472.2	overlap	overlap
AC002472.3	overlap	overlap
AC002472.4	overlap	overlap
AC002486.1	overlap	overlap
AC002486.2	overlap	overlap
AC002487.1	overlap	overlap
AC002504.1	overlap	overlap
AC002511.3	overlap	overlap
AC002519.2	overlap	overlap
AC002524.1	overlap	overlap
AC002542.1	overlap	overlap
AC002543.1	both_KO_below_both_WT	overlap
AC002545.1	overlap	overlap
AC002553.2	overlap	overlap
AC002553.3	both_KO_above_both_WT	overlap
AC002558.1	overlap	both_KO_above_both_WT
AC002984.1	overlap	overlap
AC002985.1	both_KO_above_both_WT	overlap
AC002996.1	overlap	overlap
AC003001.2	overlap	overlap
AC003002.1	overlap	overlap
AC003002.2	overlap	overlap
AC003002.3	both_KO_above_both_WT	both_KO_above_both_WT
AC003002.4	overlap	overlap
AC003005.1	overlap	overlap
AC003006.1	both_KO_below_both_WT	both_KO_above_both_WT
AC003029.1	overlap	overlap
AC003042.2	overlap	both_KO_below_both_WT
AC003045.1	overlap	overlap
AC003071.1	both_KO_above_both_WT	both_KO_above_both_WT
AC003071.2	overlap	overlap
AC003072.1	overlap	overlap
AC003080.1	overlap	both_KO_below_both_WT
AC003102.2	overlap	overlap
AC003669.1	overlap	overlap
AC003685.2	overlap	overlap
AC003686.1	overlap	overlap
AC003688.1	overlap	overlap
AC003958.1	overlap	overlap
AC003958.3	overlap	overlap
AC003958.4	overlap	overlap
AC003976.1	overlap	overlap
AC003982.1	overlap	overlap
AC003989.1	overlap	both_KO_below_both_WT
AC003989.2	overlap	overlap
AC004004.1	overlap	overlap
AC004006.1	overlap	overlap
AC004022.1	overlap	overlap
AC004022.2	overlap	overlap
AC004024.1	overlap	overlap
AC004057.1	overlap	overlap
AC004062.1	overlap	overlap
AC004066.1	overlap	overlap
AC004069.2	overlap	overlap
AC004074.1	overlap	overlap
AC004076.1	overlap	both_KO_above_both_WT
AC004080.3	overlap	overlap
AC004099.1	both_KO_below_both_WT	overlap
AC004129.1	overlap	both_KO_below_both_WT
AC004129.2	overlap	overlap
AC004134.1	overlap	overlap
AC004217.1	both_KO_below_both_WT	both_KO_above_both_WT
AC004217.3	overlap	both_KO_below_both_WT
AC004223.1	overlap	both_KO_above_both_WT
AC004223.3	overlap	overlap
AC004224.1	overlap	overlap
AC004232.1	overlap	overlap
AC004233.2	both_KO_below_both_WT	both_KO_below_both_WT
AC004263.1	overlap	overlap
AC004381.2	overlap	overlap
AC004383.1	overlap	overlap
AC004386.1	overlap	overlap
AC004386.2	overlap	overlap
AC004448.1	both_KO_below_both_WT	overlap
AC004448.2	overlap	both_KO_below_both_WT
AC004453.1	both_KO_below_both_WT	overlap
AC004461.1	overlap	overlap
AC004467.1	overlap	overlap
AC004486.1	overlap	overlap
AC004522.1	overlap	overlap
AC004534.1	overlap	overlap
AC004552.1	overlap	overlap
AC004554.1	overlap	overlap
AC004556.1	overlap	overlap
AC004584.2	both_KO_above_both_WT	overlap
AC004674.1	overlap	overlap
AC004675.2	overlap	overlap
AC004678.1	both_KO_above_both_WT	overlap
AC004686.1	overlap	both_KO_above_both_WT
AC004690.1	overlap	overlap
AC004691.2	overlap	overlap
AC004692.1	overlap	overlap
AC004696.1	overlap	overlap
AC004706.2	overlap	overlap
AC004706.3	overlap	overlap
AC004706.4	overlap	overlap
AC004754.1	both_KO_below_both_WT	overlap
AC004790.1	overlap	overlap
AC004801.1	overlap	overlap
AC004801.2	overlap	overlap
AC004805.1	overlap	both_KO_below_both_WT
AC004805.2	overlap	overlap
AC004805.3	overlap	overlap
AC004812.1	overlap	overlap
AC004815.1	overlap	overlap
AC004825.1	overlap	overlap
AC004832.2	overlap	overlap
AC004832.3	both_KO_below_both_WT	overlap
AC004835.2	overlap	overlap
AC004837.1	overlap	overlap
AC004840.1	overlap	both_KO_above_both_WT
AC004840.2	overlap	overlap
AC004852.1	overlap	overlap
AC004852.3	overlap	overlap
AC004853.1	overlap	overlap
AC004853.2	overlap	overlap
AC004854.1	overlap	overlap
AC004858.1	both_KO_below_both_WT	overlap
AC004865.1	both_KO_below_both_WT	overlap
AC004866.1	overlap	overlap
AC004866.2	overlap	overlap
AC004870.1	overlap	overlap
AC004884.1	overlap	overlap
AC004890.1	overlap	overlap
AC004890.2	overlap	both_KO_above_both_WT
AC004890.3	overlap	overlap
AC004893.1	overlap	both_KO_above_both_WT
AC004898.1	both_KO_above_both_WT	overlap
AC004899.1	overlap	overlap
AC004910.1	overlap	overlap
AC004911.1	overlap	overlap
AC004922.1	both_KO_below_both_WT	overlap
AC004923.1	overlap	overlap
AC004923.2	overlap	overlap
AC004923.3	overlap	overlap
AC004924.1	overlap	overlap
AC004938.1	overlap	overlap
AC004941.2	overlap	overlap
AC004945.1	overlap	overlap
AC004951.2	both_KO_below_both_WT	overlap
AC004951.3	overlap	both_KO_above_both_WT
AC004965.1	overlap	overlap
AC004967.1	both_KO_below_both_WT	both_KO_above_both_WT
AC004975.1	overlap	overlap
AC004980.1	both_KO_below_both_WT	overlap
AC004980.2	both_KO_below_both_WT	both_KO_above_both_WT
AC004980.3	overlap	both_KO_above_both_WT
AC004980.4	overlap	overlap
AC004980.5	both_KO_below_both_WT	overlap
AC004980.6	both_KO_below_both_WT	both_KO_above_both_WT
AC004986.1	overlap	overlap
