source	query_gene	alias	found_as	official_hgnc
cufflinks_group_mean_FPKM	STING1	STING1		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
cufflinks_group_mean_FPKM	STING1	TMEM173		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
cufflinks_group_mean_FPKM	STING1	STING		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
cufflinks_group_mean_FPKM	STING1	ERIS		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
cufflinks_group_mean_FPKM	STING1	MPYS		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
cufflinks_group_mean_FPKM	STING1	MITA		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
cufflinks_group_mean_FPKM	STING1	NET23		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
cufflinks_group_mean_FPKM	STING1	FLJ38577		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
cufflinks_group_mean_FPKM	CGAS	CGAS		C6orf150|CGAS|D4|MB21D1|h-cGAS
cufflinks_group_mean_FPKM	CGAS	MB21D1	MB21D1	C6orf150|CGAS|D4|MB21D1|h-cGAS
cufflinks_group_mean_FPKM	CGAS	C6orf150		C6orf150|CGAS|D4|MB21D1|h-cGAS
cufflinks_group_mean_FPKM	CGAS	h-cGAS		C6orf150|CGAS|D4|MB21D1|h-cGAS
cufflinks_group_mean_FPKM	CGAS	D4		C6orf150|CGAS|D4|MB21D1|h-cGAS
kallisto_ensembl90_norm_log2FC	STING1	STING1		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
kallisto_ensembl90_norm_log2FC	STING1	TMEM173	TMEM173	ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
kallisto_ensembl90_norm_log2FC	STING1	STING		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
kallisto_ensembl90_norm_log2FC	STING1	ERIS		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
kallisto_ensembl90_norm_log2FC	STING1	MPYS		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
kallisto_ensembl90_norm_log2FC	STING1	MITA		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
kallisto_ensembl90_norm_log2FC	STING1	NET23		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
kallisto_ensembl90_norm_log2FC	STING1	FLJ38577		ERIS|FLJ38577|MITA|MPYS|NET23|STING|STING1|TMEM173
kallisto_ensembl90_norm_log2FC	CGAS	CGAS		C6orf150|CGAS|D4|MB21D1|h-cGAS
kallisto_ensembl90_norm_log2FC	CGAS	MB21D1	MB21D1	C6orf150|CGAS|D4|MB21D1|h-cGAS
kallisto_ensembl90_norm_log2FC	CGAS	C6orf150		C6orf150|CGAS|D4|MB21D1|h-cGAS
kallisto_ensembl90_norm_log2FC	CGAS	h-cGAS		C6orf150|CGAS|D4|MB21D1|h-cGAS
kallisto_ensembl90_norm_log2FC	CGAS	D4		C6orf150|CGAS|D4|MB21D1|h-cGAS
