sample	fov	n_tumor	n_cd8	usable
Lung12	1	1824	90	True
Lung12	2	1524	147	True
Lung12	3	1135	127	True
Lung12	4	1388	86	True
Lung12	5	1091	19	True
Lung12	6	1134	127	True
Lung12	7	956	165	True
Lung12	8	1029	127	True
Lung12	9	1211	48	True
Lung12	10	739	96	True
Lung12	11	516	205	True
Lung12	12	485	269	True
Lung12	13	1084	51	True
Lung12	14	719	50	True
Lung12	15	442	73	True
Lung12	16	196	84	True
Lung12	17	939	104	True
Lung12	18	687	118	True
Lung12	19	973	115	True
Lung12	20	323	131	True
Lung12	21	1092	108	True
Lung12	22	884	116	True
Lung12	23	686	298	True
Lung12	24	539	258	True
Lung12	25	961	144	True
Lung12	26	1019	185	True
Lung12	27	828	279	True
Lung12	28	1113	190	True
Lung13	1	1124	144	True
Lung13	2	1577	168	True
Lung13	3	1012	81	True
Lung13	4	1222	31	True
Lung13	5	1283	194	True
Lung13	6	1848	80	True
Lung13	7	743	57	True
Lung13	8	837	154	True
Lung13	9	1659	124	True
Lung13	10	2186	161	True
Lung13	11	1311	133	True
Lung13	12	825	98	True
Lung13	13	1034	211	True
Lung13	14	1541	202	True
Lung13	15	1673	187	True
Lung13	16	1303	120	True
Lung13	17	1386	155	True
Lung13	18	1195	179	True
Lung13	19	1785	103	True
Lung13	20	1227	119	True
Lung5_Rep1	1	544	82	True
Lung5_Rep1	2	1166	179	True
Lung5_Rep1	3	1773	91	True
Lung5_Rep1	4	1497	172	True
Lung5_Rep1	5	1484	147	True
Lung5_Rep1	6	837	418	True
Lung5_Rep1	7	2056	126	True
Lung5_Rep1	8	2336	61	True
Lung5_Rep1	9	824	173	True
Lung5_Rep1	10	1370	130	True
Lung5_Rep1	11	1232	222	True
Lung5_Rep1	12	1586	137	True
Lung5_Rep1	13	1113	143	True
Lung5_Rep1	14	706	142	True
Lung5_Rep1	15	727	97	True
Lung5_Rep1	16	1048	177	True
Lung5_Rep1	17	1235	52	True
Lung5_Rep1	18	456	58	True
Lung5_Rep1	19	856	138	True
Lung5_Rep1	20	581	263	True
Lung5_Rep1	21	185	128	True
Lung5_Rep1	22	407	64	True
Lung5_Rep1	23	239	202	True
Lung5_Rep1	24	266	142	True
Lung5_Rep1	25	290	314	True
Lung5_Rep1	26	1251	133	True
Lung5_Rep1	27	2277	90	True
Lung5_Rep1	28	1486	150	True
Lung5_Rep1	29	885	69	True
Lung5_Rep1	30	345	384	True
Lung5_Rep2	1	558	129	True
Lung5_Rep2	2	1477	238	True
Lung5_Rep2	3	1768	135	True
Lung5_Rep2	4	1042	392	True
Lung5_Rep2	5	1689	228	True
Lung5_Rep2	7	2203	158	True
Lung5_Rep2	8	2293	116	True
Lung5_Rep2	9	790	326	True
Lung5_Rep2	10	1287	185	True
Lung5_Rep2	11	1277	342	True
Lung5_Rep2	12	1606	237	True
Lung5_Rep2	13	929	283	True
Lung5_Rep2	14	755	251	True
Lung5_Rep2	15	795	298	True
Lung5_Rep2	16	1561	355	True
Lung5_Rep2	17	1472	186	True
Lung5_Rep2	18	786	298	True
Lung5_Rep2	19	767	217	True
Lung5_Rep2	20	575	312	True
Lung5_Rep2	21	361	205	True
Lung5_Rep2	22	440	187	True
Lung5_Rep2	23	573	215	True
Lung5_Rep2	24	272	164	True
Lung5_Rep2	25	385	263	True
Lung5_Rep2	26	788	211	True
Lung5_Rep2	27	2281	96	True
Lung5_Rep2	28	1948	216	True
Lung5_Rep2	29	1682	164	True
Lung5_Rep2	30	523	352	True
Lung5_Rep3	1	580	56	True
Lung5_Rep3	2	1007	125	True
Lung5_Rep3	3	1373	60	True
Lung5_Rep3	4	1265	147	True
Lung5_Rep3	5	1344	70	True
Lung5_Rep3	6	802	141	True
Lung5_Rep3	7	1841	82	True
Lung5_Rep3	8	2145	41	True
Lung5_Rep3	9	743	164	True
Lung5_Rep3	10	1297	105	True
Lung5_Rep3	11	1034	184	True
Lung5_Rep3	12	1404	43	True
Lung5_Rep3	13	926	51	True
Lung5_Rep3	14	669	106	True
Lung5_Rep3	15	787	119	True
Lung5_Rep3	16	1168	162	True
Lung5_Rep3	17	1241	154	True
Lung5_Rep3	18	738	25	True
Lung5_Rep3	19	654	138	True
Lung5_Rep3	20	589	227	True
Lung5_Rep3	21	263	150	True
Lung5_Rep3	22	244	150	True
Lung5_Rep3	23	196	152	True
Lung5_Rep3	24	293	124	True
Lung5_Rep3	25	281	176	True
Lung5_Rep3	26	1166	160	True
Lung5_Rep3	27	2329	72	True
Lung5_Rep3	28	1325	163	True
Lung5_Rep3	29	725	86	True
Lung5_Rep3	30	348	304	True
Lung6	1	2330	3	False
Lung6	2	3280	3	False
Lung6	3	3027	8	True
Lung6	4	2855	10	True
Lung6	5	2705	23	True
Lung6	6	3111	6	True
Lung6	7	3208	6	True
Lung6	8	2857	7	True
Lung6	9	2628	10	True
Lung6	10	1145	8	True
Lung6	11	2540	0	False
Lung6	12	3019	5	True
Lung6	13	1875	22	True
Lung6	14	1214	72	True
Lung6	15	371	65	True
Lung6	16	2073	15	True
Lung6	17	2894	4	False
Lung6	18	3027	13	True
Lung6	19	2076	27	True
Lung6	20	1151	30	True
Lung6	21	2323	8	True
Lung6	22	2977	4	False
Lung6	23	3705	4	False
Lung6	24	3328	9	True
Lung6	25	1235	48	True
Lung6	26	2253	19	True
Lung6	27	2937	6	True
Lung6	28	2850	8	True
Lung6	29	3139	3	False
Lung6	30	1512	27	True
Lung9_Rep1	1	2092	115	True
Lung9_Rep1	2	2054	92	True
Lung9_Rep1	3	1223	126	True
Lung9_Rep1	4	1491	94	True
Lung9_Rep1	5	2307	40	True
Lung9_Rep1	6	1767	63	True
Lung9_Rep1	7	1872	134	True
Lung9_Rep1	8	1929	54	True
Lung9_Rep1	9	2240	37	True
Lung9_Rep1	10	1668	97	True
Lung9_Rep1	11	1449	57	True
Lung9_Rep1	12	1660	49	True
Lung9_Rep1	13	2206	108	True
Lung9_Rep1	14	2122	75	True
Lung9_Rep1	15	2330	68	True
Lung9_Rep1	16	1832	55	True
Lung9_Rep1	17	2579	48	True
Lung9_Rep1	18	2918	37	True
Lung9_Rep1	19	2740	53	True
Lung9_Rep1	20	3105	29	True
Lung9_Rep2	1	1979	29	True
Lung9_Rep2	2	2307	29	True
Lung9_Rep2	3	2403	53	True
Lung9_Rep2	4	2420	12	True
Lung9_Rep2	5	2902	20	True
Lung9_Rep2	6	1527	16	True
Lung9_Rep2	7	1981	16	True
Lung9_Rep2	8	2335	42	True
Lung9_Rep2	9	3365	14	True
Lung9_Rep2	10	2684	15	True
Lung9_Rep2	11	2312	14	True
Lung9_Rep2	12	1742	27	True
Lung9_Rep2	13	2416	17	True
Lung9_Rep2	14	3019	22	True
Lung9_Rep2	15	2758	16	True
Lung9_Rep2	16	1928	16	True
Lung9_Rep2	17	2330	36	True
Lung9_Rep2	18	2162	22	True
Lung9_Rep2	19	2637	35	True
Lung9_Rep2	20	3373	25	True
Lung9_Rep2	21	1463	18	True
Lung9_Rep2	22	2500	33	True
Lung9_Rep2	23	1333	17	True
Lung9_Rep2	24	1715	10	True
Lung9_Rep2	25	2325	22	True
Lung9_Rep2	26	1025	29	True
Lung9_Rep2	27	1911	25	True
Lung9_Rep2	28	1936	22	True
Lung9_Rep2	29	1735	25	True
Lung9_Rep2	30	1495	34	True
Lung9_Rep2	31	1236	18	True
Lung9_Rep2	32	1974	37	True
Lung9_Rep2	33	1664	32	True
Lung9_Rep2	34	1977	31	True
Lung9_Rep2	35	1807	46	True
Lung9_Rep2	36	1008	28	True
Lung9_Rep2	37	1329	36	True
Lung9_Rep2	38	1363	44	True
Lung9_Rep2	39	2105	24	True
Lung9_Rep2	40	2188	25	True
Lung9_Rep2	41	1434	45	True
Lung9_Rep2	42	1325	41	True
Lung9_Rep2	43	961	30	True
Lung9_Rep2	44	1610	27	True
Lung9_Rep2	45	1823	12	True
