gene	obs_delta_lognorm	p_perm	n_perm	null_mean	null_q025	null_q975
CDH1	0.05306168118968234	0.0001999600079984003	5000	-2.8675086799844702e-05	-0.010688353123963636	0.010343943539805457
LGALS9	0.0006946757344734345	0.8708258348330334	5000	-5.489862097311702e-05	-0.008472836655520094	0.008658263913477153
FAMILY_barrier	0.026878178037543908	0.0001999600079984003	5000	-3.85920859172415e-05	-0.0069962440248576745	0.006715635427455188
