gene	on_960_panel	panel_symbol	aliases_tried
F11R	False		F11R,JAM1,JAM-A,JAMA
NECTIN2	False		NECTIN2,PVRL2,HVEB,CD112
CDH1	True	CDH1	CDH1
LGALS9	True	LGALS9	LGALS9,LGALS9A,GAL9
