a	b	c	d	n_hi	n_lo	p_contact_hi	p_contact_hi_lo	p_contact_hi_hi	p_contact_lo	p_contact_lo_lo	p_contact_lo_hi	or	or_lo	or_hi	sample	patient	fov
65	543	97	511	608	608	0.1069078947368421	0.08476753070158236	0.13398451231085748	0.15953947368421054	0.13258305211893517	0.19077122781234124	0.630612671109339	0.4503809594394695	0.8829688125772155	Lung12	Lung12	1
96	412	118	390	508	508	0.1889763779527559	0.15731418445572734	0.22530731407037916	0.23228346456692914	0.19765309579135076	0.27093249787669027	0.770116833964127	0.5688656859333507	1.042565850991436	Lung12	Lung12	2
23	356	59	320	379	379	0.06068601583113457	0.040774989664935646	0.0894135791844266	0.15567282321899736	0.12264710481468649	0.19560880049967855	0.35040944581984385	0.21149311822911362	0.5805710405515574	Lung12	Lung12	3
40	423	66	397	463	463	0.08639308855291576	0.06408501704767956	0.1155082325684643	0.14254859611231102	0.1136394450605792	0.17734062184005694	0.5688086539150369	0.37525510645950716	0.8621955549685475	Lung12	Lung12	4
7	357	13	351	364	364	0.019230769230769232	0.009345809832242497	0.03915767645098377	0.03571428571428571	0.020988209699860757	0.06013801419651202	0.5294117647058824	0.2087564386082203	1.342602022134516	Lung12	Lung12	5
44	334	70	308	378	378	0.1164021164021164	0.08786284534168519	0.15265992640450482	0.18518518518518517	0.14926140713584893	0.22744348829723118	0.5796407185628742	0.3855908165464779	0.8713468998699214	Lung12	Lung12	6
37	282	95	224	319	319	0.11598746081504702	0.08532953632210265	0.1557843721704832	0.29780564263322884	0.2502701851154954	0.35015305649896816	0.30936916759985067	0.203600615838085	0.4700834595585803	Lung12	Lung12	7
16	327	64	279	343	343	0.04664723032069971	0.02891387124517107	0.07442321404102296	0.18658892128279883	0.14891312447212435	0.23120736857138596	0.21330275229357798	0.12054966891665173	0.37742172620542774	Lung12	Lung12	8
30	374	52	352	404	404	0.07425742574257425	0.052507241506526484	0.10402804081876842	0.12871287128712872	0.09952114190086075	0.16489916245259417	0.5429864253393665	0.33857080118836674	0.8708200975038892	Lung12	Lung12	9
44	203	26	221	247	247	0.17813765182186234	0.13545955237116505	0.2306742946462356	0.10526315789473684	0.07285148466587682	0.14976549752527488	1.8423645320197044	1.0943034868326709	3.101796813851518	Lung12	Lung12	10
30	142	41	131	172	172	0.1744186046511628	0.12499412236734236	0.23806899807742155	0.23837209302325582	0.1808502189381776	0.3073255028477934	0.6750257643421504	0.3983658940121998	1.1438222733790309	Lung12	Lung12	11
