cohort,model,feature,n,events,hr,hr_lo,hr_hi,p
Yale,OS ~ TACSTD2_z + CD8A_z + adeno,TACSTD2_z,37,17,1.8413618146822204,1.0404402035021387,3.258825755826178,0.0360755277941328
Yale,OS ~ TACSTD2_z + CD8A_z + adeno,CD8A_z,37,17,0.9877271542871546,0.5920238890490555,1.6479148043895258,0.9622862619839494
Yale,OS ~ TACSTD2_z + CD8A_z + adeno,adeno,37,17,1.5059358061084238,0.46384376913003206,4.889238150968177,0.49561516974298425
