cohort,n,events,endpoint,feature,model,hr,hr_lo,hr_hi,p,cindex,logrank_p_median,hr_median_hi_vs_lo,n_hi,n_lo
Yale,37,17,OS,TACSTD2,continuous_z,1.710575408520209,1.0165624320046294,2.8783950066539092,0.04319379490266749,0.628498727735369,0.12100404263467639,2.1584578908500522,18,19
Yale,37,23,PFS,TACSTD2,continuous_z,1.4829126337517347,0.9563612954628689,2.2993714716112583,0.07830847654703227,0.5876865671641791,0.30075417549651734,1.5434201186954675,18,19
Yale,37,17,OS,CLDN4,continuous_z,1.378770154862563,0.8918894760325126,2.131438021217819,0.14840927610631108,0.6335877862595419,0.19566554085562116,1.8748993589659626,18,19
Yale,37,23,PFS,CLDN4,continuous_z,1.2088935945745265,0.8302656651131656,1.7601880752278574,0.32235875329065317,0.5373134328358209,0.9324085733545641,1.0360692005758811,18,19
Yale,37,17,OS,CD8A,continuous_z,0.9217615801026174,0.5903444348894021,1.4392350640392677,0.7200781743167071,0.5623409669211196,0.2942995401530275,0.5955575129143011,18,19
Yale,37,23,PFS,CD8A,continuous_z,0.8619786491348089,0.6000991507033459,1.2381407150692163,0.4214828024079077,0.5634328358208955,0.3732965566079307,0.6872287378851728,18,19
Yale,37,17,OS,cd8_cytotoxic,continuous_z,1.0409545895403791,0.6554582252622302,1.6531739411030613,0.8649517310975042,0.5114503816793893,0.18236842013943985,1.952530291327443,18,19
Yale,37,23,PFS,cd8_cytotoxic,continuous_z,0.9117590833151865,0.6193457379577372,1.342230316703133,0.6396381576954135,0.5205223880597015,0.7047082223319725,1.172781952622036,18,19
Yale,37,17,OS,ayers_ifng,continuous_z,0.8162634807363386,0.49628858847796387,1.342537558695826,0.423891947768813,0.55470737913486,0.22724683061778908,0.5530482168018461,18,19
Yale,37,23,PFS,ayers_ifng,continuous_z,0.7392793847227719,0.47253639020924865,1.1565966558344085,0.18587900407470626,0.5634328358208955,0.41059307519496024,0.7071048826327223,18,19
Yale,37,17,OS,tcell,continuous_z,0.9320882750546219,0.6104041746103424,1.4233004763588002,0.7447067015592989,0.549618320610687,0.4351259410147298,0.6833820410482714,18,19
Yale,37,23,PFS,tcell,continuous_z,0.9070303920450656,0.6318443961274541,1.3020676247755651,0.5968033346519985,0.5261194029850746,0.5494700743162382,0.7775963891915315,18,19
Yale,37,17,OS,CXCL9,continuous_z,0.864753407054069,0.5002901478377394,1.4947295249439054,0.6027695216029818,0.5419847328244275,0.22657327893419493,0.5490087448622976,18,19
Yale,37,23,PFS,CXCL9,continuous_z,0.81103780266568,0.49748328501145006,1.3222199361685791,0.40097287810875903,0.5503731343283582,0.3697851582155105,0.6841279162628967,18,19
Yale_LUAD,25,12,OS,TACSTD2,continuous_z,1.666010573165287,0.9527700408605536,2.9131806321193516,0.07341025588031756,0.6521739130434783,0.0046353521356151854,6.713927560993744,12,13
Yale_LUAD,25,16,PFS,TACSTD2,continuous_z,1.4782084784726996,0.9315959070558297,2.3455451975248134,0.09708276218702655,0.5950413223140496,0.019192138986698477,3.3378688617977263,12,13
Yale_LUAD,25,12,OS,CLDN4,continuous_z,1.1110169910490242,0.6582617058862144,1.875179344874417,0.6934315958420952,0.5489130434782609,0.5758528224771111,1.3875818934021402,12,13
Yale_LUAD,25,16,PFS,CLDN4,continuous_z,1.1767061404047536,0.7539197216708077,1.8365845872789641,0.4737574572862401,0.5289256198347108,0.8046282263836324,0.8826155875378476,12,13
Yale_LUAD,25,12,OS,CD8A,continuous_z,0.7801838398597502,0.440355025516343,1.3822638296555876,0.3949778003566973,0.6032608695652174,0.27302183460418183,0.5289180683205201,12,13
Yale_LUAD,25,16,PFS,CD8A,continuous_z,0.7424218348740934,0.4771459700870001,1.1551814653224772,0.18669491570714264,0.6033057851239669,0.2329926927343254,0.5429678642621077,12,13
Yale_LUAD,25,12,OS,cd8_cytotoxic,continuous_z,0.8949554590968395,0.4988363667432131,1.6056272701134857,0.709782084232331,0.5597826086956522,0.8724473657900067,1.0995725517448531,12,13
