cohort,x,y,n,spearman_rho,p
Yale,TACSTD2,CLDN4,37,0.5727833096254149,0.00021152857027369873
Yale,TACSTD2,CD8A,37,-0.18658131816026552,0.26884734718036846
Yale,TACSTD2,cd8_cytotoxic,37,-0.07752489331436699,0.6483413250013749
Yale,TACSTD2,ayers_ifng,37,0.009009009009009009,0.9577958082789393
Yale,TACSTD2,CXCL9,37,0.03745851114272166,0.825787113362773
Yale,CLDN4,CD8A,37,-0.3928402086296823,0.016167103779019806
Yale,CLDN4,cd8_cytotoxic,37,-0.26173541963015645,0.11761801922144025
Yale,CLDN4,ayers_ifng,37,-0.16097676623992413,0.34119719391454983
UQ,TACSTD2,CD8A,30,0.07675194660734148,0.6868596934198999
UQ,TACSTD2,cd8_cytotoxic,30,0.300111234705228,0.10710942260432398
UQ,TACSTD2,ayers_ifng,30,0.28231368186874306,0.130653458010912
UQ,TACSTD2,CXCL9,30,0.24315906562847608,0.1953958342512728
Greek,TACSTD2,CLDN4,61,0.347065044949762,0.006137744933944397
Greek,TACSTD2,CD8A,61,-0.2197250132205182,0.08885538422959752
Greek,TACSTD2,cd8_cytotoxic,61,-0.30296139608672656,0.017628776986240772
Greek,TACSTD2,ayers_ifng,61,-0.2078794288736118,0.1079188893493109
Greek,TACSTD2,CXCL9,61,-0.19598096245372815,0.13009799524547044
Greek,CLDN4,CD8A,61,-0.035483870967741936,0.786014195106966
Greek,CLDN4,cd8_cytotoxic,61,-0.07112638815441565,0.585950841400111
Greek,CLDN4,ayers_ifng,61,0.1808566895822316,0.16306224131590671
