cohort,group,n,target,feature,spearman_rho,p,q_BH
LUSC,ALL,501,TACSTD2,CD8A,-0.27934413245222706,1.9647234213055613e-10,3.5365021583500105e-09
LUSC,ALL,501,TACSTD2,CD8B,-0.27080011789012215,7.197497202370625e-10,5.18219798570685e-09
LUSC,ALL,501,TACSTD2,GZMA,-0.1847509125175943,3.170972534547912e-05,3.936379698059476e-05
LUSC,ALL,501,TACSTD2,GZMB,-0.225452680296777,3.405371400160191e-07,6.452282652935099e-07
LUSC,ALL,501,TACSTD2,PRF1,-0.2223179139728511,4.988328614555762e-07,8.551420482095593e-07
LUSC,ALL,501,TACSTD2,IFNG,-0.2255511876291362,3.364461652948362e-07,6.452282652935099e-07
LUSC,ALL,501,TACSTD2,TBX21,-0.27130249812504525,6.676758734387554e-10,5.18219798570685e-09
LUSC,ALL,501,TACSTD2,CXCL9,-0.31306496171004605,7.451864718203843e-13,2.6826712985533834e-11
LUSC,ALL,501,TACSTD2,CXCL10,-0.21798668797862444,8.376690766960333e-07,1.370731216411691e-06
LUSC,ALL,501,TACSTD2,CXCL11,-0.20714564496505003,2.9284533026582083e-06,4.054781495988288e-06
LUSC,ALL,501,TACSTD2,STAT1,-0.13877491232674097,0.0018486870874388694,0.002146862424122558
LUSC,ALL,501,TACSTD2,IDO1,-0.08558112460338288,0.0555827021670884,0.05885227288279949
LUSC,ALL,501,TACSTD2,HLA-DRA,-0.21333759572488492,1.4442514849219512e-06,2.260567541616967e-06
LUSC,ALL,501,TACSTD2,CD274,-0.09464394147109628,0.034185017826146094,0.0372927467194321
LUSC,ALL,501,TACSTD2,PDCD1,-0.256695237175734,5.568689743652052e-09,1.8224802797406715e-08
LUSC,ALL,501,TACSTD2,CTLA4,-0.25719852361564666,5.18730591557516e-09,1.8224802797406715e-08
LUSC,ALL,501,TACSTD2,LAG3,-0.2726641891832096,5.442813028012384e-10,5.18219798570685e-09
LUSC,ALL,501,TACSTD2,HAVCR2,-0.2035308396004209,4.381501081587026e-06,5.633358533469034e-06
LUSC,ALL,501,TACSTD2,TIGIT,-0.22455200096743574,3.8022973297047094e-07,6.844135193468477e-07
LUSC,ALL,501,TACSTD2,FOXP3,-0.21255448177480463,1.5811681069769508e-06,2.3717521604654264e-06
LUSC,ALL,501,TACSTD2,CD4,-0.210722809361357,1.9516655012777006e-06,2.810398321839889e-06
LUSC,ALL,501,TACSTD2,CD3D,-0.23585218407805905,9.221323792277099e-08,2.2131177101465037e-07
LUSC,ALL,501,TACSTD2,CD3E,-0.23289758331941698,1.3449887094641222e-07,3.026224596294275e-07
LUSC,ALL,501,TACSTD2,GZMK,-0.2611523169394334,2.955297033184347e-09,1.3367848814692078e-08
LUSC,ALL,501,TACSTD2,NKG7,-0.2544703103752654,7.606366800683668e-09,2.1555155272920726e-08
LUSC,ALL,501,TACSTD2,CCL5,-0.23105031371519907,1.6986487605564873e-07,3.597138551766679e-07
LUSC,ALL,501,TACSTD2,CCR5,-0.26029381873702795,3.3419622036730196e-09,1.3367848814692078e-08
LUSC,ALL,501,TACSTD2,ITGAX,-0.06309803006408053,0.15847982786661657,0.15847982786661657
LUSC,ALL,501,TACSTD2,CD68,0.06448586785095695,0.1495044380393926,0.15377599341194667
LUSC,ALL,501,TACSTD2,CD163,-0.17283723006983404,0.00010096641312422113,0.00012115969574906536
LUSC,ALL,501,TACSTD2,MRC1,-0.11918935038289956,0.00756975443117973,0.008515973735077197
LUSC,ALL,501,TACSTD2,sig_IFNG_6gene,-0.2469833241882769,2.125843150833702e-08,5.4664538164295194e-08
LUSC,ALL,501,TACSTD2,sig_CYT,-0.20529322232029967,3.6032836648887484e-06,4.8043782198516645e-06
LUSC,ALL,501,TACSTD2,sig_CD8_effector,-0.2692741369849942,9.033188898117597e-10,5.419913338870558e-09
LUSC,ALL,501,TACSTD2,sig_Checkpoint,-0.26093375002982083,3.0494022227832384e-09,1.3367848814692078e-08
LUSC,ALL,501,TACSTD2,sig_Broad_immune,-0.25430493594484344,7.783806070776928e-09,2.1555155272920726e-08
LUSC,ALL,501,CLDN4,CD8A,-0.07403917265071451,0.09785270532839715,0.14677905799259575
LUSC,ALL,501,CLDN4,CD8B,-0.06856688544346624,0.12534848940969445,0.18050182474996
LUSC,ALL,501,CLDN4,GZMA,-0.12366963284586208,0.005574140148180343,0.027054358406611412
LUSC,ALL,501,CLDN4,GZMB,-0.12786707063959732,0.004148032374632132,0.027054358406611412
LUSC,ALL,501,CLDN4,PRF1,-0.10229959205095784,0.0220174861655317,0.04662526482112595
LUSC,ALL,501,CLDN4,IFNG,-0.12483637463087417,0.0051389833674275786,0.027054358406611412
LUSC,ALL,501,CLDN4,TBX21,-0.09996932747830219,0.025244862885805856,0.05048972577161171
LUSC,ALL,501,CLDN4,CXCL9,-0.12148235799317703,0.006480164829485543,0.027054358406611412
LUSC,ALL,501,CLDN4,CXCL10,-0.12106868335043063,0.00666567192127596,0.027054358406611412
LUSC,ALL,501,CLDN4,CXCL11,-0.11787322566023331,0.008266609513131264,0.027054358406611412
LUSC,ALL,501,CLDN4,STAT1,0.019560941861297327,0.6622699813199425,0.6811919807862267
LUSC,ALL,501,CLDN4,IDO1,-0.034928453849273566,0.4353380180421333,0.48975527029739996
LUSC,ALL,501,CLDN4,HLA-DRA,-0.060454803540329706,0.17668981168739248,0.24464743156715882
LUSC,ALL,501,CLDN4,CD274,0.04231352535519064,0.3445759322479766,0.41349111869757194
LUSC,ALL,501,CLDN4,PDCD1,-0.04884028076532866,0.2752227189148526,0.35385778146195335
LUSC,ALL,501,CLDN4,CTLA4,-0.12947568430353737,0.0036955029393536776,0.027054358406611412
LUSC,ALL,501,CLDN4,LAG3,-0.10283060115208185,0.021334245131348954,0.04662526482112595
LUSC,ALL,501,CLDN4,HAVCR2,-0.037640671747517056,0.40051281581221654,0.46511165707225144
LUSC,ALL,501,CLDN4,TIGIT,-0.12017243887139922,0.007083999553425202,0.027054358406611412
LUSC,ALL,501,CLDN4,FOXP3,-0.11863015288856918,0.00785915245659146,0.027054358406611412
LUSC,ALL,501,CLDN4,CD4,-0.05487711429730182,0.2201339590484966,0.29351194539799547
LUSC,ALL,501,CLDN4,CD3D,-0.09740401269174798,0.02926214606323317,0.055444066225073384
LUSC,ALL,501,CLDN4,CD3E,-0.12335167115967272,0.005698341734272821,0.027054358406611412
LUSC,ALL,501,CLDN4,GZMK,-0.11084511417113846,0.01304617698358153,0.033547312243495366
LUSC,ALL,501,CLDN4,NKG7,-0.09556733544862468,0.032464811829216976,0.05843666129259055
LUSC,ALL,501,CLDN4,CCL5,-0.11543221127466186,0.009712003854906176,0.029136011564718525
LUSC,ALL,501,CLDN4,CCR5,-0.0777315170455901,0.08218412479547824,0.1286360214190094
LUSC,ALL,501,CLDN4,ITGAX,-0.028230170490739857,0.5284171902324825,0.5764551166172536
LUSC,ALL,501,CLDN4,CD68,-0.01582392178750193,0.7238450221906898,0.7238450221906898
LUSC,ALL,501,CLDN4,CD163,-0.021625832517256312,0.6291674396568553,0.6661772890484351
LUSC,ALL,501,CLDN4,MRC1,-0.04360980031967937,0.32998469553117216,0.4096361737628344
LUSC,ALL,501,CLDN4,sig_IFNG_6gene,-0.09133897941169454,0.04099211305893289,0.07027219381531354
LUSC,ALL,501,CLDN4,sig_CYT,-0.1131649688670468,0.011251315678397805,0.031157489570947768
LUSC,ALL,501,CLDN4,sig_CD8_effector,-0.1186306271918315,0.007858902863131265,0.027054358406611412
LUSC,ALL,501,CLDN4,sig_Checkpoint,-0.0845727509125176,0.05853681867112232,0.09578752146183653
LUSC,ALL,501,CLDN4,sig_Broad_immune,-0.103001264403464,0.021118600288512913,0.04662526482112595
LUSC,EGFR_ALK_wt,449,TACSTD2,CD8A,-0.2805361119949093,1.450346982893108e-09,1.7404163794717298e-08
LUSC,EGFR_ALK_wt,449,TACSTD2,CD8B,-0.27717283627458145,2.311332376952032e-09,2.080199139256829e-08
LUSC,EGFR_ALK_wt,449,TACSTD2,GZMA,-0.17077327924488278,0.00027768726070825635,0.0003332247128499076
LUSC,EGFR_ALK_wt,449,TACSTD2,GZMB,-0.22248859900307558,1.9252869266608083e-06,3.0134925808603955e-06
LUSC,EGFR_ALK_wt,449,TACSTD2,PRF1,-0.22104226323045917,2.2521691486410414e-06,3.3782537229615624e-06
LUSC,EGFR_ALK_wt,449,TACSTD2,IFNG,-0.2296384620425991,8.731411056320554e-07,1.8490046942796467e-06
LUSC,EGFR_ALK_wt,449,TACSTD2,TBX21,-0.26215925557050734,1.7155264344671975e-08,1.0293158606803185e-07
LUSC,EGFR_ALK_wt,449,TACSTD2,CXCL9,-0.32987737299819697,7.378606511914023e-13,2.6562983442890484e-11
LUSC,EGFR_ALK_wt,449,TACSTD2,CXCL10,-0.23948456888323255,2.816070169487781e-07,6.758568406770674e-07
LUSC,EGFR_ALK_wt,449,TACSTD2,CXCL11,-0.22301543111676736,1.8179180465851526e-06,3.0134925808603955e-06
LUSC,EGFR_ALK_wt,449,TACSTD2,STAT1,-0.16579714179658497,0.00041897949390467095,0.00048655683163123075
LUSC,EGFR_ALK_wt,449,TACSTD2,IDO1,-0.08342679499416691,0.07740693792219858,0.08196028721173966
LUSC,EGFR_ALK_wt,449,TACSTD2,HLA-DRA,-0.20363466433343932,1.3703444620536575e-05,1.8974000243819875e-05
LUSC,EGFR_ALK_wt,449,TACSTD2,CD274,-0.10829601854305931,0.021726908070986258,0.023702081531985008
LUSC,EGFR_ALK_wt,449,TACSTD2,PDCD1,-0.2526410625676459,5.739744807862553e-08,1.7450373219551844e-07
LUSC,EGFR_ALK_wt,449,TACSTD2,CTLA4,-0.24758783565290063,1.0687082931464089e-07,2.748107039519337e-07
LUSC,EGFR_ALK_wt,449,TACSTD2,LAG3,-0.2841759559661669,8.696691184351853e-10,1.5654044131833336e-08
LUSC,EGFR_ALK_wt,449,TACSTD2,HAVCR2,-0.19604028118173603,2.875631169721428e-05,3.697240075356122e-05
