dataset	analysis	comparison	n	stat	value	p_value	note
GSE131907	tLung_epithelial	sample-mean CLDN4 vs CytoTRACE-like	11	spearman_rho	0.15454545454545454	0.6500339654975799	min 20 epithelial cells; potency ranked within tLung_epithelial
GSE131907	tLung_epithelial	paired CytoTRACE-like CLDN4-high vs CLDN4-low	11	wilcoxon_W	6.0	0.013671875	within-sample quartiles; median Δ(high-low)=0.1219
GSE131907	tLung_epithelial	cell-level CLDN4 vs CytoTRACE-like (exploratory)	7270	spearman_rho	0.1386058274579205	1.6262721520459835e-32	pseudoreplication; not confirmatory
GSE131907	tumor_epithelial	sample-mean CLDN4 vs CytoTRACE-like	36	spearman_rho	-0.11274131274131274	0.5126821098698218	min 20 epithelial cells; potency ranked within tumor_epithelial
GSE131907	tumor_epithelial	paired CytoTRACE-like CLDN4-high vs CLDN4-low	35	wilcoxon_W	95.0	0.0005360888823317366	within-sample quartiles; median Δ(high-low)=0.0415
GSE131907	tumor_epithelial	cell-level CLDN4 vs CytoTRACE-like (exploratory)	32764	spearman_rho	-0.010326413710210081	0.06160264721452064	pseudoreplication; not confirmatory
GSE131907	nLung_epithelial	sample-mean CLDN4 vs CytoTRACE-like	11	spearman_rho	0.46363636363636374	0.15090149929248592	min 20 epithelial cells; potency ranked within nLung_epithelial
GSE131907	nLung_epithelial	paired CytoTRACE-like CLDN4-high vs CLDN4-low	11	wilcoxon_W	5.0	0.009765625	within-sample quartiles; median Δ(high-low)=0.0870
GSE131907	nLung_epithelial	cell-level CLDN4 vs CytoTRACE-like (exploratory)	3703	spearman_rho	0.19561719906563765	2.928145175863879e-33	pseudoreplication; not confirmatory
GSE131907	all_epithelial	sample-mean CLDN4 vs CytoTRACE-like	47	spearman_rho	0.14014801110083255	0.34743179408850716	min 20 epithelial cells; potency ranked within all_epithelial
GSE131907	all_epithelial	paired CytoTRACE-like CLDN4-high vs CLDN4-low	46	wilcoxon_W	170.0	8.766247265284366e-05	within-sample quartiles; median Δ(high-low)=0.0394
GSE131907	all_epithelial	cell-level CLDN4 vs CytoTRACE-like (exploratory)	36467	spearman_rho	0.04621676626621764	1.045596737138328e-18	pseudoreplication; not confirmatory
GSE131907	tumor_epithelial:PE	sample-mean CLDN4 vs CytoTRACE-like	4	spearman_rho	-0.39999999999999997	0.6	origin-stratified; potency ranked within all tumor epithelium
GSE131907	tumor_epithelial:mBrain	sample-mean CLDN4 vs CytoTRACE-like	10	spearman_rho	0.33333333333333326	0.3465935070873343	origin-stratified; potency ranked within all tumor epithelium
GSE131907	tumor_epithelial:mLN	sample-mean CLDN4 vs CytoTRACE-like	7	spearman_rho	0.3214285714285715	0.48207203829967776	origin-stratified; potency ranked within all tumor epithelium
GSE131907	tumor_epithelial:tL/B	sample-mean CLDN4 vs CytoTRACE-like	4	spearman_rho	-0.39999999999999997	0.6	origin-stratified; potency ranked within all tumor epithelium
GSE131907	tumor_epithelial:tLung	sample-mean CLDN4 vs CytoTRACE-like	11	spearman_rho	0.1272727272727273	0.709214625773305	origin-stratified; potency ranked within all tumor epithelium
