Sample	Sample_Origin	n_epithelial	mean_CLDN4	median_CLDN4	pct_CLDN4_pos	mean_cytotrace_like	median_cytotrace_like	mean_n_genes	mean_total_umi	mean_EPCAM_log1p_cp10k	n_CLDN4_high	n_CLDN4_low	mean_cyto_CLDN4_high	mean_cyto_CLDN4_low	eligible
BRONCHO_11	mLN	204	1.3860533279033096	1.5547410495996328	80.3921568627451	0.5980998399304878	0.6523843474922533	3538.4166666666665	18826.04411764706	1.544921464792169	51	51	0.6342457349298344	0.5685594335356651	1
BRONCHO_58	tL/B	497	0.9752354635102534	1.0840278756454806	71.42857142857143	0.46167252231407474	0.4396303507280555	3219.444668008048	21898.75050301811	1.883905918227883	125	142	0.43415976087969943	0.5588437665232353	1
EBUS_06	tL/B	1197	1.2862609393654416	1.5008577815123	71.0108604845447	0.7123490575782698	0.7447006882935256	2910.9197994987467	13184.38178780284	1.7944762251676436	300	347	0.7105923163408012	0.7175637220940112	1
EBUS_10	mLN	400	1.291830423632083	1.3169050992010432	83.5	0.5656482916061096	0.6197795266953685	3972.9625	30844.9425	1.730882452972017	100	100	0.6014293745029753	0.487367208709244	1
EBUS_12	mLN	262	1.3446780560582807	1.4364311718876854	87.40458015267176	0.7519766380856309	0.8699646255518688	5283.103053435115	39601.34732824427	2.0543580293122097	66	66	0.7889062838880482	0.6055175663177418	1
EBUS_13	mLN	381	0.0006709937333642075	0.0	0.26246719160104987	0.6996845096422344	0.7825705432308663	3607.5853018372704	21700.50656167979	0.07782300205715653	381	380	0.6996845096422344	0.6989535239502767	1
EBUS_15	mLN	263	0.7903715575760611	0.0	46.00760456273764	0.6534176271249355	0.7891792579592508	2773.9467680608363	21586.182509505703	1.664326616559449	66	142	0.8146360636557253	0.6041841997221489	1
EBUS_19	mLN	228	1.6810115971935915	1.8105897992221003	90.78947368421053	0.7856137295964292	0.8289686565936326	4699.315789473684	25941.276315789473	1.4319091632739787	57	57	0.7654668796927191	0.7275395346621963	1
EBUS_28	tL/B	4766	2.2314204128456208	2.276309468656038	95.9085186739404	0.43806544103170625	0.4067375983766145	2763.193243810323	12727.325639949644	1.2303893196680418	1192	1192	0.45161516811282726	0.4215550655064991	1
EBUS_49	tL/B	122	0.7470461305044019	0.17511455885228716	50.0	0.4842750261071429	0.5251871555104615	2550.344262295082	14666.073770491803	1.078447249007061	31	61	0.6182593719288406	0.44575131254981476	1
EBUS_51	mLN	1315	1.1934641948151372	1.2958508943790834	84.7148288973384	0.5243906335025958	0.5152877944442921	3628.9642585551333	17975.049429657796	1.725852398837655	329	329	0.564256746095879	0.528002750206853	1
EFFUSION_06	PE	228	1.005519304076672	1.2240577628038092	58.333333333333336	0.7666917915211976	0.8445169605396661	3723.8201754385964	23539.640350877195	1.4771144227745556	57	95	0.8083383727368989	0.6727769735579248	1
EFFUSION_11	PE	81	1.8299951347750947	1.9839598221903878	90.12345679012346	0.6628709128869091	0.7186771601722105	4339.432098765432	23550.987654320987	1.5891398733398119	21	21	0.7561474366256773	0.5801331144792357	1
EFFUSION_12	PE	25	1.3717621053922862	1.7132662552014726	76.0	0.8654323086626264	0.9706035593824553	6416.52	60043.36	1.6560111731735254	7	7	0.9535822994566516	0.7087151201281786	1
