Sample	Sample_Origin	n_epithelial	mean_CLDN4	median_CLDN4	pct_CLDN4_pos	mean_cytotrace_like	median_cytotrace_like	mean_n_genes	mean_total_umi	mean_EPCAM_log1p_cp10k	n_CLDN4_high	n_CLDN4_low	mean_cyto_CLDN4_high	mean_cyto_CLDN4_low	eligible
LUNG_T06	tLung	145	1.5803042614558327	1.6348754490062107	90.3448275862069	0.48891761134563383	0.4922971114167813	2640.6275862068965	10467.213793103449	1.4315834714917102	37	37	0.600089222647682	0.35363582289304435	1
LUNG_T08	tLung	42	1.5306764857888104	1.7694554495922827	85.71428571428571	0.45556756402698634	0.39071526822558456	3063.190476190476	15109.42857142857	1.226898957784978	11	11	0.6042390896586219	0.36877579092159557	1
LUNG_T09	tLung	119	0.9208332090479011	0.936264196507767	78.15126050420169	0.5008958191254494	0.49834938101788173	3261.831932773109	16382.44537815126	0.8664674852623951	30	30	0.5947088491517653	0.5348005502063273	1
LUNG_T18	tLung	1028	1.8019304419359963	1.9143987615908427	91.73151750972762	0.6148055946563619	0.6282668500687758	3309.5943579766536	15328.544747081713	1.222778878106517	257	257	0.5841858498493354	0.655182804446609	1
LUNG_T19	tLung	316	1.2514004320379104	1.370766481136997	81.0126582278481	0.48464341058276605	0.4994497936726272	2673.4145569620255	10898.167721518987	1.094656393249104	79	79	0.6282799087632546	0.3813661135584072	1
LUNG_T20	tLung	526	1.7518125922690129	1.871406684708138	89.35361216730038	0.5757669938964755	0.5812242090784043	3310.0038022813687	17903.169201520912	1.3106719979990922	132	132	0.6258638656162727	0.5039863907298571	1
LUNG_T25	tLung	226	1.379441466266423	1.5301767708803604	79.64601769911505	0.5301788779199279	0.5400275103163686	2260.3982300884954	8718.765486725664	1.2661339837660288	57	57	0.5861193561620696	0.5784502521779	1
LUNG_T28	tLung	1228	1.8509150723164056	1.9314570496845587	92.83387622149837	0.5913057991209244	0.6294360385144429	3446.840390879479	17048.258143322477	1.6578626582127736	307	307	0.6697077364923898	0.465250079529009	1
LUNG_T30	tLung	882	1.036229469521862	1.1313176830105445	63.038548752834465	0.5610089611268625	0.577372764786795	1757.530612244898	5591.4625850340135	1.089302002661536	221	326	0.6007904547915877	0.6202280993409339	1
LUNG_T31	tLung	272	1.1000575470947087	1.2586121011674964	69.85294117647058	0.6964418642284975	0.769738651994498	2961.9742647058824	14208.371323529413	1.2795822437538193	68	82	0.8009628610729024	0.6401113832321268	1
LUNG_T34	tLung	2486	1.5813133612634085	1.6696027098185087	91.2711182622687	0.3490183265627265	0.2743466299862448	2720.9859211584876	12214.316572807724	1.3167822640870899	622	622	0.4183755202413123	0.31096067174708203	1
