cyto,radius_um,cut,margin_um,core_um,drop_lusc,n_sections,n_both,n_pat_both,n_pat,mean_d_core,mean_d_margin,mean_inter_d,mean_r_core,mean_r_margin,mean_inter_r,n_abs_stronger,n_fold_stronger,wilcox_d,wilcox_r,mean_count_core_low,mean_count_margin_low,score
effector_rna,100.0,absolute,20.0,250.0,True,6,5,3,3,-0.7981954096902584,0.487954604150838,-1.2861500138410962,0.8099156267555677,1.0031991636765654,-0.19328353692099767,5,6,0.15625,0.03125,3.581284326678547,25.87559855559104,1.0633333333333335
effector_rna,100.0,absolute,20.0,300.0,True,6,5,3,3,-0.703127557404925,0.487954604150838,-1.191082161555763,0.8286638952476991,1.0031991636765654,-0.17453526842886638,5,6,0.15625,0.03125,3.4177513141690183,25.87559855559104,1.0633333333333335
effector_rna,100.0,absolute,30.0,250.0,True,6,5,2,3,-0.7981954096902584,0.46351784305837523,-1.2617132527486334,0.8099156267555677,0.9992302967831951,-0.18931467002762745,5,6,0.21875,0.03125,3.581284326678547,24.853677759681215,0.98
effector_rna,100.0,absolute,30.0,300.0,True,6,5,2,3,-0.703127557404925,0.46351784305837523,-1.1666454004633002,0.8286638952476991,0.9992302967831951,-0.1705664015354961,5,6,0.21875,0.03125,3.4177513141690183,24.853677759681215,0.98
effector_rna,100.0,absolute,20.0,250.0,False,7,5,3,4,-0.669514250232089,0.5320021696622206,-1.2015164198943096,0.8514706186763421,1.0148645473529527,-0.16339392867661065,6,6,0.109375,0.03125,3.215040939720292,23.519640564427984,0.9017857142857143
effector_rna,100.0,absolute,20.0,300.0,False,7,5,3,4,-0.5898159156350505,0.5320021696622206,-1.1218180852972712,0.8660157534982859,1.0148645473529527,-0.1488487938546669,6,6,0.109375,0.03125,3.0722426101208375,23.519640564427984,0.9017857142857143
effector_rna,100.0,absolute,30.0,250.0,False,7,5,2,4,-0.669514250232089,0.511937902610198,-1.181452152842287,0.8514706186763421,1.0121184860343813,-0.16064786735803915,6,6,0.15625,0.03125,3.215040939720292,22.584761560843337,0.8392857142857143
effector_rna,100.0,absolute,30.0,300.0,False,7,5,2,4,-0.5898159156350505,0.511937902610198,-1.1017538182452487,0.8660157534982859,1.0121184860343813,-0.14610273253609535,6,6,0.15625,0.03125,3.0722426101208375,22.584761560843337,0.8392857142857143
cd8,100.0,absolute,20.0,250.0,True,6,4,2,3,-0.21991329495039955,0.2182282620861085,-0.4381415570365081,0.7077736419795059,0.9473440106306841,-0.2395703686511783,4,5,0.84375,0.0625,0.6897251508381063,2.828981072937326,0.8133333333333332
effector_rna,100.0,absolute,20.0,400.0,True,6,4,2,3,-0.5468495628784846,0.487954604150838,-1.0348041670293227,0.8475209690110294,1.0031991636765654,-0.15567819466553592,4,6,0.3125,0.03125,3.449815703781894,25.87559855559104,0.8133333333333332
