analysis,gene,contrast,n_total,n_responder,n_nonresponder,n_high,n_low,high_responder,high_nonresponder,low_responder,low_nonresponder,split_median,odds_ratio_fisher,odds_ratio_woolf,or_95ci_low,or_95ci_high,fisher_p,median_responder,median_nonresponder,mann_whitney_u,mann_whitney_p,auc_responder_higher,auc_bootstrap_95ci_low,auc_bootstrap_95ci_high
cldn4_orr_or,CLDN4,CR vs SD+PD,45,13,32,23,22,7,16,6,16,6.9004887159036,1.1666666666666667,1.1666666666666667,0.32050725955379283,4.246740348427792,1.0,,,,,,,
cldn4_orr_mw,CLDN4,CR vs SD+PD,45,13,32,,,,,,,,,,,,,7.3255900174038,6.538274622087105,257.0,0.22454696589309753,0.6177884615384616,0.4206730769230769,0.8028846153846154
cldn4_cr_pd_or,CLDN4,CR vs PD,31,13,18,16,15,7,9,6,9,6.97079096222984,1.1666666666666667,1.1666666666666667,0.2794032171463342,4.87149405440899,1.0,,,,,,,
cldn4_cr_pd_mw,CLDN4,CR vs PD,31,13,18,,,,,,,,,,,,,7.3255900174038,6.93563983906672,143.0,0.3073411578196583,0.6111111111111112,0.39316239316239315,0.8162393162393162
cldn4_dcb_or,CLDN4,CR+SD vs PD,45,27,18,23,22,13,10,14,8,6.9004887159036,0.7428571428571429,0.7428571428571429,0.22427984917593372,2.460482904378073,0.7631037223084101,,,,,,,
cldn4_dcb_mw,CLDN4,CR+SD vs PD,45,27,18,,,,,,,,,,,,,6.25784894991098,6.93563983906672,268.0,0.5702912771811013,0.551440329218107,0.3724279835390947,0.7222222222222222
cd274_orr_or,CD274,CR vs SD+PD,45,13,32,23,22,10,13,3,19,1.46713897696258,4.871794871794871,4.871794871794871,1.119582156185913,21.199324356600034,0.04717593373293885,,,,,,,
cd274_orr_mw,CD274,CR vs SD+PD,45,13,32,,,,,,,,,,,,,2.86205746122992,0.9924776983109445,325.0,0.0035300090882071098,0.78125,0.6081730769230769,0.9230769230769231
tacstd2_orr_or,TACSTD2,CR vs SD+PD,45,13,32,23,22,7,16,6,16,5.89682943586474,1.1666666666666667,1.1666666666666667,0.32050725955379283,4.246740348427792,1.0,,,,,,,
tacstd2_orr_mw,TACSTD2,CR vs SD+PD,45,13,32,,,,,,,,,,,,,6.06466834829542,5.848583533068695,219.0,0.79259790674261,0.5264423076923077,0.29801682692307696,0.7548076923076923
epcam_orr_or,EPCAM,CR vs SD+PD,45,13,32,23,22,6,17,7,15,8.97398042763393,0.7563025210084033,0.7563025210084033,0.2076204933385107,2.7549953961002824,0.7494473486532477,,,,,,,
epcam_orr_mw,EPCAM,CR vs SD+PD,45,13,32,,,,,,,,,,,,,8.45104277080827,8.987094507743116,216.0,0.8510230224021694,0.5192307692307693,0.32445913461538467,0.7139423076923077
