label,n_groups,n_up_mean,n_down_mean,n_tie_mean,frac_up_mean,mean_baseline,mean_icb,mean_delta,median_delta,wilcoxon_W,wilcoxon_p,paired_t,paired_t_p,binom_n,binom_p_two_sided,n_up_median,n_down_median,note
Tacstd2_all_cancer,64,49,15,0,0.765625,1.0514843840706152,1.3074494727557189,0.25596508868510365,0.11606931339508711,439.0,5.8398482923347564e-05,3.0245559526718595,0.0036005323932893707,64,2.436457216293327e-05,40,18,
Tacstd2_lung_only,2,2,0,0,1.0,0.21864583617951383,0.64725757944076,0.4286117432612462,0.4286117432612462,0.0,0.5,1.447927456779923,0.38478445250078996,2,0.5,2,0,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Cldn4_all_cancer,65,34,29,2,0.5230769230769231,1.9854037080970741,2.098235934390559,0.11283222629348492,0.017317774064741366,783.0,0.1234693559268815,1.4168012400022352,0.16139051877460736,63,0.6146550157654618,35,22,
Cldn4_lung_only,2,2,0,0,1.0,0.19761779956577785,0.4047645704136112,0.20714677084783334,0.20714677084783334,0.0,0.5,1.6381295106124383,0.34891195697671656,2,0.5,2,0,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Actb_all_cancer,65,41,23,1,0.6307692307692307,11.636666244220082,11.833235941706057,0.19656969748597528,0.10241876031125052,585.0,0.0023437665401362584,3.5925310786459916,0.0006361853481609892,64,0.0327657590988232,36,22,
Actb_lung_only,2,0,2,0,0.0,11.636225543154396,11.16841644800769,-0.46780909514670554,-0.46780909514670554,0.0,0.5,-2.640067151616021,0.230506639042926,2,0.5,0,2,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Epcam_all_cancer,65,43,21,1,0.6615384615384615,2.857442876848156,2.9708126761597904,0.11336979931163395,0.1219152513750581,684.0,0.01727735450033454,1.6315044713770417,0.10769547493978267,64,0.008146902228698568,36,26,
Epcam_lung_only,2,1,1,0,0.5,0.3962359993448581,0.5376473941839788,0.14141139483912069,0.14141139483912069,1.0,1.0,0.8977999172656191,0.5342500848782845,2,1.0,0,2,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Krt8_all_cancer,65,31,32,2,0.47692307692307695,4.383971196853781,4.305961077849807,-0.07801011900397271,0.0,911.0,0.5066441674171223,-0.8015144186361643,0.4257997941423929,63,1.0,26,30,
Krt8_lung_only,2,0,2,0,0.0,6.865349202448518,5.137103206034286,-1.7282459964142318,-1.7282459964142318,0.0,0.5,-1.6352883617472802,0.34940361845331125,2,0.5,0,2,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Cldn3_all_cancer,65,40,21,4,0.6153846153846154,2.1250368413956795,2.2104535667968195,0.08541672540114013,0.032841247341248,626.0,0.02173903773412788,1.5937835840207883,0.1159116810717816,61,0.0204147137996349,30,21,
Cldn3_lung_only,2,1,1,0,0.5,0.0865221766063985,0.08385955346590651,-0.0026626231404919837,-0.0026626231404919837,1.0,1.0,-0.24452099008366726,0.8473288145659429,2,1.0,0,0,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Cldn7_all_cancer,64,35,25,4,0.546875,1.3838725571252606,1.4379814954831087,0.054108938357848184,0.015303302116996416,761.0,0.2569259224222419,1.0123509446250112,0.31524263781950534,60,0.2450608330229457,30,25,
Cldn7_lung_only,2,1,1,0,0.5,0.2302686392845533,0.1412878742781612,-0.08898076500639211,-0.08898076500639211,1.0,1.0,-0.9648837479400624,0.5113764087535816,2,1.0,1,1,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Cd8a_all_cancer,65,54,11,0,0.8307692307692308,1.535203355269847,2.148080871179662,0.6128775159098152,0.3721789694800699,263.0,1.2229593159701229e-07,5.675859831531158,3.601174916489626e-07,65,6.027539034309403e-08,48,17,
Cd8a_lung_only,2,2,0,0,1.0,2.427909591729599,4.325993172571855,1.8980835808422558,1.8980835808422558,0.0,0.5,4.381220770170834,0.14285920753292553,2,0.5,2,0,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Ifng_all_cancer,65,50,14,1,0.7692307692307693,1.0891053023687416,1.6992710900320198,0.6101657876632783,0.4964665221863349,267.0,2.347950751147718e-07,5.948709492993352,1.2399069833343707e-07,64,7.069487542545679e-06,49,13,
Ifng_lung_only,2,2,0,0,1.0,2.1171312930581605,3.4499800568928385,1.3328487638346778,1.3328487638346778,0.0,0.5,2.311696189941955,0.2599164289364824,2,0.5,2,0,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Gzmb_all_cancer,65,52,13,0,0.8,2.763499217205614,3.643930618996134,0.88043140179052,0.7622412350930299,193.0,9.058542193128389e-09,6.924651842119168,2.5221325586788607e-09,65,1.1688116132369708e-06,52,13,
Gzmb_lung_only,2,2,0,0,1.0,4.79907683578411,6.305826649959293,1.5067498141751843,1.5067498141751843,0.0,0.5,14.37290616559182,0.04422178114793665,2,0.5,2,0,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
Cd274_all_cancer,65,52,13,0,0.8,3.085391482388523,3.674137044394152,0.5887455620056287,0.5163731404827194,288.0,2.9493188267364314e-07,6.053877147742949,8.193856811373392e-08,65,1.1688116132369708e-06,48,17,
Cd274_lung_only,2,2,0,0,1.0,4.152617347689906,5.553465709437281,1.4008483617473744,1.4008483617473744,0.0,0.5,9.434390363418961,0.06722761669233453,2,0.5,2,0,n=2 groups: signed-rank/t-test are underpowered and are reported only as diagnostics
