Cell_Line,Cancer_type,n,mean,median,rank,is_lung,gene
p53-T7,"Mammary cancer, NOS",1,8.261196057807684,8.261196057807684,1,False,Cldn4
UPPL1541,Bladder carcinoma,8,7.658331506813116,7.652548740761138,2,False,Cldn4
BBN963,Bladder carcinoma,4,7.4310487625309865,7.431777146229368,3,False,Cldn4
p53-2225L,"Mammary cancer, NOS",14,7.076512704300093,7.114214009451636,4,False,Cldn4
p53-2224,"Mammary cancer, NOS",1,7.004225366134902,7.004225366134902,5,False,Cldn4
p53-T6,"Mammary cancer, NOS",1,6.999122585928708,6.999122585928708,6,False,Cldn4
HRM1,Mammary carcinoma,4,6.779335072067099,6.9027882808362,7,False,Cldn4
4T1,Mammary carcinoma,71,6.361351011594162,6.3540104408441795,8,False,Cldn4
Py230,Mammary adenocarcinoma,9,6.306428553629366,6.130213626016268,9,False,Cldn4
p53-T2,"Mammary cancer, NOS",1,6.138572463866278,6.138572463866278,10,False,Cldn4
KPB25L,"Mammary cancer, NOS",34,6.100698410145596,6.635032385424912,11,False,Cldn4
KCP,Pancreatic ductal adenocarcinoma,2,5.9826458876778945,5.9826458876778945,12,False,Cldn4
TSAE1,Mammary adenocarcinoma,4,5.917379458286719,5.926468497729651,13,False,Cldn4
Hepa1-6,Hepatocellular carcinoma,4,5.747354833956094,5.6639505569154736,14,False,Cldn4
KPC,Pancreatic ductal adenocarcinoma,4,5.513275110294904,5.324134530954868,15,False,Cldn4
M6,Mammary adenocarcinoma,31,5.4043266973138335,5.616826490829234,16,False,Cldn4
p53-T1,"Mammary cancer, NOS",1,5.301964366149331,5.301964366149331,17,False,Cldn4
p53-9263-3,"Mammary cancer, NOS",5,4.8496271940423465,4.787504973583927,18,False,Cldn4
Renca,Renal adenocarcinoma,27,4.416920239593582,4.028350607745989,19,False,Cldn4
F311,Mammary carcinoma,4,4.376073533391697,4.677061276081012,20,False,Cldn4
p53-2153F,"Mammary cancer, NOS",4,3.7425810246395117,3.5993255383483937,21,False,Cldn4
R3T,"Mammary cancer, NOS",4,3.687629818886739,3.769123720312768,22,False,Cldn4
YTN2,Gastric adenocarcinoma,15,3.0488818730387934,1.8907653539749811,23,False,Cldn4
Met1,Mammary carcinoma,32,3.0390737119901767,3.183738716468823,24,False,Cldn4
YTN16,Gastric adenocarcinoma,17,3.0336228079592047,1.854175224593909,25,False,Cldn4
6419c5,Pancreatic ductal adenocarcinoma,4,2.7614046647764248,2.8038418035672414,26,False,Cldn4
Mvt1,Mammary carcinoma,25,2.565869834446124,2.1773123111151063,27,False,Cldn4
p53-2336R,"Mammary cancer, NOS",11,2.104432737309168,1.322731163932449,28,False,Cldn4
CMT-167,Lung carcinoma,3,1.731915116043296,1.8632181121352107,29,True,Cldn4
NDL(UCD),Mammary carcinoma,3,1.677932410910973,1.7284072955977294,30,False,Cldn4
6DT1,Mammary carcinoma,23,1.2121116004766521,1.106922468898247,31,False,Cldn4
D2A1,Mammary carcinoma,4,1.1103910386102032,1.1319360085373145,32,False,Cldn4
HGS2,Ovarian carcinoma,4,0.9336107957350844,0.8979312430015672,33,False,Cldn4
BNL-MEA,Hepatocellular carcinoma,11,0.8218187448296933,0.5290673006689157,34,False,Cldn4
HGS4,Ovarian carcinoma,5,0.8160322811787678,0.6481000060426017,35,False,Cldn4
E0771,Mammary adenocarcinoma,15,0.7793005829540175,0.3050128650279747,36,False,Cldn4
YUMM1.7,Melanoma,4,0.7106633324137563,0.4749343661762311,37,False,Cldn4
4T07,Mammary carcinoma,6,0.4969233363932208,0.3164105788637973,38,False,Cldn4
CT26,Colorectal carcinoma,36,0.39829690798537853,0.13086484296299078,39,False,Cldn4
MCA205,Sarcoma,4,0.32908088769220006,0.13667013203449532,40,False,Cldn4
T11,"Mammary cancer, NOS",36,0.3227848660972243,0.18024494141400088,41,False,Cldn4
p53-2245,"Mammary cancer, NOS",1,0.31726701632809173,0.31726701632809173,42,False,Cldn4
EMT6,Mammary carcinoma,14,0.2692894151998478,0.25331200862823,43,False,Cldn4
B16,Melanoma,64,0.2620098199207012,0.0,44,False,Cldn4
AB1,Mesothelioma,24,0.25450083464567064,0.0,45,False,Cldn4
HGS1,Ovarian carcinoma,3,0.19837520849009416,0.09635497068730699,46,False,Cldn4
GL261,Glioblastoma multiforme,17,0.17228527956022027,0.0,47,False,Cldn4
RM-1,Prostate carcinoma,2,0.16904743333254887,0.16904743333254887,48,False,Cldn4
LLC,Lung carcinoma,31,0.16758911672433283,0.056799740577054655,49,True,Cldn4
p53-T12,"Mammary cancer, NOS",1,0.16589393527521137,0.16589393527521137,50,False,Cldn4
402230,Sarcoma,8,0.15034081665625398,0.08725818272399422,51,False,Cldn4
67NR,Mammary carcinoma,6,0.12754654190655754,0.038970503223155394,52,False,Cldn4
Py8119,Mammary adenocarcinoma,2,0.11310364549552779,0.11310364549552779,53,False,Cldn4
30200,Ovarian carcinoma,4,0.10840129285780675,0.04836841252728814,54,False,Cldn4
60577,Ovarian carcinoma,5,0.10786051781362341,0.08509283903002948,55,False,Cldn4
D3UV2,Melanoma,3,0.10005597973651033,0.14311517181409808,56,False,Cldn4
D4M.3A.3,Melanoma,3,0.09632113449793618,0.14172574730205692,57,False,Cldn4
MC38,Colorectal carcinoma,13,0.02252317055807318,0.0,58,False,Cldn4
A20,Follicular dendritic cell sarcoma (B lymphocyte),15,0.016871194417545865,0.0,59,False,Cldn4
5,Glioblastoma multiforme,3,0.0,0.0,60,False,Cldn4
CT-2A,Glioblastoma multiforme,3,0.0,0.0,61,False,Cldn4
HGS3,Ovarian carcinoma,4,0.0,0.0,62,False,Cldn4
P815,Mastocytoma,2,0.0,0.0,63,False,Cldn4
MB49,Bladder carcinoma,8,0.0,0.0,64,False,Cldn4
Mut3,Glioblastoma multiforme,3,0.0,0.0,65,False,Cldn4
