subset,n,gene,score,spearman_rho,spearman_p
all_lung_vivo,71,Tacstd2,CD8 T_mMCPcounter,0.11922712077632396,0.3220120820405375
GSE155972_only,33,Tacstd2,CD8 T_mMCPcounter,0.25305243837503383,0.15535416320528306
all_lung_vivo,71,Cldn4,CD8 T_mMCPcounter,0.2610980678245764,0.027856397346996114
GSE155972_only,33,Cldn4,CD8 T_mMCPcounter,0.19702298242286176,0.27177421576818395
