gene,group,cell_line,is_lung,GSE_ID,treatments,n_baseline,n_icb,mean_baseline,mean_icb,delta_mean,median_baseline,median_icb,delta_median,direction_mean,direction_median,tismo_deseq2_p
Tacstd2,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,LLC,True,GSE155972,antiPD1; antiCTL4;;no_treatment,10,7,0.2803433444414772,1.004972502977412,0.7246291585359348,0.1774847596373155,0.29875589613712,0.1212711364998045,up,up,0.970249595965875
Tacstd2,LLC_GSE155972_antiCTLA4&antiPD1,LLC,True,GSE155972,antiPD1; antiCTL4;;no_treatment,10,6,0.15694832791755048,0.28954265590410805,0.13259432798655757,0.07891508807559125,0.297849969636445,0.21893488156085375,up,up,0.467050119678299
Tacstd2,YTN16_GSE146027_day7_antiCTLA4,YTN16,False,GSE146027,antiCTLA4;no_treatment,4,4,2.3768808529397325,5.502058589712745,3.1251777367730127,2.294341856359835,5.473743315593585,3.17940145923375,up,up,2.05295984296767e-23
Tacstd2,B16_GSE149825_birinapant_antiCTLA4&antiPD1,B16,False,GSE149825,antiPD1; antiCTLA4; birinapant;birinapant,3,3,0.09546354910708764,2.603828633159003,2.5083650840519156,0.0769801658363189,2.87369761434297,2.7967174485066515,up,up,0.0001024961527034
Tacstd2,YTN16_GSE146027_day14_antiCTLA4,YTN16,False,GSE146027,antiCTLA4;no_treatment,4,3,3.053852539184915,5.401134676859708,2.3472821376747928,2.9203353916298447,5.60905462777988,2.6887192361500354,up,up,0.0758691866407999
Tacstd2,p53-2336R_GSE124821_end_antiCTLA4&antiPD1,p53-2336R,False,GSE124821,antiPD1; antiCTLA4;;no_treatment,8,5,0.1517336046719925,2.169555136080314,2.0178215314083214,0.08224873848357489,0.785441743949315,0.70319300546574,up,up,0.0002323536976123
Tacstd2,KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1,KPB25L,False,GSE124821,antiPD1; antiCTLA4;;no_treatment,4,3,1.9996642373180524,3.03820159527341,1.0385373579553576,1.9400286385005052,3.35069624041099,1.4106676019104847,up,up,0.564876481884934
Tacstd2,D3UV2_GSE159344_antiPD1,D3UV2,False,GSE159344,antiPD1;isotype,3,3,0.24713071252132446,1.0959844052158763,0.8488536926945518,0.240623292519232,0.33371567818056,0.09309238566132802,up,up,0.185771051274138
Tacstd2,YTN16_GSE146027_day21_antiCTLA4,YTN16,False,GSE146027,antiCTLA4;no_treatment,3,4,3.9768461088323135,4.676131275271333,0.6992851664390192,5.13789844844457,4.666019879078795,-0.4718785693657752,up,down,0.502636341700963
Tacstd2,EMT6_GSE107801_antiTGFb_trap_antiPDL1,EMT6,False,GSE107801,M7824 (anti_PDL1_TGFb_Trap);anti_PDL1(mut)_TGFb_Trap_control,10,10,0.09675844901627804,0.7434342386994304,0.6466757896831523,0.07247072518300346,0.30734664094950903,0.23487591576650557,up,up,0.0223871957549608
Tacstd2,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,False,ERP114266,antiPDL1; antiCTL4;;isotype,5,5,0.24323700806081897,0.655811996830405,0.4125749887695861,0.254270149685212,0.321343881739544,0.06707373205433198,up,up,0.034317941791589
