sample,Tacstd2,Cldn4,Actb,Epcam,Krt8,Cldn3,Cldn7,Cd8a,Ifng,Gzmb,Cd274
SRX2949948,0.3319751188491103,0.3179327152341933,10.74394808705673,0.13240209701236322,6.6103545100084915,0.17740906915606322,1.651547746599173,0.43665746048179876,0.0,0.2805811961327243,2.4582887695977003
SRX2949949,0.41405579236290857,0.3971431743056984,10.854596998234298,0.24553270220976023,6.798956657555161,0.0,0.5994292590939992,0.0,0.0,0.0,2.2778441787599153
SRX2949950,0.5681334356078781,0.3326538208472947,10.758299892836124,0.0,6.622465075527623,0.4551267469659488,0.9714939025615739,0.31475473465884357,0.0,0.5376932484138676,2.4103874614119283
SRX2949951,0.0,0.22998815996013017,11.183864893039331,0.0,6.523549859079056,0.3175333963429836,0.0,0.0,0.0,0.0,2.334932041747087
SRX2949952,0.5621942927291791,0.984073415453878,11.338993273788965,0.17122258137574026,6.689602402567878,0.5952439867225259,0.796641305521759,0.0,0.0,0.0,2.4980531455981616
SRX2949961,0.526732899642473,1.1129736351311186,11.644441269706192,0.4742273143770685,10.899739417533354,1.3555401189408922,0.8951397272135264,0.2288014549961722,0.0,0.31385531249122034,3.545024379675047
SRX2949962,0.41035955883442937,2.2195536008635584,10.309714547116135,0.2583850508725117,10.366191047630977,0.5614933107420103,0.5021859684897941,0.05169784601913841,0.0,0.4513171583861741,2.765949249474705
SRX2949963,0.6328516909081752,1.8632181121352107,11.77791997073535,0.6407208675275168,11.001656932280383,0.7299938316420097,0.4732268658400088,0.1707519095747354,0.05159901684630148,0.3419117609704447,3.487354499313668
SRX2994177,2.3663696321253735,0.5499569711483827,13.843581139314974,0.9650484885682398,0.0,0.06249568725476372,0.10972586374917256,0.005811597168772561,0.10461719917705023,0.1768470374389686,1.577575747408716
SRX2994178,2.428815973582063,0.6872826333766401,13.843581139314974,1.286867907537262,0.0,0.0701068869667958,0.0,0.017363084109733775,0.0,0.05688050867550886,1.1728206929869858
SRX2994179,3.486765243512262,1.4253338730081146,13.843581139314974,1.9903263777684006,0.0,0.15845160301980454,0.0,0.012902152306284552,0.011658680812666378,0.0996404655097506,1.170885779697311
SRX2994180,2.3068438498112314,0.5927239805644084,13.843581139314974,1.07060518848181,0.0,0.09724571070978943,0.115702085928909,0.04564030266224556,0.020138663619593856,0.28937203042213666,1.5659853933291221
SRX2994181,3.0072443850721617,0.8105654165575839,13.843581139314974,1.2966044278629494,0.0,0.12346924263658357,0.00351850962576205,0.019592422686321984,0.0,0.05817243332324195,2.1715876040240842
SRX2998703,0.23137833709244865,6.688698024216884,10.181655720524535,8.531174426721826,10.445904121562066,6.7337001798710405,7.522889323053367,0.8511225634219157,0.07442048885562053,0.428176702158064,3.090334169996959
SRX2998704,1.1014893942134407,6.32222653958646,10.116818007525858,8.154190861023128,10.397244564451984,6.757631515137318,7.434892149972931,2.2831347408288836,0.9575417149735997,1.0256581968315666,3.4149783024834797
SRX2998705,1.3509463927942786,4.344651202170954,9.823223558937237,7.232979313575345,10.348160392920754,5.6823414250378015,6.768960008193078,2.963609878890109,1.4711250159680136,1.8142797004857276,3.6063377533286514
SRX2998706,0.3228418970033201,5.0826048396834205,10.216423203985485,7.370015311795938,10.58059965906083,6.578082923052792,7.036846713194629,2.8836120193378703,1.1762697877345867,1.3310590975373138,3.5477666640792918
SRX2998707,0.423162916231531,5.9996879383654305,10.318550172286585,7.8801765928993674,10.483517555886111,6.292295346520867,7.006625869843001,1.0737702007196124,0.19024694976906542,0.34352380178888436,3.2979626046262065
SRX2998708,0.16387095110744163,5.3606058410115445,9.7044373272164,7.773614917564112,10.416294664449765,6.3708784575397095,7.320902397977167,3.220312462870122,1.2169359419601558,0.9504915568086258,3.6641254218731723
SRX2998709,0.4529822802249924,5.0690589018917045,10.219682806452855,7.313989404634321,10.416949768753286,5.906778301474333,6.809050676127636,2.0345953590476524,0.8173293679939058,1.6217265099757643,2.9842406189425876
SRX2998710,0.15739560718151774,5.287663220898193,10.268474417197236,7.370997696704218,10.4141660892734,6.408208867796289,7.0218602280220574,2.385677033689809,0.7639171727867171,1.1238277374737096,3.0349300176985228
SRX3176859,0.07254451854316075,0.12046528821678344,13.401164803679409,0.3181354860138616,0.0,0.0,0.0,0.0786876314944049,0.0,0.0,1.7544362940856066
SRX3176860,0.07194114479390072,0.06900367543249494,13.16952707675809,0.07165925025083329,0.0,0.0,0.0,0.10797701262253799,0.0,0.0,1.498171046085804
SRX3176861,0.0,0.0,13.632609641763883,0.19703437605848462,0.05977312492331336,0.0,0.450948521449383,0.12385561345815585,0.0,0.0,1.6802037145859052
SRX3176862,0.0,0.11829319955920116,13.401164803679409,0.3277370428592066,0.0,0.0,0.0,0.03446167752986916,0.0,0.0,1.3045886443712356
SRX3176863,0.0,0.0,13.632609641763883,0.060633412671621964,0.0,0.0,0.0,0.046645055732145814,0.0,0.03169366981474424,1.4672990678683042
SRX3176864,0.0,0.0,12.886057468848916,0.07386839332888787,0.06444082758462553,0.0,0.0,0.0,0.0,0.0,1.369740407283491
SRX3176865,0.13707774182395688,0.267151643696481,13.632609641763883,1.222407939972612,3.4813555741487776,0.0,0.0,0.16394710263138432,0.0,0.42863846167294284,2.2599503567604735
SRX3176866,0.0,0.0,13.401164803679409,1.02216449447708,2.7358135761281637,0.0,0.9561633532307123,0.15685884589657295,0.0,1.3168282184737345,2.5735587756298743
SRX3176867,0.0,0.0,12.886057468848916,0.2636474534490079,0.11534913880711932,0.0,0.0,0.23861389764267174,0.0,0.26455980151996006,2.5555891494698386
SRX3176868,0.0,0.0,13.16952707675809,0.11045000147648203,0.09716687823289646,0.0,0.0,0.03678452221076844,0.0,0.48705617999091555,2.1834776903207747
SRX3176869,0.0,0.0,13.401164803679409,0.19165935862763242,0.0,0.0,0.0,0.0,0.0,0.13303110293097967,1.18802870120169
SRX3176870,1.9914038088295776,0.9656645369399351,13.401164803679409,1.446419671218347,0.06476848116906242,0.10824813811264841,0.0,0.06520142305788898,0.0,1.0737348193639922,1.8423847413796088
SRX3178218,4.02259277913015,1.8927845973025634,11.266728398444762,2.4805751291219997,0.007729492655994353,0.04407343440830786,0.0,2.2050940074745506,0.7361443890272013,4.438324219100176,2.8802373972243243
SRX3178219,0.06315133932816337,0.0,11.481270812842501,0.4561545769737749,0.0,0.0,0.10853928487191326,2.84033476357694,0.8494381449534623,4.384800766614397,3.058627810951929
SRX3178220,0.11690442540878943,0.07571178786406095,11.481270812842501,0.4242252090988693,0.03782813140776065,0.0,0.056642520940035565,1.9878515872418048,0.5578775048532677,2.660752093827153,1.7585546941134609
SRX3178221,2.5947208066600345,0.8741569444884012,11.03718926887516,1.6313568286637183,0.5364081386422908,0.3151832644528258,0.1795714388913128,1.5917573077906024,0.20276631363872671,2.0714230652871364,1.923705681113163
