Samples,geneID,value,group,Responder,Baseline,GSE_ID,Mouse_treatment
SRX8918393,Tacstd2,5.40753964724211,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Tacstd2,0.517239234508031,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Tacstd2,0.376606696467493,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918387,Tacstd2,0.29875589613712,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Tacstd2,0.236537719750148,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Tacstd2,0.187226454244048,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Tacstd2,0.0109018724929351,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Tacstd2,0.197823139329986,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Tacstd2,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918396,Tacstd2,0.455126746965949,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918397,Tacstd2,0.157146379944645,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918398,Tacstd2,0.134319377924675,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918399,Tacstd2,1.10246233034002,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918400,Tacstd2,0.359039452578179,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918401,Tacstd2,0.0679983424297237,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918402,Tacstd2,0.329517674901594,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918403,Tacstd2,0.0,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918404,Tacstd2,0.451768662551873,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918406,Tacstd2,0.377283465632783,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918407,Tacstd2,0.311894899097427,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918409,Tacstd2,0.283805040175463,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918408,Tacstd2,0.219489854778946,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918405,Tacstd2,0.0930140131881563,LLC_GSE155972_antiCTLA4&antiPD1,Non-responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918410,Tacstd2,0.0667609435538487,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918411,Tacstd2,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918412,Tacstd2,0.0,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918413,Tacstd2,0.122133286460038,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918414,Tacstd2,0.289239296690949,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918415,Tacstd2,0.0793221934395296,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918416,Tacstd2,0.127280837247523,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918417,Tacstd2,0.0681569105593075,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918418,Tacstd2,0.738081828512656,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918419,Tacstd2,0.0785079827116529,LLC_GSE155972_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918393,Cldn4,3.22653245946973,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918391,Cldn4,0.332439814411969,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918388,Cldn4,0.255334268389151,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918390,Cldn4,0.138449148826943,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918387,Cldn4,0.103248836721031,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918392,Cldn4,0.0795820408275932,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918389,Cldn4,0.0700207017300943,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Responders,0,GSE155972,antiPD1; antiCTL4;
SRX8918394,Cldn4,0.10634205277227,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
SRX8918395,Cldn4,0.12605043643627,LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1,Baseline,1,GSE155972,no_treatment
