gene,ensembl,gtex_lung_rho,gtex_lung_fdr,gtex_lung_rank,gtex_lung_pct,tcga_luad_rho,tcga_luad_fdr,tcga_luad_rank,tcga_luad_pct,tcga_lusc_rho,tcga_lusc_fdr,tcga_lusc_rank,tcga_lusc_pct,mean_rho
TACSTD2,ENSG00000184292,1.0,0.0,0,100.0,1.0,0.0,0,100.0,1.0,0.0,0,100.0,1.0
CLDN1,ENSG00000163347,0.2898,7.035219019408863e-12,1990,90.4,0.4063,1.4246569793888017e-22,121,99.43,0.4735,6.564948554141293e-30,110,99.49,0.3899
CLDN7,ENSG00000181885,0.6796,6.612631731855403e-77,48,99.77,0.1947,1.1665839460840389e-05,3312,84.4,0.342,4.0851893970354975e-15,474,97.77,0.4054
F11R,ENSG00000158769,0.3639,1.9542712665525507e-18,1155,94.43,0.3238,2.9718175147302235e-14,537,97.47,0.292,3.7378315294066496e-11,766,96.39,0.3266
PARD3,ENSG00000148498,0.3954,8.326562953701249e-22,913,95.6,0.1259,0.006276566316926094,6609,68.87,0.2245,6.021358687041452e-07,1463,93.11,0.2486
CLDN4,ENSG00000189143,0.7472,5.6283722715315334e-101,10,99.96,0.5519,3.191786318832994e-44,2,100.0,0.4049,2.5896390221592547e-21,249,98.83,0.568
