layer	gene	n_lines	n_non_na	n_na	min	median	max
RNA	TACSTD2	1517	1517	0	0.0	0.722466024471091	11.381705164145895
RNA	CLDN1	1517	1517	0	0.0	3.0125686735030555	10.824401915043364
RNA	CLDN2	1517	1517	0	0.0	0.1243281350022017	8.946175240723559
RNA	CLDN3	1517	1517	0	0.0	0.3895668117627256	9.226436277646858
RNA	CLDN4	1517	1517	0	0.0	2.3673710656485296	11.132756757072782
RNA	CLDN5	1517	1517	0	0.0	0.0840642647884745	7.833143096358337
RNA	CLDN6	1517	1517	0	0.0	0.1243281350022017	9.473665166909646
RNA	CLDN7	1517	1517	0	0.0	1.8639384504239715	9.690452017046317
RNA	CLDN8	1517	1517	0	0.0	0.0	5.768978250344548
RNA	CLDN9	1517	1517	0	0.0	0.2630344058337938	6.963820883991191
RNA	CLDN10	1517	1517	0	0.0	0.0565835283663675	6.677226328235317
RNA	CLDN11	1517	1517	0	0.0	0.4222330006830478	10.669948004116051
RNA	CLDN12	1517	1517	0	0.1243281350022017	4.521050736900963	7.578485913474387
RNA	CLDN14	1517	1517	0	0.0	0.0285691521967709	8.667998535672528
RNA	CLDN15	1517	1517	0	0.3103401206121505	2.82781902461732	8.092440030238086
RNA	CLDN16	1517	1517	0	0.0	0.137503523749935	10.852061279279171
RNA	CLDN17	1517	1517	0	0.0	0.0	5.041330606820623
RNA	CLDN18	1517	1517	0	0.0	0.070389327891398	7.99588018817637
RNA	CLDN19	1517	1517	0	0.0	0.0	4.380590934265922
RNA	CLDN20	1517	1517	0	0.0	0.2265085298086797	3.3868109464722167
RNA	CLDN22	1517	1517	0	0.0	0.0	4.682573297347578
RNA	CLDN23	1517	1517	0	0.0	0.8318772411916731	5.726013748860151
RNA	CLDN24	1517	1517	0	0.0	0.0	5.309612772454123
RNA	CLDN25	1517	1517	0	0.0	0.0	2.867896463992655
RNA	CLDN34	1517	1517	0	0.0	0.0	1.15704371014558
protein	TACSTD2	375	375	0	-3.93699083086175	-0.743133675781582	6.84816421393282
protein	CLDN1	375	312	63	-8.9183810155785	-0.23113700248514352	5.4233892034985
protein	CLDN2	375	81	294	-2.39476809739721	-0.404078998018055	5.10377735882471
protein	CLDN3	375	295	80	-11.7704923976657	-0.34090574285569	5.08305297752273
protein	CLDN4	375	197	178	-5.30030757200522	-0.0680274584733476	5.01418420812227
protein	CLDN6	375	216	159	-12.632470178308	-0.336695815256714	10.5123322922197
protein	CLDN7	375	278	97	-7.23979846604124	-0.46324918232337553	5.54532601695584
protein	CLDN11	375	126	249	-7.9318652585373	-0.592372947949065	5.82339821170113
protein	CLDN12	375	160	215	-4.56687439300811	-0.04894274530878395	3.4989449682983
protein	CLDN16	375	9	366	-1.9576180929644	-0.830980547007516	6.58950098763616
protein	CLDN18	375	90	285	-10.9799735076022	-0.2679629924299825	8.88497795164157
